census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14
85,3,3,3,2,2,3,0,0,0,0,0,0,0,0,0,0,2,1,1,10,0,0,0,0,0,0,0,0,0,1,1,7,8,25,0,0,0,0,0,0,0,0,0,3,8,7,15,23,23,6,6,8,5,3,1,0,0,2,1,12,6,4,0,0,24,3,6,4,10,9,6,0,14,11,4,0,0,0,0,0,0,0,0,0,0,0,2,9,20,1,0,0,0,0,0,0,0,0,2,8,8,12,8,2,0,0,0,0,0,4,6,12,23,18,18,27,32,35,3,19,14,8,9,9,3,3,8,3,8,17,25,46,66,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0,0,0,0,0,0,0,0,6,45,0,0,0,0,2,3,9,26,43,9,1,1,1,21
86,3,3,3,3,2,3,0,0,0,7,173,752,2027,4202,9196,16427,25099,44724,32679,5843,0,0,3,137,483,1456,2871,4576,8219,12650,22305,45366,41815,1248,0,0,91,639,1629,3002,4911,6594,8922,11941,20501,40695,41287,917,405,2482,4891,6167,7426,7286,8017,10511,15635,27587,30629,17094,2775,224,213,252,759,1944,3388,5112,7355,11468,15551,19395,24002,31332,19450,908,0,17,18,76,303,739,2112,4258,9563,20696,22906,37285,32182,10974,0,17,16,84,269,1024,1769,4544,8218,21678,26439,35224,30610,11237,73,149,524,1236,2142,3141,4532,6696,10100,15801,23784,31491,35011,6449,106,321,637,1250,1836,2585,3718,5031,7813,13025,22591,50662,31065,489,2632,17170,28688,27592,20974,15370,10984,7817,5083,2938,1262,512,106,1,18,411,4362,13833,19924,19720,17649,15176,13471,11612,9515,8665,6099,674,63,524,1518,2580,3927,6434,10691,16090,21386,23625,22025,18349,12536,1381
88,3,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,6,20,20,19,60,0,0,0,0,3,1,11,36,23,49,24,25,72,57,275,68,21,16,17,17,22,31,13,5,11,6,2,0,5,169,79,31,28,51,30,30,40,41,19,9,0,0,0,0,0,0,0,0,12,15,46,44,16,9,8,8,0,0,0,0,0,2,4,28,31,47,24,10,8,8,0,0,0,0,3,23,52,88,100,40,76,66,115,11,75,121,62,18,13,15,12,16,14,33,42,24,95,41,355,1,0,0,0,0,0,0,0,0,0,0,0,290,540,0,0,0,0,0,0,0,0,0,0,0,10,181,0,0,0,0,3,7,27,105,333,77,37,6,10,46
90,3,3,3,3,3,3,0,0,0,12,59,159,352,854,1932,4301,7670,13365,17701,4332,0,0,0,12,85,300,796,1706,3159,5107,9993,17132,12310,137,0,0,35,349,828,1540,2788,3832,5557,7790,11014,13198,3796,10,941,5421,5009,4793,6484,6790,6573,6046,4327,2833,1113,313,77,17,182,562,2105,3737,5562,7042,7683,7669,6318,5027,3667,1070,105,8,0,0,0,10,291,721,2109,3778,7290,13947,11564,9137,1827,63,0,0,0,7,255,953,1777,3902,6466,14781,12885,8018,1625,68,25,126,765,1917,2665,3710,4991,6413,7959,8547,6994,5043,1540,42,100,235,385,894,1544,2464,3714,5628,8551,11904,10053,4566,692,7,4545,8787,7554,6931,6228,5344,4197,3119,2044,1196,573,192,26,1,0,0,5,27,105,291,922,2340,4289,6117,8104,10918,15952,1667,25,489,1787,3011,4117,5252,6228,7726,8796,7483,3741,1591,467,24
91,3,3,3,3,2,3,0,0,0,0,0,1,29,80,301,662,1262,2372,2872,330,0,0,0,10,36,114,237,348,607,1081,1816,2685,970,5,0,0,6,178,329,461,736,861,1102,1320,1604,1211,101,0,1215,1668,1160,866,828,691,493,396,281,180,81,37,12,1,440,271,748,1348,1609,1372,933,682,309,133,50,12,1,1,0,0,0,50,198,196,605,987,1615,2328,1161,617,138,14,0,0,0,49,183,272,529,1084,1431,2423,1264,545,114,15,264,146,282,452,692,934,1173,1499,1318,682,317,116,31,3,313,189,251,608,844,937,965,1008,1003,978,572,214,27,0,1444,1428,965,784,755,673,621,524,381,227,92,15,0,0,0,0,0,1,2,3,3,22,58,238,689,1461,4187,1245,103,204,363,660,915,1211,1285,1177,1107,687,154,35,8,0
92,3,3,3,3,3,3,0,0,0,0,0,0,1,5,13,157,481,1116,3601,1770,0,0,0,0,0,0,10,52,206,480,921,2829,2629,17,0,0,0,5,57,140,310,358,531,856,1712,2930,240,5,1268,2908,757,415,433,391,345,273,180,115,40,13,6,0,182,102,324,1011,1752,1681,945,571,295,141,93,38,9,0,0,0,3,22,97,83,265,432,783,2828,1641,881,99,10,0,0,4,18,91,113,251,457,660,2906,1786,762,87,9,116,48,43,147,297,456,674,1296,1965,1387,441,191,76,7,114,77,79,235,517,912,1230,1333,1132,870,407,181,53,4,3328,1366,602,451,352,336,255,205,149,67,25,8,0,0,0,0,0,0,2,1,4,13,57,202,529,1000,3920,1416,43,88,104,219,355,584,768,982,1895,1755,279,59,11,2
93,3,3,3,3,3,3,0,0,0,0,0,1,22,75,124,235,603,1156,3538,1707,0,0,5,45,32,51,70,110,245,473,1035,2768,2588,39,0,0,37,101,81,174,299,468,672,988,1891,2403,341,6,1135,2802,1063,592,450,371,313,332,194,128,51,18,9,3,154,197,406,1336,1920,1600,773,402,273,214,129,47,10,0,0,0,0,16,71,65,142,306,1264,3008,1550,936,100,3,0,0,0,14,79,75,123,333,1081,3190,1673,797,92,4,111,50,115,212,380,605,1029,1577,1640,929,462,248,97,6,123,85,107,252,550,976,1195,1274,1140,930,419,288,119,3,2393,2242,827,450,306,328,318,268,178,86,49,14,2,0,0,0,1,0,0,4,12,25,47,126,341,1030,4324,1551,62,91,149,331,528,683,981,1376,1680,1192,272,79,26,11
94,3,3,3,3,3,3,0,0,0,0,1,70,170,324,607,811,879,987,435,117,0,0,4,35,81,248,301,428,726,812,922,600,222,22,0,0,50,252,363,545,789,688,669,478,322,156,83,6,149,700,852,735,583,412,296,226,164,122,86,50,22,4,60,217,968,1061,775,519,296,212,138,81,52,18,3,1,0,0,0,0,27,51,176,577,1411,1345,532,236,45,1,0,0,0,0,23,79,150,673,1217,1443,565,211,39,1,41,39,315,589,811,826,656,444,310,154,107,81,26,2,53,57,295,609,710,639,584,460,367,240,194,126,63,4,97,318,410,443,511,583,599,518,410,257,173,81,1,0,0,0,0,2,7,17,22,35,78,146,295,905,2512,382,10,52,347,756,1030,920,604,346,199,89,36,6,5,1
95,3,3,3,3,2,3,0,0,0,0,0,3,23,65,111,140,177,394,760,58,0,0,3,15,8,52,86,86,111,194,305,697,166,8,0,0,14,67,89,102,122,137,188,285,496,206,21,4,431,589,277,136,93,61,42,30,23,22,10,6,10,1,50,40,302,506,377,227,85,64,45,18,8,7,0,2,0,0,0,4,17,13,70,102,292,682,323,194,32,2,0,0,0,4,18,16,69,122,240,725,325,182,28,2,31,18,63,127,162,177,301,408,260,106,41,26,9,2,43,33,135,268,336,322,226,135,70,69,61,19,11,3,515,379,193,120,118,96,70,79,72,60,27,2,0,0,0,0,0,0,1,2,1,11,15,30,46,198,1074,353,15,16,41,116,186,238,244,289,320,225,27,7,7,0
96,3,3,3,3,3,3,0,0,0,4,6,23,79,208,508,814,1183,2293,6246,2593,0,0,0,0,25,83,190,320,581,842,1689,4674,5510,43,0,0,1,76,166,371,583,737,1022,1512,3272,5270,934,13,748,4301,2356,1449,1049,929,727,646,559,504,379,216,81,13,156,219,346,1026,2132,2921,2630,1939,1206,776,476,107,23,0,0,0,0,1,3,60,235,429,1491,5012,4077,2240,391,18,0,0,0,1,5,77,198,472,1222,5210,4500,1907,345,20,58,85,154,199,369,707,1154,1993,3216,3350,1729,747,185,11,87,159,199,361,693,1112,1627,1921,2220,2381,1905,1117,168,7,3547,3966,1824,1115,801,694,605,503,387,306,161,45,3,0,0,0,0,2,12,36,121,297,608,885,1395,2217,7343,1041,21,83,219,493,722,1059,1604,2525,3463,2838,715,178,37,0
97,3,3,3,3,3,3,0,0,0,2,45,460,1018,1783,3002,4440,5913,10497,17125,5389,0,0,8,143,447,971,1420,1836,3060,4335,7338,13094,16489,533,0,0,241,844,1258,1960,2775,3466,4347,5413,7481,11623,10018,248,498,3188,3534,3545,3994,4560,5680,7535,7575,5733,2599,946,249,38,215,330,1505,2971,3650,4510,5113,5931,6048,5518,5693,6746,1403,41,0,0,0,0,143,421,1176,2012,5205,11364,10138,9602,8243,1370,0,0,0,0,122,602,964,2148,4444,11930,11396,8714,7986,1368,115,214,741,1306,1958,2612,3516,4301,5304,7155,7430,6359,7926,737,131,259,557,1155,1722,2266,2935,3293,4434,6879,9335,12692,3875,141,2818,10033,7917,6280,5088,4373,3983,3385,2780,1749,851,390,26,1,0,0,19,137,669,2124,4362,5890,5623,5848,6603,8254,9370,775,57,357,1211,2356,3673,4583,5301,5960,6861,6821,5201,4060,2980,253
98,3,3,3,3,3,3,0,0,0,2,43,333,931,2020,3790,4695,4044,5478,6352,1293,0,0,31,113,426,982,1827,2424,4009,4021,5081,6297,3676,94,0,0,172,823,1433,2234,3185,3692,4131,4069,4151,4158,871,62,1120,5252,4134,3324,2852,2441,2183,2145,1965,1711,1095,506,192,61,451,434,1447,3218,4393,4418,3943,3649,2914,2080,1187,589,222,36,0,0,1,34,203,278,945,2484,5420,8826,5877,3596,1053,264,0,0,0,32,201,351,850,2728,4701,9400,6339,3154,934,291,316,202,645,1064,1914,2761,3698,4594,4659,4112,2781,1567,556,112,368,178,513,1488,2527,3389,4161,4159,3904,3620,2563,1560,494,57,2497,3912,2958,2932,3241,3161,2784,2379,2080,1630,1025,338,44,0,1,0,36,196,580,1086,1709,2123,2610,2760,3053,4036,9050,1741,153,434,845,1699,2605,3587,4330,4525,4683,3481,1708,734,192,5
99,3,2,3,2,2,2,0,0,115,938,3411,8836,15181,28171,40847,66876,103078,167494,365052,430597,0,0,80,345,1191,3639,9892,16589,26598,38550,65676,136633,389546,541857,0,59,586,1285,4010,7361,12225,17354,27573,44261,70131,145520,374630,525601,1584,662,760,930,1185,1596,2388,4040,8300,21245,74442,250416,475660,387388,1227,672,1008,1523,2424,5841,15398,30515,54999,88444,131023,193355,272009,432158,0,0,93,386,489,1763,7476,14007,31718,57189,94587,219137,311977,491774,0,0,66,402,487,2400,6276,14631,27165,64640,103293,207542,314351,489343,967,231,683,1507,3960,9114,16139,24449,35694,51769,83786,152348,281112,568837,1090,214,183,291,462,659,1145,1945,3927,10072,31514,120173,492981,565940,196720,366624,173897,113218,88204,73637,62424,52983,43873,32088,19128,7072,719,9,30,479,3233,14708,63666,207535,355496,351675,151877,50217,18377,7410,3394,2499,437,1945,5441,18146,40530,66505,90796,108779,120892,133385,174657,248120,202747,18216
100,3,2,3,2,3,2,0,1,487,3297,5400,8398,13358,24185,34424,57274,102720,161593,413493,317818,0,22,251,1096,3126,6380,11673,19830,38452,71561,96486,130885,426151,336535,0,187,2098,5488,8895,22201,38122,50575,60827,66290,73741,106682,398006,309336,3708,1078,1065,1310,1730,2000,3130,4296,7731,17407,60986,220529,533492,283986,3627,1794,4374,6426,8887,19325,41805,65067,84336,89503,91113,132649,335606,257936,0,33,2333,11632,18557,25732,65589,80145,99709,151536,157593,226497,222667,80425,0,30,1633,11935,17374,34921,56137,86204,86879,150327,192901,207824,212369,83914,2897,1139,3744,12562,28984,44916,52498,55980,53776,55616,66726,97840,263612,402158,2403,516,435,392,555,669,1179,2128,4249,12383,47285,208829,492110,369315,28431,324139,208988,96168,63226,55677,54751,58306,64735,70717,65580,40070,10404,1256,55,304,2094,18418,98300,241069,289702,201269,125769,85423,43590,18948,11508,5999,5474,14024,36549,63172,80906,84310,78625,74899,79279,108615,173417,216105,124046,3027
101,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,14,42,0,11,6,1,6,2,1,2,2,5,7,9,14,25,0,0,0,0,0,16,2,15,2,4,19,25,22,14,0,0,0,0,0,0,0,0,0,0,2,15,19,4,0,0,0,0,0,0,0,0,0,0,0,18,22,14,0,0,0,0,0,0,0,0,0,0,5,37,42,154,0,0,0,0,0,0,0,0,2,7,30,9,42,204,69,0,0,0,0,0,0,0,0,0,0,0,0,50,130,0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0,0,0,1,17,70,18,6,1,0,40
102,3,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,6,4,25,6,6,0,0,0,0,2,3,2,4,1,0,3,15,0,0,2,8,2,4,1,2,3,6,8,4,11,5,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,6,19,12,12,32,45,0,0,3,8,6,12,6,3,4,3,2,9,32,66,45,0,0,0,0,0,0,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,2,9,5,29,8,1,0,0,20
103,3,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,3,3,22,0,0,0,0,0,0,0,0,0,0,0,3,11,42,0,0,0,0,0,0,0,0,0,0,3,13,15,39,21,8,5,5,1,2,3,5,5,0,2,8,7,12,0,0,18,18,11,3,8,11,12,11,10,19,15,4,0,0,0,0,0,0,0,1,1,2,4,20,8,4,0,0,0,0,0,0,0,0,0,2,6,21,7,6,0,0,0,0,0,0,0,3,14,21,15,17,25,52,0,1,16,7,7,5,9,6,5,1,2,13,30,59,88,0,0,0,0,0,0,0,0,0,0,0,0,20,120,0,0,0,0,0,0,0,0,0,0,0,6,64,0,0,0,0,0,0,0,5,75,20,3,1,0,80
104,2,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,41,0,0,0,0,0,0,0,0,0,14,13,10,29,46,48,8,11,10,5,7,1,2,1,5,7,13,9,20,0,23,23,8,13,5,15,13,3,9,21,16,10,2,0,0,0,0,0,1,2,5,0,5,9,15,19,2,0,0,0,0,2,2,4,0,0,10,18,16,8,6,0,1,1,5,6,4,12,41,26,26,21,33,34,42,31,47,15,15,9,5,5,5,7,12,6,14,31,64,134,3,0,0,0,0,0,0,0,0,0,0,0,50,130,0,0,0,0,0,1,0,0,0,0,1,11,74,0,0,1,3,5,12,25,42,70,11,8,0,1,21
105,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,1,4,6,6,18,19,3,3,2,2,6,0,2,0,3,1,8,3,4,0,5,16,6,3,1,4,7,10,3,7,9,5,1,0,0,0,0,0,0,0,0,0,2,0,4,14,8,0,0,0,0,0,0,0,0,2,0,0,8,10,14,0,0,0,0,0,0,0,3,23,14,9,23,16,38,0,6,14,17,5,5,3,1,1,3,4,6,30,45,45,0,0,0,0,0,0,0,0,0,0,0,0,30,90,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,5,15,38,7,4,2,0,30
106,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,3,4,0,0,0,0,0,2,2,3,4,6,8,6,13,5,39,10,1,4,0,8,1,0,0,0,2,2,2,1,0,18,20,4,10,8,1,8,3,2,2,7,1,0,0,0,0,0,0,0,0,1,5,7,7,8,0,0,0,0,0,0,0,0,0,0,2,5,12,13,2,0,0,0,0,0,0,2,4,11,30,16,13,26,21,17,8,19,22,10,3,8,1,4,5,7,7,17,23,27,48,8,1,2,0,0,0,0,0,0,0,0,0,30,100,0,0,0,0,0,0,0,0,0,0,2,2,14,0,0,0,0,0,1,3,10,42,17,7,4,0,20
107,2,1,2,2,1,1,0,0,1,46,337,736,3322,10468,25922,56218,119310,214389,118755,4796,0,0,96,575,1158,3181,6230,17291,30876,75279,143706,190446,84352,1110,0,16,518,1269,2514,5881,10177,20641,38689,60075,102862,185771,123710,2177,4021,6865,11682,18977,21649,28095,31819,37260,43063,54232,67495,92413,105801,30928,2400,1030,1417,2087,3498,5736,10464,20713,37169,67108,106257,142064,110062,44295,0,3115,4526,4804,6204,6571,15177,21953,31792,57437,63842,134766,145131,58982,0,3089,4126,5046,5574,8393,12398,21751,29086,60278,77802,132355,133518,60884,1879,647,1430,2214,3829,6384,10889,18683,30533,51339,88825,154424,156903,26321,2329,1648,2298,3557,5314,6330,12747,17339,29954,45970,85921,188920,148719,3254,2611,27367,99744,92078,87134,78230,62988,44578,29221,17952,8653,3211,526,7,24363,81999,79264,74548,69560,61494,50431,39315,29192,19422,11396,6179,3769,3368,1729,1669,3707,7861,14862,26318,43007,61204,68053,64160,53989,47621,63448,96672
108,2,1,2,2,2,2,0,3,390,2766,8013,11137,15241,24291,35362,60982,105320,156189,126472,17587,5,528,4819,7362,8179,9427,11550,16591,28123,60563,109259,162362,138028,6957,0,237,4479,9516,11740,14386,18305,24607,40002,58346,95429,153639,125914,7153,9817,11876,11453,9809,9321,11146,13438,18886,25335,40221,63969,112998,155490,69994,6897,2843,3709,5307,8575,12242,17891,29474,48544,79122,109198,119322,85790,34839,0,3756,6784,8176,9963,11911,22811,25767,33759,50542,59659,117898,134883,77844,0,3633,6063,8406,9816,14584,19120,26559,30388,54657,67970,113755,129702,79100,5823,2794,5245,8183,10703,13687,17662,23889,34162,51814,86893,141113,128892,32893,5843,6300,8275,8577,7146,6920,8062,10112,15711,28703,63532,161074,221158,12340,7638,14623,43848,70889,81747,82242,75639,64034,50188,36409,23314,10704,2420,58,8180,41274,58575,66307,69634,68670,63416,55340,45545,34835,22370,12737,7778,9092,5732,4068,8765,17438,30401,48068,67001,78792,81512,73157,56963,41443,34921,15492
109,2,1,2,1,2,2,0,11,163,700,1273,2674,6611,17484,32576,56324,90393,103169,74655,5355,1,88,354,870,1405,2078,2983,6307,11509,30745,63166,136593,131795,3494,0,48,221,617,1221,2105,3084,5470,11042,22007,49162,134759,157930,3722,1116,2337,2128,2188,2644,3317,4950,7699,13209,27070,56268,116035,129583,22844,389,835,955,1180,1338,1844,2971,5510,11838,27685,63484,122474,114956,35929,0,154,176,425,942,1616,3799,5576,9176,19041,30155,89114,120051,111163,0,149,145,419,933,1998,3224,5839,8059,19605,36317,87449,113768,113483,256,502,1068,1363,1684,2231,3199,5117,8835,17982,39941,99820,163136,46254,401,1223,1301,1322,1443,1448,1946,2512,4373,10249,31376,128155,198419,7220,443,8623,49589,82792,84734,67649,45161,27178,15162,7051,2511,463,31,1,5285,42951,74370,76862,62859,46274,31047,20637,13321,8218,4451,2601,1721,791,192,166,814,2326,5093,11901,25167,44153,61614,68543,65947,53026,41251,11195
110,3,3,3,3,3,3,0,348,5451,9945,10723,27273,45901,97609,142323,166855,238138,261464,211191,51926,8,891,4326,5316,7748,11913,19160,31675,42716,91229,130190,309510,578959,35506,2,192,983,3351,5294,9319,13000,19663,38087,66536,116733,300469,642677,52841,11907,12050,13833,16680,20950,25694,31237,37652,47944,76365,144924,298593,408928,122390,8195,3554,4434,4896,5902,8746,11777,16395,30502,62580,143562,281885,379020,307699,0,871,2843,4392,6760,6298,14835,20836,31117,73495,113583,374019,448757,171341,0,770,2638,4552,5814,9438,12664,23257,26199,68562,147655,367840,421577,178181,7153,3201,5700,6188,8093,11555,13378,17836,23755,42121,89048,234614,490248,316257,5803,7352,6557,7418,9062,14282,20241,28720,31999,46815,78699,247233,663885,101081,15395,65473,301983,312567,233103,153595,92588,51353,25555,11678,4426,1265,162,4,25232,223633,330720,253797,157685,92529,55270,35809,25639,19722,17460,13972,7342,10337,6339,1263,2097,4767,10342,20976,41058,75972,124638,175232,210256,223311,257164,115731
111,3,1,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,15,0,0,0,0,0,0,0,0,0,0,0,9,7,19,16,6,2,2,5,3,1,4,2,1,3,3,7,8,0,0,4,14,7,5,3,4,7,8,3,12,7,3,0,0,0,0,0,0,0,0,0,0,0,11,13,4,0,0,0,0,0,0,0,0,0,0,1,11,18,2,0,0,0,0,0,0,0,0,0,25,9,17,28,40,0,0,0,6,17,5,7,1,0,5,4,13,26,42,38,1,0,1,0,0,0,0,0,0,0,0,0,40,80,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,1,2,3,15,39,16,2,0,1,20
112,1,1,2,1,2,2,0,92,407,851,1652,4283,9913,24139,57312,126637,265478,478076,821143,200804,19,206,466,509,690,1162,2669,5008,13257,25247,67544,294863,1317319,261828,1,86,273,495,661,954,2082,3360,7106,14737,35672,147109,1296509,481742,5662,2917,4071,4936,5585,6741,9991,17185,27434,52096,127656,360008,949925,416580,4569,1442,1062,1001,1051,1240,1777,3245,6526,16069,45244,138238,528745,1240578,0,649,1887,1678,1028,1058,2688,4970,12661,36453,68826,253829,649072,955988,0,577,1859,1732,964,1415,2333,5365,10568,36641,83203,254676,609790,981664,3562,747,963,1093,1498,1793,2706,4655,8642,17787,43550,144969,649905,1108917,2189,2017,1161,1056,1338,1801,2351,4160,5738,9843,30329,148254,1203557,576993,28347,558044,807165,334173,125039,60828,34244,19855,11895,6837,3180,994,181,5,63523,494599,627663,429620,218919,81140,29561,14642,9268,5754,3665,2525,2062,7846,4384,989,1086,1948,4402,9739,18791,33834,58982,103901,198160,386423,725268,442879
113,1,1,2,1,2,2,0,2,84,203,746,2164,5273,11393,21321,45008,117500,318232,954294,1094858,1,17,51,108,181,590,1440,3143,6837,11888,26878,111731,941712,1466501,0,33,82,167,306,741,1276,2264,4049,7194,15150,56298,726917,1756601,622,736,1062,1593,2299,3103,3921,6552,10563,20940,51255,171834,706392,1590206,340,230,211,236,377,633,1191,2678,5633,12088,30546,89780,400135,2027000,0,0,2,15,62,150,468,1177,3652,11654,22116,99550,445756,1986476,0,0,2,11,60,175,390,1293,3002,11731,26841,99758,430439,1997376,186,90,147,212,348,630,1315,2537,4977,9621,22121,74791,356229,2097874,343,195,191,220,280,320,612,1037,1731,3974,10774,43996,665831,1841574,215660,1485866,538230,170971,67717,35530,21294,13779,9557,6496,3869,1736,349,24,16147,175465,388073,465416,492750,447063,325306,174146,56693,16600,6739,3770,1576,1334,61,311,934,2744,6200,11866,20572,36000,66955,144209,353076,808466,915367,204317
114,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,57,0,0,0,0,0,0,0,0,0,0,1,21,32,93,23,34,7,6,9,12,15,11,12,8,17,28,5,30,0,0,0,25,23,20,16,14,34,38,41,32,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,2,35,49,57,110,160,0,0,2,7,7,17,16,15,14,17,15,27,79,232,181,1,0,0,0,0,0,0,0,0,0,0,0,100,300,0,0,0,0,0,0,0,0,0,0,0,5,83,0,0,0,0,0,1,6,31,153,68,11,0,0,90
115,1,1,1,1,1,1,0,143,599,934,1082,2246,3391,4325,7705,15819,34110,182393,1458769,1456809,8,307,632,940,1079,1580,2036,3155,3916,5488,12253,43962,1090211,2002758,11,244,575,622,782,1007,1371,2033,2912,5707,11993,50018,1066829,2024221,7427,7441,5882,5502,5435,6401,7904,10791,16598,29628,75100,220780,1126368,1643068,2127,2291,2269,2544,2671,3759,5062,6635,11707,19307,48776,194779,1071470,1794928,0,4,350,224,572,573,1257,1845,5004,23173,86445,427448,995782,1625648,0,3,339,219,502,772,1069,1985,4102,22972,108016,429237,948246,1650863,1068,393,755,1149,1565,2155,2770,4118,6199,11381,25558,95005,668218,2347991,2855,2910,2375,2370,2595,1861,3141,3006,3931,6935,11858,45300,800462,2278726,119487,1764831,971077,217205,56013,20309,9429,5079,2770,1307,622,170,24,2,472,9910,84489,247874,514144,846210,802803,414169,150036,50165,20984,13525,9191,4353,769,300,632,1631,3767,8420,20292,52961,148578,402854,815875,954658,667974,89614
116,1,1,2,1,1,1,2,167,1186,1724,4383,6487,14102,34581,56258,126203,199039,291645,309887,144542,33,551,1078,1589,2342,4584,5495,14408,19619,44611,94139,221049,586031,194677,21,334,1237,1702,2706,4750,6068,10919,15220,31472,61117,176060,638050,240550,3204,3131,3101,3257,3881,5214,6147,9530,14333,26698,59727,158578,430941,462464,1937,952,1108,1240,1799,2100,3031,5196,9765,22900,55953,146551,388889,548785,0,0,12,385,634,559,1430,2445,5353,17479,33543,150864,403750,573752,0,1,7,352,591,807,1224,2720,4516,16761,42038,151552,384013,585624,1509,503,796,1103,1728,2439,3934,7176,10902,23477,48305,139421,400135,548778,2186,1635,1501,1707,2336,1923,3058,3374,5807,10193,23046,104390,675326,353724,19423,223389,277770,198323,144199,104513,74742,54113,39601,27645,16963,7733,1721,71,48268,243803,299322,236329,162915,99588,48201,19813,10278,6906,5307,4813,2114,2549,1111,575,1361,4809,12264,23833,40590,63698,96660,139608,184578,216297,248990,155832
