census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9
3,1,2,3,3,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,2,2,0,0,0,0,0,10,4,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,19,14,0,0,0,0,0,0,0,35,11,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,0,1,11,0,0,10
4,3,3,3,1,1,1,2,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,9,4,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,1,1,4,4,0,0,10
5,1,1,3,1,1,1,229881,44819,6346,2174,1420,1222,874,685,1506,167270,76932,24841,8592,4481,2224,1725,1390,1472,120767,78492,45065,20440,12291,6094,3044,1530,1204,105408,35501,23880,22521,20369,23580,26541,21990,9137,96571,42465,34671,31181,28223,23823,19282,11207,1504,132343,82465,36225,20105,9087,6715,1753,229,5,134452,83836,33233,19543,10522,5353,1788,196,4,75700,46445,42928,38531,34746,27439,16003,6353,782,140544,41572,30307,22887,22390,15253,9897,4948,1129,6458,4883,4868,6802,10982,24576,61470,113385,55503,62383,35550,29903,26758,24922,22776,21045,20739,44851,41890,47582,62294,58143,41630,23316,9135,2941,1996
6,1,1,3,1,2,1,163176,58285,6335,1492,998,614,261,196,113,133163,69886,17926,4847,2837,1226,907,555,123,99602,74572,33321,11428,7042,3207,1523,705,70,56903,32115,23260,24348,19111,24119,25482,18870,7262,64820,44478,31897,27208,25047,18846,11876,6363,935,34622,80397,72007,33402,7412,3230,382,18,0,36243,87748,65850,30268,8716,2244,383,18,0,48699,52033,41249,29229,26519,19303,9673,4259,506,104475,41943,27243,19385,19499,10330,6038,2454,103,664,1337,1810,2507,4269,10595,38316,102627,69345,39185,31337,30901,27729,25527,21311,19898,18929,16653,31559,50803,56460,44305,25735,13618,5912,2150,928
7,3,1,3,1,3,2,60488,96200,55646,20575,10816,7732,6398,4958,17648,55171,73026,54973,33851,17601,12604,9177,7386,16672,38313,87087,59184,28717,18589,13686,11579,9266,14040,60854,32044,24687,23416,24157,29087,32028,27624,26564,58144,47242,54174,47960,33829,20348,12775,5457,532,72732,92429,54309,29807,14574,11990,3703,848,69,73912,96188,49743,28745,17856,9242,3926,783,66,37656,47019,61289,47939,35382,24578,16511,9604,483,68239,35737,32062,27524,34149,30350,23602,14783,14015,23166,11520,11620,14829,20011,31388,55254,81030,31643,4428,20314,30083,32172,34422,39713,41101,32806,45422,44532,60265,54703,46273,34872,22365,11824,4505,1122
8,3,1,3,1,2,2,23892,8042,5059,5589,3631,8247,13426,43840,95748,25623,9470,6419,4817,11652,24459,42932,58808,23065,23505,8263,6133,10744,27766,51996,44917,15216,18492,122109,44546,8716,5122,3368,2434,2330,2285,15848,53813,23161,33941,32200,27710,17690,10153,6015,1413,202294,2203,548,357,126,129,14,1,0,202408,2157,499,321,178,92,17,0,0,40180,14359,17256,33456,32912,34856,20476,10985,1856,44527,30416,42584,40514,11721,10968,5247,4904,18563,74125,64424,28333,10530,6860,7120,7264,6549,1400,4287,4136,5633,6413,8239,10574,19724,45684,100205,44273,7641,7009,11404,23273,37480,36913,23955,12795
10,3,3,3,3,3,3,25270,8688,5932,6195,3097,5934,5075,6893,53767,27696,11119,6349,3098,6731,6448,10535,28647,20406,24189,9013,5906,6959,10761,16984,17360,17121,12920,66932,20194,7525,5965,4184,2834,2670,1530,9592,46531,13236,12239,9084,9507,8738,8284,9212,5306,118532,3142,549,234,69,58,4,0,0,118781,2985,483,206,92,37,4,0,0,37196,9583,9642,13240,10367,12200,10748,12893,5994,42062,11858,12401,13240,6124,9276,5892,7682,13901,52607,29327,13441,8095,5120,4365,3950,3257,909,13398,5679,4609,3854,3778,3942,5648,12721,66573,33960,5807,5808,7889,11160,14243,11491,9689,20441
12,3,3,3,1,2,2,6580,9793,8916,6979,7150,6634,6544,5623,13591,8421,9676,7385,7005,9216,8788,6112,6162,8856,6528,9027,7728,8377,9719,9881,7180,8255,4729,32418,18345,7518,4473,2127,1105,709,569,3968,15758,7729,8307,9882,11524,9215,4533,2908,807,63395,5354,616,472,266,220,30,3,0,63523,5233,543,442,332,156,31,3,0,12064,6385,6636,7469,8526,12000,10868,5761,1164,19057,14651,10592,6791,4565,4629,3201,4110,4675,16602,17795,10671,7058,5644,4710,4186,3675,830,1867,3705,4541,5493,7048,8202,8621,10620,20203,10827,3718,4836,6161,7764,10119,9680,7768,9410
14,3,1,3,1,2,2,86748,37567,30992,17817,12814,9456,6506,6448,166669,80703,36698,27301,22455,18783,12017,8634,9441,158997,64219,34701,28657,28446,24779,18471,12672,13382,149742,123695,44697,23826,14638,10474,8480,7655,8282,133350,214681,34987,26687,26731,26738,19788,13671,9557,2309,345117,21969,3507,2076,1123,850,173,14,0,346138,21498,3210,2062,1281,719,139,12,0,156221,52605,35522,29787,29146,30325,22840,15070,3610,110166,37441,23934,15720,11735,9053,6471,9833,151142,147181,44466,30577,29309,28268,27460,29011,28881,9888,14954,16883,17965,17637,17327,17271,16950,17045,238611,224518,19331,16352,18739,22229,23989,20677,14261,14600
16,3,1,3,1,2,1,98008,36620,18992,12491,8489,6838,5282,6128,56063,88874,31448,18897,13913,12424,11517,9851,10958,51029,69853,35747,22680,17633,15605,14272,14506,14659,43956,119193,25472,15394,12519,10472,10240,9544,9023,37054,152631,20673,13023,11917,11550,11677,12289,11375,3776,205683,23628,8044,5089,2927,2387,876,242,35,205972,23893,7450,5046,3418,2012,876,211,33,125580,27791,18851,15902,13938,13052,13904,15010,4883,114713,19995,13799,9891,10857,10160,10155,13231,46110,49918,27097,28652,27283,25969,27258,29066,26557,7111,14751,16922,14050,11963,11010,10840,11845,15693,141837,124172,20557,17056,16988,16915,15742,13255,10974,13252
19,1,1,3,1,2,2,120004,82692,28071,9237,4687,2845,2127,2608,34271,97255,79467,34116,16936,10878,7024,4712,4112,32042,69862,78081,42445,23496,15890,11789,9401,6640,28938,82072,36341,26717,22558,21461,24522,24720,18028,30123,109371,42775,38813,34068,24717,16895,12555,6701,647,138915,80923,39112,17713,6084,3231,504,58,2,140310,82425,36539,17308,6967,2450,495,47,1,83784,46910,47836,38335,27341,19720,14293,7920,403,103863,42161,31911,22856,20081,15018,11103,9097,30452,27264,9762,11219,16004,22600,33826,55570,81532,28765,15096,24267,29490,31094,30756,28289,24599,22759,80192,72355,52790,56251,43492,30386,18505,8973,3015,775
21,3,3,3,3,3,3,5521,48266,51681,51788,34536,20196,12947,10527,3960,15932,45983,43235,52595,35877,20702,13748,8193,3157,21463,76430,56857,31048,21009,14387,9585,6592,2051,16948,16114,14989,17210,19891,30051,40513,47231,36475,17721,41753,61037,48891,35412,20651,10138,3606,213,5339,45752,84662,54570,23941,18589,5267,1236,66,5607,49205,82765,52238,28274,14691,5440,1130,72,17246,60615,55176,37405,29748,20970,11513,5929,820,21589,21434,23129,26006,40303,42272,38821,23594,2274,7697,7259,7251,8363,12066,20266,39452,75996,61072,1077,6412,15912,24590,32450,41274,56822,46772,14113,42146,69428,46541,33199,23481,15317,7149,1814,347
23,3,3,3,1,3,2,176393,79328,39816,25726,18647,16612,13445,16187,381640,157875,68724,41431,29042,27028,24602,23942,28432,368317,117565,78224,47650,36999,32576,31351,34245,41708,350110,230748,52384,34055,29434,26505,29484,29549,30348,308536,473014,76219,44658,38481,35116,34316,33747,27244,8562,649398,61942,24017,15615,9014,7925,2593,734,119,650535,62575,21872,15409,10788,6687,2732,641,118,323457,121284,82666,62322,49010,42202,42582,38542,9287,214678,44563,31869,24260,25996,25738,28206,37595,333156,336709,109380,53175,48065,49194,53001,58246,48887,13770,27569,36853,31813,26821,24938,26286,29663,37602,527848,468968,55803,48416,46373,43041,36761,28331,21097,22253
24,3,3,3,1,3,3,162264,261541,61089,18628,9788,6731,5137,4953,26123,198350,184215,80260,32886,14889,8253,7075,7764,26088,152196,228851,86308,30820,15663,8912,7575,8638,24628,130853,105660,76055,64531,50825,42654,36858,24312,35781,142649,135761,127157,80483,48640,25167,12622,4995,1888,189509,242667,85242,40427,14094,10529,1924,364,14,195788,246880,76552,37991,17705,7616,1938,286,14,95931,133980,147596,92768,52715,26900,14872,7923,2371,194129,130966,73932,45842,37385,24640,16779,9434,20316,52793,12782,9577,12071,20744,44186,111743,222941,76748,12094,36539,59795,71354,77973,85313,81238,50884,84590,97390,119627,137243,98290,58106,32746,16447,6094,1585
25,3,3,3,1,3,3,0,0,0,0,0,0,0,0,0,11,10,3,2,3,4,5,1,101,6,10,10,7,6,3,6,1,126,52,0,2,0,0,0,0,0,135,43,7,2,1,1,0,0,1,134,58,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,7,13,15,13,7,2,3,1,140,59,2,0,1,0,0,0,0,155,186,5,0,0,0,0,0,0,20,73,2,3,2,2,2,2,10,144,0,2,2,4,28,103,30,13,17
26,3,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,3,3,1,3,3,2207,1068,153,74,31,35,17,36,16,2869,1684,415,208,101,58,45,67,23,2757,3052,937,422,211,110,88,92,10,4261,2053,1113,758,621,553,398,309,186,5191,4407,3311,2273,1588,1093,604,162,4,9471,7873,2686,1654,656,630,170,22,0,9673,7959,2479,1551,806,503,175,16,0,2918,3970,3396,2219,1449,868,490,125,13,1265,505,207,131,94,56,42,17,0,121,126,131,285,559,1046,1672,2674,1063,309,477,656,641,679,730,805,669,504,960,1890,2264,1799,1397,1038,573,239,91
28,3,3,3,1,3,3,31501,53073,7900,2017,1077,796,585,766,777,34868,43356,13714,4676,1584,930,824,1123,740,24936,51793,17192,5464,2084,1087,881,1169,412,30471,26744,16023,12949,10153,6558,3679,1269,373,23720,29460,28196,17463,10310,5395,2102,372,105,25642,49357,17234,15288,6791,5176,1197,267,10,26474,49714,16539,14636,8532,3635,1226,195,11,13045,28376,32517,20137,11446,5206,2375,717,121,42782,25649,13538,6591,3631,1465,868,686,205,1487,1394,1429,2742,5979,11833,27331,44662,8159,2240,5822,9523,12724,15714,19017,16957,12268,7550,6380,21156,30210,21714,13152,8404,4817,1931,455
29,3,3,3,1,3,3,22357,89561,37630,14035,7398,4401,2699,2058,1239,39455,58527,37632,20583,10420,6131,4003,3303,1324,27706,75463,38859,17818,9566,5256,3332,2836,542,23670,32008,24104,23705,22761,21063,20466,10713,2888,20532,39477,44316,34248,22598,12730,6222,1165,90,11597,63068,40169,30510,15594,14665,4404,1234,137,12514,64952,37780,29597,19696,11141,4538,1026,134,12728,37261,50927,35685,22825,12121,6438,3068,325,42690,40763,27490,21110,21331,14664,9214,3638,478,5153,2670,2946,4291,8389,19204,46993,75656,16076,976,9262,20942,27642,31036,33848,31021,18318,8333,11746,38292,49221,38464,23124,12650,5963,1647,271
30,3,3,3,1,3,3,3478,9325,2683,1131,537,285,117,21,9,7438,5704,2803,1626,853,485,276,64,9,7179,7121,3358,1681,999,436,186,25,2,6709,3431,3144,3204,2729,1893,1025,396,135,8379,5244,5297,4009,2716,1402,354,32,2,8454,9066,4047,3435,1706,2195,1101,230,1,8839,8935,3903,3319,2194,1729,1164,151,1,6533,5486,5481,3819,2515,1297,445,70,4,6392,3736,2560,1450,1172,427,281,51,2,3662,185,226,421,1006,2109,4443,6545,2390,59,619,1639,2637,3237,3131,2413,1458,4065,3989,4626,5430,4483,2546,1165,316,54,57
31,3,3,3,3,3,3,88835,42133,11397,7843,9000,6169,2394,921,378,60928,60059,15912,9874,8730,7397,4282,1635,256,43534,62637,23728,11961,8969,8537,7005,2553,153,24336,27563,22168,21333,23599,23101,17090,7891,2000,30002,33078,30881,29118,23226,14826,6606,1254,52,22456,64118,31307,20516,16023,11309,2481,403,24,22726,64167,29681,21583,17404,10252,2425,370,29,20777,38259,36863,26969,19840,13953,9292,2950,138,47294,35382,26485,20829,16756,13902,6711,1802,130,648,2175,3927,6587,9017,13822,30427,71043,31430,9641,18081,22970,24321,24501,24552,21509,16073,7395,10469,38862,49216,35864,21885,9779,2567,335,66
32,3,3,3,1,3,2,4,0,0,0,0,0,1,1,1,2,4,1,1,0,0,0,3,3,0,4,5,4,3,0,5,6,1,34,0,0,0,1,0,0,0,0,29,7,4,1,0,0,0,1,0,0,10,4,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,3,17,9,13,4,5,5,5,2,53,3,3,2,4,0,2,0,3,35,0,0,0,0,0,0,0,10,40,0,0,0,0,0,0,1,17,0,0,2,3,13,20,5,1,10
33,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,0,0,0,9,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,3,3,3,3,2,291381,78769,43235,34490,24329,31317,35824,38607,157940,222292,60112,43221,31973,34919,34516,43105,74201,190701,165646,59080,38769,39360,33341,41820,59235,118374,178573,396377,67109,29401,27746,31389,21997,30368,30087,98880,303680,53981,35690,43097,37850,47426,53474,66014,89580,591771,60999,25175,18740,9701,12682,6267,3378,681,594583,61362,22959,17446,12719,10096,6603,2938,688,198670,62778,42009,49251,41456,51494,62470,99686,123883,315464,49039,31687,30058,29280,31531,37842,71952,145538,522644,67605,29711,21868,19847,19133,19991,19853,12513,91380,35748,36628,36057,38244,43661,51606,69396,325945,149200,31787,29155,36935,53135,59130,76056,81444,210690
35,2,3,3,3,2,3,4535,94499,145756,65558,48399,34088,22954,10956,1399,10313,53579,155833,87734,52399,33198,23832,10294,962,8190,174294,104945,55081,38134,24734,16753,5643,370,15918,27665,37910,48605,56205,63877,79038,60267,38659,39435,181652,95321,57718,33538,13949,4987,1436,108,10324,112973,189114,82144,20280,11049,1882,350,28,11434,126505,180915,75244,23893,7918,1888,316,31,16331,161221,100688,62143,41664,27104,14139,4442,412,13480,30215,60862,76966,99546,71210,53927,21147,791,7359,7971,13422,19577,27911,42609,78947,162634,67714,419,3296,8234,13263,21389,41623,87954,189779,62187,127195,139107,75624,42086,24512,13067,5191,1230,132
36,3,3,3,3,2,3,0,4820,82927,35749,24438,22185,16311,7767,962,23,7151,73594,47100,22509,17180,17157,9526,919,297,75652,48612,22093,16912,12739,12497,5876,481,9304,15930,16227,21405,26052,29601,38437,23527,14676,38359,70832,29700,20295,16455,11482,6253,1696,87,334,21388,67783,63513,18034,14572,6783,2549,203,399,24049,69642,58168,22176,11170,7115,2239,201,10094,79674,30848,18957,16604,14296,12803,10852,1031,2889,12607,34310,39411,44433,27034,23051,10862,562,3611,11719,10316,10191,12191,16290,32148,74722,23971,12,184,1054,3992,9119,17434,31304,71322,60738,77079,45956,20833,14777,12035,10278,7395,5089,1717
37,3,3,3,3,2,3,3,9387,78576,72210,53660,43840,30322,16046,1578,18,10732,89506,76593,46614,34342,31600,14963,1254,498,93199,80902,41513,33404,25617,21735,8171,583,12269,23952,26827,36060,43255,52009,57513,36970,16767,34488,111951,53724,39381,32578,20492,10336,2541,131,0,14647,109254,105151,33546,26868,10871,4906,379,0,18424,111391,99077,40044,20513,11452,4339,382,9300,109262,51850,32625,30838,29332,24134,16834,1447,2021,15844,47809,57315,72671,56007,38847,14419,689,5204,17477,18632,19017,22637,29720,52847,110247,29841,22,379,2057,7340,16489,31599,56822,123690,67224,94268,79889,36145,26945,24288,22295,12748,6472,2572
38,3,3,3,3,2,3,6491,84767,136930,67255,47213,30496,15379,6724,1340,26355,61581,118940,79828,47115,30867,21623,8979,1307,19340,134564,109013,55196,36598,22986,13488,4752,658,19303,41296,45053,58481,61847,58408,58055,35742,18410,29836,122251,91027,66523,48635,24304,11043,2874,102,1219,71290,134631,112575,38010,29124,7731,1848,167,1424,81703,128921,105987,46881,21981,7981,1556,161,8524,105163,100767,65254,50330,36213,21486,8106,752,29247,50943,66567,66774,74554,53456,39802,14422,830,2455,4726,10303,16736,28224,51299,104540,147735,30577,444,6101,17861,29361,41496,63942,95693,114294,27403,59358,105073,90148,66209,41857,22673,8786,2311,180
39,2,3,3,3,2,3,5,5345,18692,31095,38634,33695,17462,6362,1144,326,7112,18611,32866,39595,32214,14531,6515,664,507,16998,30018,40638,34014,17513,9404,3028,314,5264,11778,15761,20110,26349,30376,27492,12837,2467,5973,27290,36040,33408,27174,14479,6328,1627,115,120,7665,41384,59186,24083,15408,3862,708,18,136,8265,42340,58230,26753,12141,3966,588,15,2116,20715,27724,33282,31822,21155,11607,3628,385,2044,7728,18090,23277,31436,33885,28664,6948,362,1814,3394,7866,13456,22010,32849,39431,28221,3393,22,1116,4571,8795,15176,26013,39587,41775,15379,9945,31745,40438,33090,21360,11112,3866,801,74
40,2,3,3,3,2,3,0,109,1153,8368,34925,53914,25344,8273,1166,0,164,2194,13351,37860,46522,23930,8905,326,0,1800,13054,27277,32976,29829,20866,7330,120,8022,18680,21370,22206,22923,19731,13202,6094,1024,1422,15888,30288,33588,27465,17527,5951,1083,40,16,374,12182,50537,40803,23466,5329,543,2,15,423,12418,51426,43270,19647,5556,495,2,259,6156,12919,23037,29852,28395,23734,8776,124,839,5234,12727,20699,28868,34364,25048,5401,72,2058,11708,21748,24580,24047,23292,18402,7084,333,11,301,1328,4186,11158,23151,39159,41754,12204,2181,17005,29202,30221,25219,17182,8199,2941,1102
41,3,3,3,3,2,3,0,4626,33919,98839,111272,91511,45661,27012,5887,13,10666,69888,94395,94893,79747,42328,25820,977,33,96881,82868,81699,66406,46798,33162,10584,296,16753,23842,31920,44210,55632,69532,78045,72327,26466,27419,120217,108708,75859,50976,25895,8199,1417,37,10,5873,115516,187273,70812,33663,5006,562,12,8,6348,125466,179512,77198,24608,5105,471,11,15211,130311,74367,62154,56920,43081,27482,8872,329,3742,10843,27054,46735,76512,121387,108596,23474,384,10167,15666,21755,31278,43942,58200,78238,113135,46346,12,368,2173,6082,16620,43478,102198,169136,78660,91035,121829,75353,51156,39606,28530,9033,1861,323
42,2,2,3,3,2,3,0,1039,46419,121779,55573,27181,11643,8270,2097,0,3791,95874,85627,42157,23716,10198,11553,1085,0,130303,70737,32663,16125,8384,7233,8381,175,1571,2528,2994,5278,11819,26770,54177,101891,66973,22661,111682,80037,27665,13928,9355,7315,1304,54,0,818,87428,148119,23120,13186,1190,140,0,0,886,101451,133866,27205,9228,1244,121,0,16415,156561,41935,20869,13311,8909,8764,6911,326,625,1098,2928,8332,22011,71724,120312,46634,337,1156,4846,5513,5810,6363,11061,28943,115589,94720,11,428,904,1849,5669,20702,64888,129717,49833,136996,88734,21048,8665,6255,7176,3993,981,153
43,2,2,3,3,2,3,0,693,31478,94883,149672,165534,101040,45734,17332,41,1851,46072,124758,167854,129735,76738,44073,15244,289,39180,98026,129959,130538,105275,57798,35735,9566,13145,35446,48053,58113,71439,88585,121501,124151,45933,22485,107815,116828,147026,105094,55438,29680,17197,4803,9,3116,75614,212732,158737,110125,31771,12540,1722,14,3440,81103,215048,173950,86986,32560,11490,1775,9837,87328,124603,131497,103416,67660,42459,28449,11117,2744,6646,14775,31910,73098,143377,167818,151306,14692,9184,31257,48555,65783,83685,101897,125750,111430,28825,32,655,6589,30954,76741,112761,122684,163683,92267,65738,136475,157475,114647,65339,36519,20838,8526,809
44,3,2,3,3,1,3,0,553,23519,67362,83771,69027,36837,15849,5716,11,961,25270,71200,93502,60715,28402,17362,5211,11,11405,57050,73979,71599,49704,21507,15139,2240,4176,11566,17214,24520,34490,48214,62517,59944,39993,3911,32775,58923,91043,69330,26477,11909,7326,940,0,148,20117,125858,93622,50914,10609,1323,43,0,209,22493,129059,99846,39206,10689,1088,44,1663,27159,74942,80709,60365,28949,13884,12414,2549,973,2403,5392,11172,24994,58929,104218,90852,3701,2170,11013,16422,25927,40050,57065,68872,64801,16314,41,667,5276,19257,44828,70259,72845,68921,20540,22201,80530,84295,58046,31054,14560,9143,2676,129
45,2,2,3,3,2,3,0,13,15671,41573,52700,35355,14218,7297,2284,1,311,19163,40556,49040,33658,15021,9607,1754,0,24329,34633,33420,32489,24021,11929,7879,411,2992,9539,12356,15245,17997,21114,24904,36329,28635,6764,39918,48178,34187,19849,10453,7078,2565,119,1,229,26242,74863,41311,22540,3558,367,0,1,265,30126,73541,44226,17029,3609,314,0,2318,44272,34980,31788,25477,14808,8793,6207,468,196,924,2641,7766,18055,41839,60442,36614,634,1126,6932,12310,16702,19874,22191,25533,41460,22983,26,341,1786,4124,9904,22440,41468,64955,24067,40305,42803,31456,23624,14963,9080,5387,1358,135
46,3,2,3,3,2,3,0,11,31182,125273,115784,58245,29897,19761,10961,0,1452,69519,118910,82197,51958,28695,27684,10699,2,61465,139234,75882,46558,22994,18070,23182,3727,1387,2223,3214,4338,6848,14365,39097,122111,197531,9043,59302,80803,101338,72469,32979,20729,12893,1558,1,217,69702,219637,55764,37600,7243,939,11,1,297,83250,205546,65953,27847,7465,744,11,3231,99619,116990,72463,36975,21567,16709,18947,4613,726,1032,2018,4398,9186,39598,126107,200894,7155,2693,10032,10603,10260,12832,21047,51338,167423,104886,17,629,7686,28661,64263,84048,85707,91574,28529,116900,154388,54188,22990,14577,13487,11745,2735,104
47,2,2,3,2,2,3,0,1933,23208,51816,74381,52559,30816,16273,4965,0,3547,29511,59856,56099,48144,32536,20809,5449,2,34705,67998,57215,42113,23413,14500,13676,2329,354,558,725,1209,2505,8732,32118,97065,112685,10220,43547,50888,62821,45821,20884,12837,7482,1451,0,1543,74303,130704,30236,14944,3519,698,4,0,1569,82563,122768,34333,10512,3652,550,4,5195,65806,75764,47227,24899,13001,9719,11310,3030,165,253,500,1604,4962,21934,81519,139708,5306,876,4768,6199,6260,10230,21691,49379,105141,51407,24,411,3769,13641,32496,50602,56618,63616,34774,75683,101474,40281,15869,8088,6865,5895,1535,261
48,3,3,3,3,2,3,0,1241,8817,24176,64179,127757,110648,43040,6966,0,2528,5273,22043,57093,115087,121850,60538,2412,7,9297,15238,35804,58051,95898,125010,46324,1195,4729,20099,36758,51364,70012,81056,74722,42102,5982,2104,25753,56975,86083,101223,76877,31146,6212,451,0,225,29130,106429,111701,98952,35074,5167,146,0,281,30045,109638,119624,86875,35560,4622,179,1371,19170,27054,39715,66512,83307,94547,53933,1215,513,3485,11255,27889,57758,104708,129796,50294,1126,3779,30197,71568,87178,74692,57509,40316,18232,3353,66,1143,5215,15594,39994,80830,118503,101327,24152,8671,48325,79768,92310,78675,51204,19970,5988,1913
49,2,3,3,3,2,3,0,3356,63904,62316,68656,56184,38338,17895,2935,8,4352,55628,76102,72723,58427,32396,12679,1269,164,58572,75281,66986,52787,32523,19994,6708,569,6580,22257,34256,41685,46752,49243,48313,38757,25741,10918,108677,86993,57541,29523,13546,4796,1493,97,1884,42127,127107,83993,25835,19314,9886,3224,214,2065,47200,126025,80998,28066,16024,10151,2837,218,3637,84364,81129,61188,39965,24863,13253,4578,607,1061,6013,18029,41000,74608,76103,68037,27606,1127,3967,8513,16424,26135,37188,50933,67081,74068,29275,13,210,1077,3897,10368,29799,71347,135226,61647,58624,99313,72720,40440,23064,13834,4590,934,65
51,3,3,3,3,3,3,28,19412,24838,23442,37991,27681,8461,3264,504,558,20961,25838,26102,32989,25222,10343,4215,414,903,32657,26753,23617,25085,22091,12938,3320,241,6700,12824,17698,22536,28457,29332,22611,7721,681,6898,25662,32209,32208,28861,17755,6527,1047,61,801,11640,34542,50227,30879,18415,4863,944,99,805,12129,34137,51054,33139,15019,5209,814,104,3474,21307,27065,25179,27204,25215,16245,4300,242,5902,13716,20057,23674,28729,29289,19355,3778,220,1871,4080,10407,16935,21021,24532,30086,34237,4436,21,901,5095,13193,24148,32919,34710,26820,8831,6992,28488,36380,32669,24491,13638,4769,989,136
53,2,2,3,3,2,3,0,1012,26421,60097,86070,107498,94685,35789,6333,0,1254,16210,56977,81924,106457,108932,43106,3045,0,44207,37693,67568,78672,81414,84236,23634,481,2647,6025,9434,17250,35134,72238,122006,121864,31307,7409,68735,95822,96462,81600,48308,16603,2834,132,0,2431,78556,195190,83797,47667,9704,558,2,0,2680,88006,186993,92575,37295,9937,417,2,7354,79541,77563,65909,64133,48649,44776,29374,606,672,1323,3626,9597,23780,73552,185577,118713,1065,1318,10468,21124,42563,71000,84965,89856,70168,26443,28,280,1615,6734,23007,62837,113161,152432,57811,54138,129168,107368,66325,34000,18277,7040,1234,355
55,3,3,3,3,3,3,0,82,694,1312,2823,2852,3094,2681,272,0,644,1144,1654,2269,2877,3097,2033,92,0,1189,1542,1966,2432,2849,2913,884,35,1110,3275,2519,2103,1832,1621,962,342,46,280,1494,2947,3679,2511,1717,967,199,16,0,113,339,1252,4795,6229,1045,37,0,0,106,315,1353,5039,5912,1052,33,0,230,825,1532,2329,3213,3294,1782,574,31,312,963,2344,2935,2413,2457,1800,566,20,666,2050,2068,2111,2241,2024,1520,945,185,3,127,478,845,1252,1844,3027,5370,864,245,788,2046,3371,3979,2592,657,126,6
56,3,1,3,1,3,2,475996,108706,52022,39177,23530,22303,21138,26355,168877,400547,103487,56594,43044,37553,32249,32132,49551,182711,322495,111868,60894,50025,40044,41805,47552,82307,180586,455851,85180,46436,44199,40795,41716,47037,51259,124719,428445,81136,53726,46725,46024,48193,56993,73196,101634,806947,73810,22644,13902,6876,6912,2959,1240,234,810358,72912,20638,13226,8491,5452,3128,1089,230,342067,103328,69127,55159,50205,49756,60159,90893,115824,454770,74714,45117,38089,32440,33158,39840,62653,159124,370582,63945,40474,44818,50080,58634,79438,128069,100936,198502,69843,53995,43139,39606,42772,50721,70096,366081,250594,111016,74547,62374,58462,58273,60967,61368,197120
