census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10
570,3,2,3,1,1,1,438728,115041,63160,39768,28700,22481,17518,13270,6665,831,347520,113459,61363,45717,38632,36454,33803,35944,32534,736,275760,136754,67808,48333,41136,38472,38454,44125,51413,3907,22022,22982,39049,63585,91239,112994,127445,136964,108570,21312,52312,135447,93628,79356,66509,61479,60082,61850,63884,71615,1,12670,219559,170146,116978,95440,61416,49362,20205,385,1,11989,208944,171401,129928,93591,60131,51477,18465,235,118437,141094,101567,64867,55842,51990,49538,54744,65223,42860,81346,154607,124208,91766,66357,51212,47073,54921,69314,5358,10760,4066,25745,31788,49199,55306,61321,74999,130647,302331,226745,148697,121427,85315,59057,40306,28371,17704,6474,12066,73256,159517,105871,85285,65275,50048,42924,39123,47194,77669
571,3,1,3,1,2,1,0,1,0,0,2,1,2,1,0,0,3,4,5,3,6,1,2,6,15,11,4,11,8,10,1,10,9,7,18,6,75,5,6,4,1,0,2,0,1,4,55,24,6,4,6,3,3,2,0,2,0,0,1,27,2,2,0,2,0,0,0,0,0,31,3,2,0,2,0,0,13,25,20,22,19,18,9,6,11,4,88,11,9,6,1,3,4,7,11,7,87,9,4,1,1,0,0,0,2,20,70,0,0,0,1,1,1,0,1,68,2,4,7,15,61,16,4,3,1,11
572,3,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,7,0,0,1,2,1,0,0,1,2,3,16,2,2,4,4,0,1,10,0,36,6,5,0,1,1,0,0,0,0,37,9,6,4,2,5,0,0,0,0,0,6,12,0,0,0,0,0,0,0,10,17,9,0,0,0,0,0,0,0,33,48,21,13,20,8,6,14,18,1,259,12,3,1,3,2,5,15,27,2,48,0,2,0,0,0,0,0,0,10,70,0,1,0,0,1,0,1,2,13,0,0,3,5,22,20,4,2,1,20
573,3,1,3,1,1,1,58805,146732,102908,72815,55911,38477,25030,7958,1284,127,27341,107660,74124,63006,58123,57664,56057,51849,14140,83,22659,88423,63740,48054,45027,52624,64695,80970,43730,125,24541,28472,36547,43203,60999,76763,98970,93811,44190,2551,20786,42654,41975,37654,34807,35260,42903,64378,93304,96326,0,1779,19552,76051,103673,111547,128031,64422,4782,210,0,1740,18964,70777,113806,109173,123354,66676,5442,115,22178,48620,51862,42135,36960,38220,46743,70702,111645,40982,32458,45778,51865,62785,56747,58853,62191,81018,58046,306,8234,1764,11398,68862,95679,83140,71212,65345,70678,33735,237339,63996,39873,32182,28147,25001,25227,24796,19088,14398,17310,44307,45921,45041,41654,37617,37925,38560,56556,145156
574,3,1,3,1,2,1,197935,186803,123921,75504,49969,32091,19138,8683,4341,5039,113982,108011,98119,87501,78943,73555,67354,52996,18724,4239,94858,80602,85397,78001,78344,78651,83887,79459,40848,3377,18949,14416,18604,29533,53764,98234,151454,175281,123335,19854,32265,64433,46862,45423,50321,59448,74723,108359,141439,80151,20,45818,147005,139013,185717,125237,52812,7553,243,6,23,44701,142037,131057,203360,121847,52198,7937,261,3,54948,63903,54570,55831,60242,70072,83643,120088,119345,20782,33058,49203,68764,83276,86996,88188,90382,109207,89885,4465,8672,1945,9264,31302,63137,112038,134652,125422,103871,113121,305790,112296,76617,61153,44375,31055,24281,19432,13989,14436,34152,86232,63918,67630,73537,76850,82168,74728,79198,65011
575,1,3,2,1,1,2,221683,113466,44122,23833,16991,15171,10257,7983,8396,11693,202687,117192,50576,30072,21270,15886,10717,8715,9211,7269,208109,117899,52494,29394,21073,16647,10886,6944,8224,1925,10281,14506,20295,32579,51304,77744,97742,99120,53757,16267,50963,122542,81642,67544,54239,39368,28010,17484,9349,2454,0,19158,219477,155675,52742,16385,7340,2645,172,1,0,18112,212318,157395,61198,15195,6784,2366,227,0,128863,136664,84065,48992,29914,18267,12436,8546,4574,1274,47493,75809,86392,98934,78430,39182,18399,10693,10406,7857,4226,1868,3187,5839,10725,17768,26044,42948,96511,264479,18290,40502,52355,59566,63969,66499,72137,61474,30998,7805,65552,177261,98301,58437,31341,16224,9467,5812,5263,5937
576,1,2,2,1,1,1,371072,33576,8622,3677,2967,1401,955,534,350,261,317403,58714,19747,9618,6130,4298,3350,2802,1197,156,269644,82306,32037,15553,9516,5823,4321,3035,1142,38,6498,18625,24800,37502,53530,63630,86631,85467,40328,6404,68402,130523,68133,47652,35047,26549,21441,15079,8559,2030,5,103285,150624,63040,50139,31633,15935,7233,1357,164,6,101699,151643,62501,55254,29150,14811,6584,1650,117,132235,120838,59067,38146,26222,19165,12763,8967,5398,614,60956,126872,95127,63746,36036,19594,12019,6736,2138,191,862,258,830,1809,4394,8720,15492,31518,70785,288747,54900,63095,64547,61886,50124,40598,37769,33502,15090,1904,112470,131042,57185,39182,26829,17925,12481,9147,8814,8340
577,3,1,3,1,1,1,109389,232261,163346,70901,37678,20972,10050,3886,773,66,77635,125498,135890,123909,75652,57408,31503,18042,3711,74,46308,107034,87544,93286,94632,95668,75509,40524,8739,78,34335,75736,83633,78876,102304,97204,90206,63376,21944,1708,25991,32760,38420,47695,63769,70242,93781,128819,115636,32209,0,2813,40623,78956,128780,156652,134735,69761,24043,12959,0,2683,40728,75714,144020,153858,127416,65875,26936,12092,26710,46087,55540,65902,60156,67379,93553,124768,97376,11851,77706,73704,70744,92231,89081,97047,75944,56245,16458,162,14000,1701,6908,33804,89778,137268,130594,119643,87444,28182,312372,115969,63144,40078,26511,19158,16276,16435,18731,20648,19611,28877,40935,52936,61598,72047,83595,82337,95462,111924
578,3,1,2,1,3,1,0,0,0,0,0,0,0,0,6,15,4,3,3,3,4,6,8,9,30,21,1,4,14,4,11,25,21,32,34,8,115,31,14,15,5,4,7,5,0,0,31,81,49,29,16,22,8,2,0,0,0,2,34,15,11,14,4,0,0,0,0,0,17,40,16,7,8,0,0,0,0,4,10,32,68,50,69,64,45,1,101,48,20,26,32,33,18,27,55,4,159,12,9,3,3,3,1,0,2,60,212,1,1,0,2,2,2,3,8,96,0,2,6,29,71,82,27,6,8,72
579,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,9,3,8,25,47,0,0,0,4,27,14,4,18,40,47,123,34,16,21,12,10,11,10,20,37,95,59,36,34,35,30,27,31,30,15,0,0,4,19,79,26,0,0,0,0,0,0,1,14,107,26,0,0,0,0,0,2,9,108,69,33,46,80,89,110,166,34,7,16,22,21,28,39,86,134,186,2,0,0,0,0,0,0,0,200,400,0,0,0,0,0,0,0,18,126,0,2,5,29,206,111,11,1,1,142
581,3,1,3,1,3,1,44489,125425,102094,67481,39182,17717,8625,4032,2430,267,12801,44593,53074,62389,67000,66287,58434,35316,11018,830,4729,24348,37883,45003,56012,68794,79146,70696,24495,636,12595,7887,11594,18506,31166,52388,81924,104333,79831,11518,8139,6579,9538,14388,21474,31704,51509,85490,116296,66625,0,489,8398,18346,72430,141528,130314,38857,1378,2,0,548,8023,16415,78715,139278,127488,39655,1620,0,7178,8135,16313,23996,32642,43790,59084,89371,109695,21538,11561,13389,19926,25812,36579,52033,76799,106477,68313,853,6935,2806,6052,20361,59861,97566,95844,71107,42898,8312,257603,72541,30936,15244,8475,5261,4215,3966,5279,8222,5217,8106,17077,30499,43919,51667,57341,60121,74694,63101
583,3,1,3,1,1,1,1,2,2,1,0,2,0,0,0,6,2,2,6,0,6,6,9,6,13,13,0,0,5,8,10,21,8,2,22,15,65,21,7,0,3,4,13,6,0,0,28,34,7,16,14,4,17,6,0,0,0,0,0,3,26,2,6,1,0,0,0,0,0,1,29,2,8,0,0,0,0,0,8,25,24,19,16,23,29,3,38,23,14,8,5,7,12,15,34,12,99,5,2,1,1,0,0,0,0,40,90,0,0,0,0,1,2,0,16,61,0,1,3,6,42,67,14,5,2,13
585,3,2,3,3,3,3,78892,66325,15785,8301,3352,1745,566,265,164,9,65454,67568,23128,10189,4851,2507,1148,415,138,6,45208,60243,32354,17954,9808,6583,2498,602,148,6,21829,25753,35211,25924,22044,15507,12707,9483,5350,1596,17165,31879,29128,24746,22011,17053,14560,11828,6340,694,0,0,1329,17476,47472,52641,29834,20051,6041,560,0,0,1292,16632,53589,50116,28080,18244,7098,353,27879,40520,31226,20698,15960,14693,11719,8922,3683,104,31328,57285,39404,23969,13687,6318,2511,780,118,4,6230,2449,3812,6501,11133,14943,19286,24869,38786,47395,32232,24966,24154,22632,18176,14421,12531,10233,6231,9828,14591,32496,29965,21835,15412,11356,9504,7944,9225,23076
586,3,2,3,3,2,3,27046,47460,41712,45950,20386,11803,5073,2314,1186,216,30912,61346,50038,30248,15644,8127,3512,2036,1112,171,37515,57220,45596,28652,14880,9510,5842,2876,917,138,13992,23769,35718,33839,29950,26689,17867,12077,7593,1652,11593,39621,30186,26541,26712,23198,20956,14751,7838,1750,6,3,2212,31621,48082,48755,35184,25211,10970,1102,6,3,2452,31009,52881,47391,33230,23653,11767,754,26648,44621,36781,27052,20959,16617,13907,10636,5403,522,15813,49233,59096,30899,25333,14656,4582,2596,812,126,5250,2659,4979,9012,13886,18819,25334,32890,42687,47630,20072,27189,26879,26062,22801,20018,20485,22588,11200,5852,14615,39824,29186,24144,19359,15326,12585,10159,11923,26025
587,1,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588,1,3,2,1,2,1,34847,73159,38987,18465,11667,6948,5084,4395,3972,4887,37946,73889,39540,18016,10937,7555,4757,3485,3386,2900,43650,70567,35672,19743,13043,8168,4991,2612,2688,1277,7598,8137,8776,13175,19662,26006,36465,41526,27741,13325,8953,31162,36976,36958,31759,24494,19319,8764,2937,1089,1782,10045,78549,59327,30755,14452,6191,1287,23,0,1873,9728,78155,59148,33545,13087,5680,1169,26,0,20021,65130,45836,26774,18548,13948,6827,3289,1556,482,10977,16745,27682,46177,45829,27189,14090,6608,4113,3001,1676,745,2460,5378,8238,11318,15608,24480,51496,81012,11014,27747,28415,27372,25147,22432,21492,19777,13432,5583,12149,72003,43736,26446,14997,9186,6350,4525,4805,8214
589,1,3,2,1,3,1,124297,116393,35221,12505,6764,2450,1784,1150,1142,1545,99423,136062,39882,12492,6041,3173,2239,1684,1337,918,99516,127154,41457,16132,8856,4286,2735,1633,1002,480,11537,7430,8198,16960,39603,46236,57377,52207,39187,24516,23331,58515,67149,65161,37968,23111,17157,7654,2514,691,0,6578,60185,117609,82753,23715,8738,3278,393,2,0,6549,61839,115368,87418,20631,7962,2993,489,2,40381,128861,64937,29562,16756,12133,5967,3268,1131,255,17747,26637,64223,86474,52979,28783,17211,6381,1815,1001,3461,1062,1818,3937,5925,8175,13108,25921,82118,157726,18530,41268,44909,41833,37915,33852,32959,28521,14190,9274,30503,131543,62799,31428,16287,9150,5765,4119,4286,7371
590,1,3,2,1,2,1,201044,11579,3720,1608,610,184,61,37,14,6,180565,23778,6800,3439,2116,1311,577,241,31,5,157392,40058,10988,4472,2791,1821,968,327,46,0,3390,12605,18471,23183,31143,31897,37130,36506,19765,4773,23890,68321,49958,31455,17232,11676,8747,5482,1960,142,29,4116,64641,62474,48141,24299,10006,4026,822,309,31,4020,62513,62723,53501,21938,9202,3663,1012,260,49121,86896,39873,17491,10447,7340,4160,2629,861,45,41693,71367,44461,28624,16104,9605,5268,1628,108,5,42,42,89,301,980,2343,5222,10643,36106,163095,30079,34392,38273,36070,28664,21254,15545,10048,4032,506,35980,79342,44248,25187,13109,7250,4838,3114,2753,3042
591,1,3,2,1,2,1,131455,90476,11257,3003,1639,583,337,241,208,191,125710,94639,11707,3705,1784,794,443,312,224,72,115106,98886,16332,4490,2352,1106,587,330,174,27,9169,6826,8826,18027,41549,49489,53855,30911,14112,6626,41098,104906,47169,24126,10240,5540,3658,1967,583,103,95,5604,23943,62449,120185,22798,3531,721,63,1,93,5527,23994,61121,127345,17534,3050,648,77,1,83160,110312,25611,9623,4978,3024,1640,767,248,27,25087,49339,80255,54399,18687,6989,3166,1098,279,91,2376,584,532,878,1535,2751,5508,12536,61172,151518,6673,11122,14206,17960,23117,30407,42339,53996,31777,7793,53736,125932,32953,11817,5796,3324,2159,1437,1155,1081
592,1,3,2,1,2,1,67792,156587,101611,24503,9459,2909,1241,654,615,197,132884,183600,30023,10517,4200,2068,952,481,618,225,192283,129559,24666,9445,4740,2486,1158,501,497,233,17860,13839,20573,33541,60002,71925,74160,48477,20151,5040,68531,118971,66537,48821,31561,15652,9449,4472,1113,461,2574,18903,45458,128298,139752,24726,4677,1127,51,2,2854,18388,45053,120102,151921,21924,4217,1050,58,1,124685,143940,50148,22025,11399,6763,3919,1685,562,442,44161,70688,119511,83336,31305,11388,3302,1081,554,242,2245,1055,767,1241,2642,5084,9632,21760,82481,238661,12470,23340,31802,35349,37841,39473,47286,59963,64151,13893,72288,155584,70876,30155,14663,8140,5119,3199,2720,2824
593,1,3,2,1,3,1,208326,136556,70185,28845,10977,3099,933,388,385,34,218862,144142,59418,22641,8117,3752,1728,570,448,50,229836,156180,40256,16381,8503,4967,2445,701,376,83,27419,33219,35148,59224,78813,85869,71396,45319,18644,4677,99512,126683,75611,58224,37407,26304,20190,12221,3156,420,616,41598,112352,120954,126376,40066,13963,3440,344,19,810,40862,114346,117404,135255,34887,12626,3109,420,9,150632,150260,65608,35632,23161,15490,10764,6189,1614,378,87931,94937,120074,80142,47425,19564,7001,2145,439,70,4164,914,763,1491,4261,9314,17371,36919,126347,258184,31318,38499,45632,47364,46261,48102,57380,66127,63358,15687,80686,171008,90112,45498,26234,16657,10985,7010,5774,5764
594,1,3,3,1,2,2,103958,96158,43310,26714,26151,10624,1831,663,322,3,139480,98600,47164,14136,4639,3212,1623,588,281,11,153037,119471,18846,7197,4142,3369,2480,929,230,33,16230,18746,19570,36295,45403,64325,64358,33325,9477,2005,85818,106748,43899,31795,15670,10671,8227,5542,1218,146,0,2902,53200,118168,115054,17311,2715,374,10,0,0,2731,54409,114149,121670,14038,2395,327,15,0,136641,100027,34150,15342,9187,6215,5248,2410,345,169,54703,54169,89544,65064,33256,9009,2752,992,214,31,4182,844,739,1681,3765,5834,9061,18293,77114,188221,11165,17641,23169,24819,24139,25473,34642,51255,79338,18093,80827,130553,45228,20705,11711,7207,5112,3550,2776,2065
595,1,3,3,1,2,2,64045,69164,47982,28635,16657,6867,5387,4310,3130,213,100712,92837,29545,11953,4503,3511,2120,792,330,87,132688,89280,14590,5389,2189,1106,563,327,209,49,22556,8010,10076,23281,33493,47153,53426,33846,11620,2929,45327,90161,52410,33937,13508,6001,3025,1390,517,114,0,1384,12276,79644,134326,16012,2158,536,52,2,0,1369,12842,76602,141057,12131,1839,487,62,1,89411,110502,26927,10060,4925,2419,1404,579,138,25,32265,41488,84525,51345,26934,6688,1915,876,289,65,13168,1556,1349,1558,2198,3253,5606,12659,51363,153680,5727,15408,22747,24504,24244,22072,23942,31270,49630,26846,42695,128973,46131,14592,6126,3150,1850,1078,882,913
596,1,3,2,1,3,1,491686,14634,1505,192,110,85,91,108,274,840,474540,31045,2579,549,181,129,105,143,326,554,445940,53682,8225,1422,363,197,165,157,448,129,49725,53898,46000,65025,56327,57069,58552,62397,41528,20734,185100,139394,73214,50840,27398,18098,10713,4847,1501,377,9459,141628,185728,92299,58764,17821,4301,1311,155,16,10951,139768,189321,88623,62796,14823,3802,1192,197,9,258499,143863,53742,25302,14260,7820,4344,2353,974,325,204540,134679,79893,37516,27553,13287,6345,3561,812,532,8240,817,524,530,779,1697,4688,14024,53435,425994,68163,63520,64984,63185,55491,48533,47000,45417,36049,17809,165737,202248,67170,31547,17172,9774,6382,3818,2975,4432
597,1,3,3,1,3,2,132590,69757,16367,3103,2043,1054,552,106,42,24,176460,38412,7971,2146,357,148,65,40,30,9,181458,39033,3881,800,236,111,51,46,17,5,11448,6676,8175,18730,29597,45709,54270,35587,12733,2713,29217,87367,63332,32169,8708,3070,1255,418,89,13,0,507,8319,89412,120300,6501,520,64,13,2,0,498,8784,86356,124890,4583,453,58,14,2,76783,123928,17243,4663,1805,746,316,130,22,2,26898,59281,76369,37699,18767,4693,1330,474,117,10,4814,273,277,294,518,1003,1903,5125,22193,189238,7578,22981,37112,40102,31596,22068,17079,16226,17913,12983,26565,138346,47802,8115,2652,1023,543,262,171,159
598,1,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,3,10,15,0,15,3,3,5,2,13,23,14,10,3,108,8,4,6,2,0,0,2,3,0,42,48,34,11,5,4,3,3,3,1,0,14,4,8,21,3,0,0,0,0,0,14,0,10,28,4,0,0,0,0,24,0,1,23,50,40,28,31,17,10,114,44,20,26,22,10,11,16,15,16,80,6,5,2,3,0,1,0,3,62,174,0,0,1,1,2,0,1,4,31,0,2,5,23,49,44,7,4,5,39
599,1,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,1,3,3,1,3,1,159103,58332,9624,3963,1958,1242,1164,1373,2449,5700,178094,44719,7927,3024,1651,1328,1267,1467,2455,4283,178970,47812,7627,2862,1680,1356,1113,1121,4775,69,17468,10305,12888,19782,34672,46956,45207,34707,18886,7642,51643,99825,58256,21277,8826,4162,2363,1879,2968,326,2671,28369,126011,86747,8216,508,33,5,0,0,2888,27710,120839,90153,10486,441,38,5,0,0,102127,107194,22536,7399,3264,2048,1573,1595,2087,721,43293,65955,70496,36962,11308,4467,2305,2089,2826,4010,8140,519,462,887,2257,3192,4529,8643,33423,185333,1531,7413,20166,31053,34283,32900,35054,38154,29558,16103,45175,148749,38299,11111,2970,1080,479,249,179,222
601,1,3,3,1,3,2,120433,43731,6871,1928,837,482,386,332,337,212,140560,30617,4725,1429,594,430,350,341,430,130,143352,32386,4567,1234,600,406,324,308,394,39,4540,6189,9361,14170,22510,33375,40034,37339,18127,1854,51852,86884,38428,12362,4478,1793,723,433,300,122,416,8048,55143,125091,11285,1464,215,7,0,0,434,7868,47403,130345,14065,1335,210,9,0,0,103379,71715,12116,3692,1356,595,374,310,248,100,17284,47095,58794,33598,10005,3290,725,400,414,145,1287,269,365,388,625,1031,1737,4299,20366,153243,1028,5835,13975,19180,21550,21916,24561,30294,36651,4616,57175,101800,18391,5751,2169,922,539,299,267,186
602,3,2,3,3,3,2,362,2805,8594,17861,33507,51313,72259,89269,54049,6610,270,5720,15206,26219,36278,49537,69377,81588,48028,4406,557,14572,26315,32782,43193,53492,63812,65949,32989,2968,16282,16482,22706,31536,42335,53898,63864,56903,26636,5987,10804,9614,11721,16050,22464,30981,43190,64815,83125,43865,0,3,3833,14972,52888,133398,117416,14059,60,0,0,3,3960,13771,55131,136162,113364,14199,39,0,10371,12198,17358,23233,29937,38665,49084,66394,69063,20326,11768,11396,17320,22627,35927,50207,64897,74099,44316,4072,10517,12068,34882,53898,61426,56026,46931,37180,21509,2192,52828,74829,56262,41389,28309,20473,17963,17113,14932,12531,7241,12263,17524,26422,33413,34507,34192,32444,45052,93571
603,3,3,3,3,3,3,0,0,29,333,812,1329,2189,4043,3069,1475,5,340,857,1105,1515,1913,2709,2629,1275,931,67,773,1166,1653,1990,2450,2616,1108,956,500,3650,3293,2411,1467,730,402,337,237,267,485,923,1122,1562,2176,2757,2355,911,573,681,219,0,0,360,1246,3153,6447,1995,78,0,0,0,0,346,1168,3194,6826,1665,80,0,0,535,597,1290,1694,2131,2420,2368,1282,597,365,1823,1789,2108,1983,1993,1201,584,450,666,682,2144,2676,2276,1938,1671,1215,797,415,144,3,21,64,108,235,389,672,2002,4389,4263,1136,214,294,582,1528,2440,2702,2087,1258,1135,1039
604,3,1,3,1,3,2,0,86,3244,17874,48333,81317,118735,118995,60346,27969,327,5129,18482,36855,59494,80168,106563,96300,53751,19830,740,15983,39888,55888,68551,80068,87403,74167,41045,13166,25216,26322,35215,49316,72048,84477,80688,57244,27041,19332,15173,16438,19737,27643,38439,52773,68985,92415,101785,43511,0,147,6346,31086,83804,157403,151523,43977,2613,0,0,149,6149,29261,89777,160079,146418,42984,2082,0,13704,21526,33150,41413,51590,59528,68282,84300,79494,23912,19116,19950,25865,32265,55725,78393,97431,85056,44779,18319,10376,19085,45090,82213,87136,82118,72214,52810,23996,1861,47499,77754,70890,62369,51336,41531,36794,37795,34136,16795,6938,19155,31061,46491,56797,56411,52798,46455,56659,104134
605,3,1,3,1,3,1,173567,140640,93152,55560,43289,37669,40441,30295,11076,615,139421,119066,92757,75482,60480,51576,45128,30085,11269,1040,114643,125089,100463,79656,66729,55234,43877,28875,10412,1326,13775,22540,34853,57674,92780,124076,138367,98097,37298,6844,29349,67814,76931,79522,78471,75544,76376,73508,51738,17051,0,2105,37777,68725,141086,171735,137427,60863,6582,4,0,1985,35970,63715,154066,168955,133185,61666,6759,3,39939,92093,94686,83614,73961,69490,65721,60063,38618,8119,50519,73551,84362,88973,95840,92402,71298,48475,19309,1575,871,3613,6053,14609,37916,63018,92909,120667,151025,135623,98373,128368,108440,82813,59162,44624,37824,33554,28221,4925,18975,99082,105558,104807,85896,66647,51706,36311,32182,25140
606,3,1,3,1,3,1,95605,108879,107343,77693,66328,58953,59678,49690,12137,1016,78729,79275,86897,89484,83384,79268,74446,53494,11620,725,71338,83574,98011,91090,83704,78030,70442,49799,10816,518,15608,20161,34074,59220,94814,126306,135802,103711,42748,4878,29952,57363,59237,67920,77022,84717,93733,94490,62199,10689,0,1659,35828,44303,128774,177121,147035,88137,14248,217,0,1488,34871,41019,137691,177552,143044,88294,13232,131,42058,69887,78667,81202,80586,79848,79219,76276,45793,3786,44119,52522,59910,71364,94160,111038,103704,76516,23032,957,2109,1955,9467,34588,59142,87069,109887,127706,119437,85962,51934,109139,123328,105926,75435,53127,43361,36829,28767,9476,13480,97697,90402,94987,90372,76926,62226,44045,39257,27930
607,3,1,3,1,3,1,52370,51404,82463,95249,93192,93098,119666,102668,46522,2612,35730,40241,66675,96958,112310,116725,130886,100594,37730,1395,32870,60537,91108,110565,111440,113471,107751,81926,28557,1019,15527,28008,38688,61166,83203,131290,150935,145602,76814,8011,17106,46460,58219,68116,80437,101719,120834,131133,93003,22217,27,176,7868,44485,126480,216831,222744,109840,10779,14,27,182,7449,42845,141120,219749,212550,104091,11222,9,23566,67485,76518,84527,96092,102359,104164,99551,72540,12442,19456,38967,50507,75706,107343,129843,124152,132175,59616,1479,3204,7443,20831,57488,98289,131491,140922,129954,97771,51851,51842,107555,122694,123070,99839,74070,59660,47840,39784,12890,10766,81393,87199,99948,105033,99414,87185,67016,59262,42028
608,3,1,3,1,3,1,109102,96329,103758,97638,62670,34298,18853,9007,3638,809,74723,76479,68304,86067,87126,68516,44408,23072,6620,787,78912,73671,72506,79903,78516,66835,50538,28066,6572,583,11112,10087,18170,29679,50793,83843,117199,129545,74628,11046,22238,47628,57998,68795,72917,76637,75805,67218,40054,6812,0,6273,44155,68977,107757,141417,124123,41458,1942,0,0,6275,43483,65681,114538,144227,118967,41525,1406,0,34380,76717,67107,70830,70227,66011,59588,55537,33622,2083,27758,33241,41313,60307,88630,110088,96366,59761,18003,635,8079,1929,3070,9706,32054,68076,95298,106836,105053,106001,49331,71663,81026,91432,82739,61327,45661,30168,13858,8897,23447,97740,89328,90830,80447,60486,42347,27207,18474,5796
609,3,1,3,1,3,1,55470,38614,61422,66468,62202,38477,18669,6012,2018,187,37389,34468,38417,50469,63888,56008,42489,22405,3884,122,34319,45610,40155,43350,49820,52587,45832,31065,6726,75,3768,5217,12229,21312,35842,53220,68406,83858,58610,7077,9485,25958,31138,33693,44937,53043,57666,52851,34843,5925,0,1305,18041,33845,61811,89721,104911,36853,3038,14,0,1275,17437,31907,65447,91654,101940,37469,2397,13,16414,40847,35731,39865,43263,46032,45975,44501,33363,3548,9968,14164,19270,33581,59708,75672,68962,52542,15546,126,1397,1078,3220,17000,41098,54711,54800,55397,60561,60277,38078,56370,54562,55374,50828,36866,25952,19384,9287,2838,13064,54476,47452,52121,52165,43609,33466,23927,20220,9039
610,3,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,9,7,19,12,6,0,5,7,5,1,4,12,11,0,0,19,3,2,10,10,14,11,8,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,6,25,3,33,52,0,0,0,16,2,13,5,0,35,55,41,0,0,0,0,0,0,0,0,40,80,0,0,0,0,0,0,0,0,27,0,0,0,2,26,47,4,0,0,20
611,3,1,3,1,3,1,253107,8084,847,118,50,19,16,12,13,10,232459,23349,4251,1426,456,212,68,27,23,5,209082,38868,8407,3234,1450,722,393,99,17,4,24026,32071,34998,25849,27668,22327,24065,28492,27990,14790,66437,65513,44918,34497,24233,12469,8873,4365,917,54,16117,98284,100332,35918,9377,1902,279,46,21,0,18760,95209,101994,34450,9997,1564,236,44,22,0,88272,85964,43134,21288,10601,7006,4179,1541,285,6,98662,58542,37315,25753,16815,13772,7557,3343,510,7,1563,244,217,235,470,1020,2931,9697,43207,202692,48623,45680,41719,33818,25323,19026,15477,13393,13187,6030,56703,92536,47145,31876,16564,7167,3872,2346,2156,1911
612,3,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,2,8,1,11,10,3,26,13,4,2,2,4,0,3,2,0,1,14,12,8,2,3,5,4,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,16,0,0,0,3,13,10,6,17,4,9,1,23,3,4,6,4,4,2,4,7,6,40,1,0,0,0,0,0,0,0,30,70,0,0,0,0,0,0,0,0,20,10,0,0,7,23,14,12,2,2,0
