census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12
30,3,3,3,1,3,3,1205,7929,4767,1585,826,618,331,178,99,33,8,7,4845,5884,3316,1900,1287,830,574,273,234,95,18,2,5253,5735,4287,2383,1302,937,559,318,157,46,9,1,5778,2737,2525,2244,2768,2095,1709,1254,827,450,179,100,6937,4106,4019,3858,3224,2334,1673,896,325,56,6,1,1587,13066,4178,2736,2570,1874,1355,1537,904,406,22,0,1059,13589,3918,3111,2713,1640,1475,1414,989,307,20,0,5662,3467,4064,4307,3071,2233,1435,892,373,130,13,3,5515,2742,2743,1688,1297,707,725,320,239,83,11,1,3588,168,145,172,274,543,988,1731,3116,4635,4414,1213,16,250,727,1324,1901,2320,2538,2246,1937,1370,834,3795,2980,3162,3806,4097,3501,2523,1458,712,269,82,23,53
31,3,3,3,3,3,3,64283,52410,18097,7575,5798,6209,6548,4457,1958,985,515,235,37155,62863,25929,10952,7875,6281,6924,4921,3512,1846,714,101,24527,57328,32325,15719,9530,7020,6512,6405,5616,3263,787,45,15041,24328,18342,16356,15407,16945,18439,17242,13795,8330,3704,1152,19237,28565,23308,22851,22460,19438,15033,10239,5645,1930,314,23,6684,54324,37266,19607,17045,13849,10097,6857,2247,550,109,2,5768,53886,34563,22357,16610,14264,11450,6915,2142,554,124,4,12790,26170,30507,26432,21027,16654,13008,10073,7578,4015,722,65,34598,32023,23535,19005,16666,12670,12657,9494,5780,2262,556,45,257,1354,1988,3151,4738,6058,7574,11056,19973,40631,58356,13940,6221,11727,15267,17477,18266,18278,18454,18376,16585,13880,10665,3847,5433,20831,35924,36359,28106,20304,12819,6299,2287,539,97,45
32,3,3,3,1,3,2,3,1,0,0,0,0,0,0,1,1,0,1,1,5,0,1,1,0,0,0,0,0,3,3,0,2,3,4,4,2,1,0,5,2,5,0,34,0,0,0,0,0,1,0,0,0,0,0,22,10,4,4,1,0,0,0,0,1,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,2,10,4,0,0,0,0,0,0,0,0,2,10,10,7,13,2,5,2,5,4,2,1,52,2,3,2,2,3,1,0,2,0,0,3,34,1,0,0,0,0,0,0,0,0,0,10,40,0,0,0,0,0,0,0,0,1,4,13,0,0,1,1,2,7,12,15,4,1,1,10
33,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,1,0,0,0,0,8,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,3,3,3,3,2,256101,76358,44302,36624,21503,18354,30635,19644,24307,31581,33114,143369,205024,58596,34000,28005,22150,28511,18941,31806,28587,43570,80554,155296,148497,53662,39243,22093,29283,28689,23464,33085,45985,58299,112081,139817,366926,66884,32197,26880,23538,21921,14006,21667,23665,21336,24285,90049,278356,52256,35354,27385,34868,26914,32740,33851,40207,45356,50978,72527,548875,84421,28393,16256,13303,10722,8246,8852,5155,3395,1425,351,552795,82030,26030,18049,14316,8782,9130,8033,5394,3153,1346,336,184660,45790,41957,31050,37025,31517,34925,38734,50241,57660,85272,92866,300439,43628,24216,27907,18329,26399,17894,28247,25151,40140,69218,120823,475544,91404,31930,21082,16513,15649,14686,14000,14813,15321,13759,8464,81547,28004,27200,27005,27086,27876,29654,33346,37698,44320,68045,296884,136924,28592,22738,21888,27092,30551,43960,47597,56493,56745,70838,184114
35,2,3,3,3,2,3,1246,23178,135680,84686,45614,46340,29689,26402,17322,12128,5407,452,5142,19048,91471,104064,71511,46008,34397,21415,20162,10838,3905,183,2669,47542,161958,75260,42823,33672,22278,19176,13354,7259,2083,70,11010,16964,25614,27905,39704,41121,43496,44366,53298,54629,42102,27935,10680,144737,96560,64431,47099,30341,18633,9132,4154,1864,480,33,1048,56836,120421,134106,68107,26980,12044,6342,1694,449,97,20,1252,56894,113201,147507,65775,22756,12994,5530,1695,421,99,20,6506,94464,100432,76838,50922,35744,25407,18838,11611,5454,1764,164,10770,13205,36455,44127,68420,51373,75105,52824,43735,25153,6852,125,5824,5031,7400,10497,13951,18346,24252,33548,53296,97944,125951,32104,169,1296,3908,6576,9392,13076,19873,33934,60263,94918,161308,23431,76918,131104,81695,52209,33703,22349,15011,8602,4444,1595,453,61
36,3,3,3,3,2,3,0,149,22872,64726,23182,25294,16814,17082,12446,8588,3651,355,1,993,19219,60555,38829,20964,15458,11538,14076,9982,3289,255,6,8831,81868,33856,16975,14205,10411,10153,9293,7168,2286,107,5513,11917,12453,11578,19298,18147,19673,19940,25819,23887,16257,10677,5413,82875,30569,20034,16255,12878,10897,8202,5161,2344,506,25,3,7427,27031,55044,50093,24343,12195,9488,5679,2922,886,48,2,6968,25106,62014,50212,19604,13160,8538,6019,2672,821,43,3099,59645,34369,23503,15246,13055,11253,10303,9468,9456,5460,302,1773,5005,17241,25787,36835,21883,31105,21055,18471,11903,3974,127,1912,7804,8545,7385,7537,8453,9970,12712,21294,44381,55101,10065,8,62,247,933,2503,5148,8868,14026,21678,33340,86139,22207,51747,54717,22922,14482,11444,9720,8571,7355,5688,4536,3113,864
37,3,3,3,3,2,3,0,657,26745,60564,50494,50586,34779,33851,23144,16586,7634,582,0,1063,28245,70948,62554,40037,31587,23371,26348,16125,5009,335,19,14739,102402,57439,31975,27223,21138,20198,17033,10359,2976,121,6584,17715,19186,19563,30179,30263,34806,36076,40628,35809,23698,11115,3309,105806,53917,37131,31294,25678,21171,14308,8540,3722,703,43,0,2006,32742,89153,85283,40417,22661,17204,9104,5153,1814,85,0,1696,28822,99297,84566,35015,24621,15432,9538,4824,1734,77,1209,75092,55452,38659,25999,23409,22026,21361,18285,15946,7788,396,1118,5259,22777,36520,48679,42213,52988,42113,31649,17517,4617,172,2784,10679,14249,13601,13987,15580,18655,23152,35743,66359,80333,10500,10,95,574,1779,4619,9330,16109,25370,39548,60308,129999,17881,55487,89552,40064,25199,20577,18862,18217,15872,10216,6300,3830,1446
38,3,3,3,3,2,3,486,35067,105968,86667,46142,47338,29365,22119,12066,7382,3263,732,7615,45214,67034,87013,65769,41399,30247,20395,18548,9543,3229,589,4060,57172,121980,79705,42997,32583,21922,17278,10888,5786,2030,194,11106,29763,31848,32935,49192,46932,44361,38251,40697,35632,22954,12924,7614,91199,80366,63935,53314,40825,29195,16128,9021,4250,731,17,57,24656,86737,95690,87374,48367,25960,18008,6692,2473,505,76,72,25516,80240,106220,90139,40345,28209,16156,6922,2245,466,65,2874,52175,80813,78592,53222,40923,31661,25991,17227,9647,3212,258,20873,31342,47891,46651,57962,41881,55740,39201,32377,17748,4764,165,1888,2373,5079,8144,11652,17338,26074,41195,72280,110557,87586,12429,122,2124,7836,14324,21100,27189,36265,50245,69583,77177,81103,9527,33570,79355,76396,65258,52272,38010,25504,14953,7385,3056,775,61
39,2,3,3,3,2,3,0,1214,7367,15461,21579,28501,27179,26165,14584,6495,3394,495,37,2161,8327,15524,24888,27204,31597,20986,12119,6809,2525,257,39,5258,17646,24580,30850,28591,20425,12299,7628,3885,1125,108,2939,7960,9772,12132,14830,18288,21660,22057,20870,14711,5870,1345,1877,16952,23716,26758,26097,22962,16505,9497,5246,2283,492,49,5,1579,14005,33580,47418,27563,14262,9434,3364,1116,104,4,2,1472,11913,37354,47383,25517,15633,8591,3483,986,97,3,989,10172,18261,21133,25804,24706,20839,14910,9463,4726,1269,162,1285,3302,9190,14085,19125,17754,26792,24927,23566,10633,1660,115,1487,1519,3745,6323,9396,13968,19335,25616,29929,26705,13320,1091,3,271,1613,3822,6128,9258,13832,20766,28738,32048,29221,6734,5020,18510,28361,30237,25740,19489,13036,7297,3292,1168,245,36
40,2,3,3,3,2,3,0,0,268,994,4385,16532,35290,41000,21387,9034,4024,338,0,0,317,2041,8529,20101,36997,32106,19430,10705,2968,58,0,73,3451,11330,20139,23595,24899,21449,16856,9589,1850,21,4135,12899,14898,16140,16451,16792,17172,14445,10621,6555,2668,476,339,6902,16949,23408,26083,22791,17873,11833,5103,1677,283,11,4,72,1233,11263,39291,38850,22669,13996,4859,941,74,0,4,72,870,11910,36744,38544,25691,13364,4999,979,75,0,37,2749,6505,10043,16707,20886,22718,20973,18519,12581,1499,35,314,2357,5887,10242,15412,18189,25005,25325,20892,8790,826,13,913,5441,12195,16965,18335,18403,17934,17247,14636,8805,2293,85,4,64,469,1103,2667,5951,11108,18769,28276,32989,27294,4558,729,7689,17392,22578,22936,20785,16864,12037,6847,3197,1506,692
41,3,3,3,3,2,3,0,49,9807,28689,64715,90268,85814,60825,36575,22964,17555,1466,0,415,20019,60133,69979,71094,75830,52132,33377,25463,9997,288,0,17996,99368,62418,63154,53062,45459,33228,26432,15172,2375,63,11204,16787,20180,24344,31110,37229,50129,50906,59441,56577,46289,14531,7044,76484,100310,72506,59642,45760,29980,17348,7022,2321,298,12,0,1039,13945,106415,153269,81408,38548,18523,4571,899,108,2,0,1076,10678,120068,147464,75137,42252,16465,4601,895,90,1,2825,86772,80082,50210,48655,43600,39113,30787,22039,12278,2257,109,2483,5012,12541,21603,35366,46081,72959,90228,88917,39780,3672,85,7063,10160,13447,16918,22355,29083,36993,44989,56429,72145,92025,17120,4,80,611,1858,3921,8456,17684,36119,69187,112012,136342,32453,52816,106811,75040,53550,39956,31983,27671,19682,7940,2370,754,153
42,2,2,3,3,2,3,0,1,3615,43842,95401,59158,34462,15512,9288,6292,5774,656,0,30,10383,89252,71741,37129,27579,15051,7790,6955,7962,129,0,16526,136592,47922,26735,15021,9498,5918,5132,7118,3511,28,986,1812,2101,2194,3573,6015,14111,20168,38648,59161,84089,41143,2768,69614,96736,45262,22013,13734,8344,6857,5955,2375,335,8,0,18,5730,82498,128010,35474,13634,7307,1093,218,19,0,0,13,3827,98497,121057,28243,14726,6273,1148,200,17,0,761,119164,70107,24879,17223,11222,8206,6438,6438,7302,2152,109,433,590,1226,2402,5560,11799,28056,56652,90800,69631,6812,40,688,2449,4338,4040,4271,4525,5355,9083,18328,46200,136347,38377,4,90,558,691,1225,2657,6451,17887,41989,88398,93400,20651,89238,108453,35848,13239,6894,5023,4752,5427,3587,981,505,54
43,2,2,3,3,2,3,0,41,3388,28742,66941,98547,126320,118281,79733,48314,26568,9491,0,538,4192,43234,91587,117244,125511,88005,61954,37412,30348,6341,21,3186,57774,76514,99185,101750,89687,75150,46107,30783,22138,4071,7425,21055,31286,36878,43144,47103,56809,71081,88840,98945,77748,26052,4701,68432,87738,86257,107194,100550,61992,37822,23592,16140,9406,2542,0,905,9092,68742,159186,153307,103180,65921,27399,12926,4958,750,0,889,7005,76663,159080,144086,111952,60866,27245,12915,4922,743,2503,47181,76380,95704,103226,86219,65478,47650,33793,24532,17556,6144,1976,3128,7165,11896,22129,38119,71837,116300,124802,123687,80178,5149,4713,17813,28599,37871,47839,57672,67337,78517,93218,94186,68541,10060,14,159,1202,5901,19480,43043,71589,86344,89873,107521,140705,40535,41281,85839,115434,117134,91326,60928,38790,25461,16876,9429,3696,172
44,3,2,3,3,1,3,0,3,3000,21069,49863,58840,64929,46528,30021,15520,10300,2561,3,46,1881,24312,52687,66246,68136,38348,23253,13107,13390,1225,0,917,22735,44814,55974,57108,48087,34113,17670,10517,10064,635,2449,6643,10558,13306,17437,21751,29010,39026,46921,45924,41671,27938,1567,13567,34728,45747,66825,64581,38341,17103,9041,7802,2957,375,0,0,1137,19128,90876,97556,52240,29722,9563,2130,262,20,0,0,828,21874,91874,92024,57234,26979,9564,1988,248,21,751,8550,36462,58001,63480,52755,34423,19365,11015,8882,7940,1010,669,1185,2553,4361,7996,13238,25463,48398,74496,88547,34766,962,1133,5484,10193,12795,18371,25601,34505,44565,51053,52364,40419,6151,16,160,1170,4638,12490,25225,42203,54426,54995,54050,45144,8117,10509,47587,67380,61550,46278,30314,17214,9854,7296,3866,742,44
45,2,2,3,3,2,3,0,0,150,15534,32859,35339,38564,22866,11818,6071,5067,843,0,20,783,18672,31347,34158,36342,21407,12284,6982,6872,244,0,869,32510,25583,25207,25307,22267,17149,9797,6219,4143,60,1455,5612,8462,9358,11321,11847,15003,16185,18613,22150,30103,19002,1032,21393,39000,33435,26598,18989,11592,7310,5444,3400,900,18,0,37,1091,25344,58207,44127,23639,12741,3248,623,54,0,0,34,646,29712,56731,41260,25455,11350,3299,570,54,0,188,26391,29589,25402,24863,21531,15473,10206,6919,5641,2764,144,88,444,1033,2196,5115,9776,20121,32648,44902,44042,8666,80,583,3083,7047,9655,12137,14140,15548,16942,18384,24147,38218,9227,18,79,550,1506,2762,5192,10244,18270,28638,44221,46920,10711,26170,37668,27899,22827,18739,13383,9053,6492,4534,1766,539,41
46,3,2,3,3,2,3,0,0,535,30658,102479,88869,77556,30398,24006,15375,15768,5470,0,26,2527,68418,106453,55970,58457,32185,22133,17999,24505,2441,0,2522,99978,98201,59517,42766,27420,15731,13446,14714,15818,1001,969,1315,2153,2387,3157,3885,7212,11297,26931,54137,127574,150097,1520,30462,61175,55991,76058,68372,38806,23550,15123,13678,5892,487,0,7,1363,68550,175507,79567,35243,22684,6440,1672,79,2,0,6,852,82690,177582,63944,37852,19968,6649,1494,74,3,491,44315,98212,76822,61795,33782,20001,15427,12475,13776,12160,1858,568,457,1323,1428,2665,5471,13340,31706,81379,177495,73574,1708,1440,5378,8715,7795,7518,8662,10979,16980,32908,78170,171879,40690,10,115,1302,6905,19907,36422,57014,63629,62657,73534,56624,12995,63454,147737,79553,34732,18481,12286,10164,10123,9578,4276,698,32
47,2,2,3,2,2,3,0,3,6293,18845,38641,50804,57587,31724,24829,15116,9811,2298,0,32,5355,27671,50455,38803,43690,31151,25422,17717,13993,1662,0,5837,44490,52378,43744,36826,26070,16101,11448,9297,8831,929,259,361,455,562,850,1297,3005,7294,20916,47093,94469,79390,1886,27995,38746,36028,47238,42465,25272,14551,9429,8197,3476,668,0,17,7096,68733,108534,42066,17200,8084,3007,1160,53,1,0,24,4666,79442,106470,35525,18628,6990,3093,1065,47,1,388,33380,62480,50517,39444,23257,13222,9204,7124,8416,6930,1589,108,167,239,404,904,2542,7168,17886,50472,122515,52058,1488,312,2256,4779,4496,4507,6104,9780,17790,32822,61229,90383,21493,9,114,690,3391,9237,17970,30270,39262,41710,46069,48655,18574,44638,90226,56485,26089,13054,7269,5331,5168,4975,1849,810,57
48,3,3,3,3,2,3,0,26,2890,7142,14067,35563,66289,100193,89044,49323,19775,2512,0,150,3136,4515,14731,28919,61866,88707,92780,71693,19659,668,0,2367,9708,12467,24902,36682,52550,75619,99470,60896,11751,412,2094,10885,19717,28890,36896,45355,58220,61961,58782,42605,18598,2821,731,10472,28518,45111,63253,75023,72486,53421,26593,9280,1709,227,0,3,1532,27820,83405,93616,75631,64430,31314,8086,941,46,0,3,975,29348,77411,91073,84846,62807,30897,8358,1049,57,255,8762,19158,19420,28159,41565,55807,64003,70277,66443,12453,522,173,1633,3950,9497,19590,31601,57896,81268,101113,69367,10315,421,1411,12229,34827,57077,65969,61031,50522,41857,32418,19138,9490,855,23,304,1671,4426,10007,21432,39674,65305,87816,87487,59420,9259,2925,24819,46701,62319,69499,64915,52432,35343,17134,6620,2942,1175
49,2,3,3,3,2,3,0,144,12196,54920,44955,52959,46116,43126,30542,17791,9677,1158,0,386,11050,48552,56257,56460,57039,37496,27010,14165,4746,423,0,9529,65558,58930,52207,45343,31299,23447,15737,9120,2263,151,3519,11777,21558,26239,30563,33936,36749,36432,34325,34154,25335,18997,1961,66149,77456,61022,46148,28533,16628,9301,4066,1651,651,18,586,12850,61997,95685,70900,30584,14767,12891,8242,4164,832,86,581,12711,55723,106275,68095,28730,16198,12065,8253,4052,812,89,1076,41697,64545,61812,49323,34456,24696,17541,10636,5872,1682,248,480,2649,7366,14608,31568,39186,62959,57998,54059,34028,8456,227,2626,4863,8322,13093,18695,24596,31359,39606,49169,55087,51560,14608,8,58,294,940,2490,5274,11402,24898,48654,79416,118219,21931,33914,75012,70963,50768,32523,20743,14673,9399,3973,1317,277,22
51,3,3,3,3,3,3,2,3591,23296,17389,16386,23641,30425,18662,7007,3428,1530,264,88,5414,22650,19205,19580,22361,26351,16021,8474,4791,1539,168,84,13406,27006,19817,17664,18266,18847,16016,10743,4603,1084,69,4533,7878,11248,13563,16861,19286,22392,21786,18037,9889,2797,290,3665,16224,20577,24303,24817,23106,18897,12004,5586,1781,246,22,265,3934,15450,27334,40650,30690,16794,11387,4310,1274,288,34,257,3638,13500,29676,38723,31026,18942,10521,4555,1250,293,29,2168,9474,19699,20505,19116,19508,20548,18426,13237,6281,1184,85,3901,7605,12916,15253,18549,18153,23582,21408,16550,5689,1039,75,1449,1863,4499,8547,12157,15029,16542,18760,21790,27017,18864,1088,6,195,1413,4403,8939,15048,20920,25353,26687,22667,15985,5022,3411,15597,25515,27337,25024,21287,15372,9115,4153,1307,368,66
53,2,2,3,3,2,3,0,1,3833,23599,38512,62089,79633,73431,74493,44388,15551,2375,0,16,2305,15143,37922,54938,79043,73455,86855,50360,17537,331,0,6072,47244,28584,48170,57874,61814,59796,70257,30436,7552,106,1451,3958,5262,7435,11102,19015,38233,56272,89756,99794,69329,16298,1999,33139,67806,69022,74805,65474,54035,32056,14248,4452,814,55,0,101,6702,74184,158349,91475,50034,26796,8871,1372,21,0,0,68,4964,85654,152747,83726,55418,24972,8975,1364,17,0,628,47060,64311,52459,51336,49191,42544,35620,32535,35236,6775,210,400,737,1573,2911,6799,11315,29134,59681,130934,151500,22736,185,462,4689,10742,17017,29042,46098,59010,64378,67620,59564,48638,10645,10,99,397,1417,4213,10589,25488,52288,80548,104717,115541,22598,28187,88923,96835,76729,53528,32779,19586,12709,6230,1630,571,198
55,3,3,3,3,3,3,0,0,334,442,912,1488,2386,2201,2222,2311,1410,104,0,103,788,897,1286,1488,1996,2030,2308,2326,570,18,0,484,1048,1199,1430,1692,1963,2162,2303,1267,259,3,439,2360,2265,1840,1537,1434,1374,1211,794,410,126,20,200,577,1625,2319,2808,2335,1529,1235,803,311,64,4,0,0,161,291,975,2804,4771,3726,1003,74,5,0,0,0,138,283,764,2489,5201,3850,970,107,8,0,175,364,814,1234,1718,2160,2645,2313,1491,689,196,11,210,428,1143,1838,2292,1874,1950,1689,1489,701,189,7,319,1358,1559,1548,1592,1629,1649,1506,1185,879,521,65,2,42,172,392,592,819,1072,1458,2073,3534,3386,268,176,348,856,1699,2406,3000,2812,1724,585,169,34,1
56,3,1,3,1,3,2,425152,117828,57612,36132,28188,21843,19699,15280,15696,17859,23744,159071,367554,94495,62138,36441,32810,28625,25650,25761,22796,29444,52079,160075,282976,102476,68881,40924,36153,33505,31615,30601,35586,44131,79614,151114,419649,83622,45552,38644,32756,30169,32362,31423,33625,39974,36414,113002,395529,79672,48325,39781,36208,33442,34278,37014,41804,49607,56896,83516,737934,122533,28722,14212,10416,7510,5175,4589,2456,1389,458,130,741995,119438,26679,15796,10831,6469,5701,4168,2569,1321,437,120,305737,94362,68128,46295,42981,38773,34668,38698,44326,56941,77009,88600,425338,72493,43049,33721,24689,28333,23890,26775,28278,38297,58015,137027,334063,76881,33165,30892,32704,37000,38454,45374,56128,79830,107569,64916,176254,59572,47633,38881,32833,30055,30347,32282,36512,43769,70426,336191,213756,99351,69742,53308,47646,43377,43894,44192,45868,44456,51627,177504
57,3,2,3,1,3,2,468936,90197,45788,26110,16513,17795,11971,13521,12711,14600,21974,172440,418842,79127,42851,29724,23283,17287,19675,19570,20804,22872,45795,172726,337206,81694,51131,32786,29110,23889,26049,25038,27463,39626,72091,166473,441746,58226,34157,24146,25000,20167,23694,25710,32049,38524,44201,144936,410185,57371,33339,29752,28154,27063,28668,31112,35727,45834,58019,127332,815942,67826,12768,5745,4005,2703,1592,1255,534,164,22,0,813520,69832,12148,6670,3940,2674,1848,1200,523,176,25,0,343142,72401,47086,36059,31621,28410,29599,31223,38082,49766,73630,131537,444260,51768,32423,25550,18411,23829,16517,21736,26921,33966,58365,158810,398085,62101,39691,42059,31464,27029,29262,33146,40963,55391,74181,79184,218895,49461,36312,30275,26388,25290,25839,27632,30986,35339,50843,355296,231094,82428,55928,42928,37878,36075,34867,34170,36878,38786,49692,231832
58,3,2,3,1,3,2,135130,31839,13928,5289,3509,2003,1591,1064,1162,1147,1639,14884,123627,24634,15322,9205,6027,4972,3323,3567,2526,2548,3639,13898,99138,26955,18114,10632,8127,7266,6285,5467,5225,5986,7160,13039,92194,18787,10398,7988,8011,7306,8102,8674,9716,11970,11042,19304,88600,21574,12640,10355,8846,8765,8809,9440,9903,10729,11085,12978,170671,29878,5488,2407,1686,1092,733,658,418,398,291,93,170962,29620,5147,2781,1680,1039,813,584,440,385,282,80,76903,25747,17400,12727,11075,10027,9160,9199,9399,10841,12019,9161,110959,20297,11404,8770,6830,7220,6331,5528,7012,7577,8725,13126,28463,8921,7274,8526,8251,8404,9739,12186,17212,26022,38927,39463,61996,18048,12121,9361,7590,6453,6629,6647,7370,8478,12513,55901,42846,34692,23613,16791,13957,12432,10933,9737,8618,6908,6720,26033
59,3,3,3,1,3,2,202847,87818,55490,26203,21853,16907,12449,4514,2997,1670,1888,15619,216703,75984,47485,23231,25329,14378,12685,7870,4391,3624,3306,15284,163064,84154,59013,31339,25957,22461,18269,10539,8623,6355,5931,14576,173481,47632,25973,23343,18823,18409,22260,18763,21200,29269,22497,28649,172790,45171,29700,27355,25394,26430,27569,26233,22916,20239,15939,10598,259931,128696,27046,11847,8371,5463,3561,3060,1529,682,159,7,265752,124060,25026,13143,8544,4755,3927,2772,1596,628,142,7,147988,56514,42938,32007,34250,31733,24488,25236,19984,17272,11566,6349,215225,49796,31139,23576,17007,21466,17057,17169,16187,16809,10834,14061,28346,8538,8312,10749,14422,20161,27204,38180,56144,81790,100520,55915,79504,48309,37889,28537,22336,18949,17245,17269,18859,20945,32324,108090,87147,66447,53566,47268,42055,35924,30532,24201,18985,13753,11009,19390
60,3,3,3,3,3,3,71171,74969,59840,30141,22739,22938,24492,15585,14702,10038,7671,3129,108441,73366,45077,22214,25069,22348,17847,17086,10665,8902,5301,1099,101185,72014,42806,26352,25071,22229,23777,16613,13703,8620,4967,78,81903,56078,52689,49455,29701,19862,17317,11146,10482,12163,9724,6895,118185,47576,27027,25948,24392,25343,23498,21337,17840,13769,8411,4089,85672,157265,46787,21713,14788,10483,7435,6675,3719,1957,714,207,89080,155389,43194,24098,15142,9382,8207,6185,3939,1910,702,187,110709,45940,30577,23085,25323,26172,24178,24581,20156,17639,8117,938,114381,72485,35577,28071,20077,23977,18023,14856,11707,10691,6977,593,6560,9033,10281,14306,19396,24170,28955,34245,41272,52673,76575,39949,25294,20320,20062,19036,18001,18721,20188,23199,28198,34415,67317,62664,69616,53070,35290,30862,30181,30314,30157,26705,20908,14512,9653,6147
61,3,3,3,1,3,2,198593,193378,101337,52966,26708,21014,12724,10368,7343,3616,2603,1330,262378,153818,90129,44081,25049,21163,12580,9872,5769,4261,2122,766,221012,166894,89611,45345,29858,23228,19751,14093,10840,7456,3624,279,207014,90586,55355,42801,35492,30652,30694,26996,28746,33665,29035,20955,230108,99350,54687,41710,35260,32698,29541,28813,26356,24359,19131,9978,332749,193734,47581,24018,13887,7727,4834,3888,1852,1174,469,78,339554,187112,44868,26998,13594,7333,5344,3631,1942,1115,427,73,207970,116808,69603,47044,39764,33345,27862,27391,23516,21400,14010,3278,269855,103730,62970,45216,31178,27788,22110,18649,19147,18290,12150,908,13492,7663,8494,12877,19009,28104,39984,55809,80996,118376,157040,90147,86361,48299,38742,32841,29824,28292,29736,33865,40744,51123,77924,134237,119532,126799,84893,64980,52786,43823,36455,31150,25258,18807,14569,12938
62,3,2,3,1,3,2,413331,130561,53991,26135,19803,17807,14584,13782,14664,16662,22470,96440,358646,105350,54254,35655,24458,21980,19627,21698,20773,25716,48542,103531,279860,98456,61252,37917,31832,27296,27249,27336,31191,43551,74535,99755,391757,66220,37757,27261,27593,23117,25987,28277,33949,38506,44451,95355,334290,60093,37119,33550,32352,31710,33814,37033,40718,49945,56120,93486,691874,103352,21359,9347,6137,3796,2112,1415,573,212,42,11,690640,104661,20198,10552,6111,3599,2294,1326,585,210,44,10,275839,66369,50777,42460,36826,34196,34638,36098,43057,56326,75972,87672,385819,61634,37804,29741,26757,26849,23293,25822,31408,38862,59039,93202,311284,68815,40332,34464,30392,27965,29626,35866,47389,66682,81993,65422,215694,53067,38019,30074,25707,23640,24695,26150,29716,34894,51998,286576,168098,70487,56181,46143,42756,40666,41256,41726,43830,43667,50851,194569
63,3,2,3,1,3,2,163322,46433,16889,7089,3295,3032,1574,1578,1354,1393,2178,16308,143954,46723,19091,10319,6743,3785,3954,3186,2976,3189,5328,15197,110228,47872,26221,14878,11524,7383,6658,5171,4752,6003,9345,14410,113459,22175,13567,10138,10783,8725,10716,10913,14036,15015,15004,19914,106785,25999,15500,13560,12791,11668,11880,11968,12178,13565,12375,16176,234618,25730,2399,824,459,253,106,45,11,0,0,0,232259,27978,2355,968,425,282,125,41,12,0,0,0,91183,29744,22951,18192,15868,12778,12664,11764,12223,12035,12122,12921,132616,24057,17124,13394,8763,11536,6964,8325,8590,8563,9942,14571,30177,10559,9120,10023,8199,9306,13307,19076,27805,40222,52943,33708,72248,19832,14466,11269,9541,8491,8491,8634,9234,10827,16063,75349,59865,34597,26268,20974,18447,16558,15160,13565,11850,9861,9529,27771
