census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7
574,3,1,3,1,2,1,286591,208772,105523,57811,28568,9205,6954,158141,149516,121955,109821,97211,58942,7838,125160,124656,111443,112004,118166,101123,10872,24791,24216,44390,106968,207400,237418,58241,61529,75876,65259,77919,105382,179205,138254,5227,160324,210916,243588,78123,5182,64,4298,159929,212997,240099,80796,5243,62,85724,80316,79666,92689,119281,183849,61899,51387,92666,116407,124152,127180,168174,23458,9447,7961,47854,124416,190203,171313,152230,362188,122536,85477,53016,35474,24629,20104,79316,95722,97315,107575,115836,106688,100972
575,1,3,2,1,1,2,286419,86336,36277,22646,15474,10535,15908,266107,98043,42681,26323,16671,11960,11810,270357,102437,41689,26575,16377,9287,6873,16011,25981,47974,92031,138432,121205,31961,111120,134058,94509,66568,41025,20731,5584,906,187874,225765,46075,11080,1885,10,819,189793,227550,42995,10375,2054,9,193676,146170,68201,34771,17890,10136,2751,82661,117274,134659,82933,29143,14234,12691,4906,3777,8884,20191,36602,82189,317046,33512,69626,85746,92446,102287,71405,18573,156146,173723,80979,32632,14115,7679,8321
576,1,2,2,1,1,1,392742,19026,6145,3064,1421,644,373,351113,42253,13980,7610,4798,3192,469,314090,66983,21445,10541,6683,3307,366,12673,35536,51572,83350,124434,96701,19149,135977,124386,64368,44646,30887,18318,4833,10379,225278,95496,61344,24375,6149,394,9881,231052,97630,54944,22804,6707,397,196259,110263,52990,31298,19088,11303,2214,123693,155717,81157,36930,18266,7034,618,941,868,2834,9214,21648,61945,325965,81504,91983,86550,63959,54044,39928,5447,186458,107455,54860,31455,18370,12524,12293
577,3,1,3,1,1,1,211323,280347,96851,42007,15266,3312,216,131944,197435,160049,94491,47749,17196,458,90052,138444,126805,143759,108865,40346,1051,58548,119926,121421,142937,132006,68059,6425,37626,54182,70746,95955,131249,189422,70142,2,32645,118845,215604,192310,72085,17831,3,36055,129247,206064,185000,74774,18179,43467,77191,90900,90908,125493,179893,41470,112664,101474,118948,139093,116460,58425,2258,14622,6014,54707,167418,188438,157308,60815,372182,111967,56165,31857,23658,24542,28951,30707,51931,76513,95074,117661,120159,157277
578,3,1,2,1,3,1,0,0,0,0,0,0,21,6,4,4,6,12,23,36,3,16,9,27,27,49,23,139,21,17,6,9,4,0,73,79,41,32,11,2,0,0,26,32,13,9,0,0,0,14,52,14,8,0,0,1,12,50,87,95,85,13,128,39,36,45,34,57,25,167,12,5,4,2,1,61,212,1,1,4,2,6,101,0,7,40,133,37,12,74
579,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,12,16,4,14,66,0,0,11,31,9,28,75,142,28,29,12,18,18,47,136,48,49,52,33,48,26,0,2,47,79,0,0,0,0,0,46,102,0,0,0,0,8,136,67,70,115,150,189,16,27,32,31,86,172,187,1,0,0,0,0,200,400,0,0,0,0,3,141,1,4,51,291,17,2,142
581,3,1,3,1,3,1,96141,162442,96661,37449,13017,4890,1142,28841,73634,89117,96027,83710,36922,3491,12488,48754,65387,88899,111523,80292,4399,15864,14198,27900,59002,111915,147765,35098,10761,11850,21228,37496,71689,142952,115766,0,6699,31493,163919,179091,30500,40,0,6753,32350,160818,180857,30925,39,10024,18775,35511,54086,83125,146570,63651,16740,24380,40745,59211,107273,151721,11672,8006,6482,34039,115338,137133,88680,22064,297503,60381,21332,9500,6127,5877,11022,8029,19222,45080,68694,81367,90535,98815
583,3,1,3,1,1,1,1,3,2,2,0,0,6,4,4,5,7,12,7,24,0,3,12,25,13,17,21,69,24,1,3,16,6,0,47,21,21,12,20,5,0,0,0,8,22,8,0,0,0,0,13,19,8,0,0,0,7,36,28,28,25,23,53,18,14,6,17,23,37,103,3,2,0,0,0,40,90,0,0,1,2,3,74,0,2,14,90,29,4,14
585,3,2,3,3,3,3,121675,37450,11578,3404,927,304,66,108140,45789,14133,5190,1682,416,54,76763,57807,24815,11506,3868,600,45,32463,44191,38630,27006,18086,11688,3340,31011,43181,36185,26634,21511,14125,2757,0,274,28267,79703,45637,19754,1769,0,510,32027,77452,42725,20905,1785,44095,52263,29842,20283,17160,10994,767,56352,67043,34037,13236,4058,644,34,7200,4610,9898,18748,26829,40809,67310,42917,34900,31610,23157,18206,12294,12320,29415,43790,30663,18790,13646,11504,27596
586,3,2,3,3,2,3,50182,65061,55218,21655,7951,2462,617,63264,77521,36768,16591,6098,2379,525,64228,71589,38199,17402,8232,3082,414,23425,42517,51224,40770,26442,14887,3881,27832,48453,39715,35385,29821,17753,4187,8,255,45263,74111,52127,27692,3690,8,735,50228,70635,49144,28829,3567,46104,56340,38081,27368,20500,12901,1852,35838,77461,51856,27344,7838,2470,339,6172,5805,13416,23267,35160,51603,67723,31596,38823,36705,30274,29312,28036,8400,33593,46137,33944,24737,18307,14344,32084
587,1,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588,1,3,2,1,2,1,70426,70132,28897,12917,7621,5685,6733,71575,74499,26723,13247,7192,4612,4563,77271,69055,27466,14790,7698,3438,2693,11069,12615,18582,32298,52548,51968,23331,20292,52217,50760,40349,27741,9108,1944,4682,66295,88695,32622,9377,739,1,4844,71264,88182,28405,8855,860,1,45182,81255,37400,23294,10583,3698,999,17893,35537,63051,51700,21802,7672,4756,1917,2439,7898,13960,22067,45737,108393,22302,40865,38932,33654,30931,24720,11007,44152,78876,36528,16661,9427,6212,10555
589,1,3,2,1,3,1,193074,76208,21388,6266,2726,1454,2135,166162,104131,19464,6670,3185,2086,1553,161332,103533,22230,9008,4385,1843,920,15118,12021,24214,62318,84718,62550,42312,45571,96300,82791,44879,24350,8035,1325,338,49305,165196,72197,13634,2556,25,491,57234,173359,56732,12582,2828,25,92524,137005,40700,19554,9465,3471,532,28388,79999,108101,52561,27043,5464,1695,3889,2064,5772,9970,18154,57950,205452,35552,62708,59688,50784,47232,33761,13526,95792,122699,43702,17349,8614,5576,9519
590,1,3,2,1,2,1,208416,7521,2248,520,106,37,15,195372,15057,4801,2524,891,201,17,180675,26878,6222,3262,1534,278,14,7824,24189,32948,45560,53624,43394,11324,53693,83383,41664,20848,12662,6032,581,893,50116,93950,54523,15522,3352,507,832,52949,97626,48769,14506,3665,516,89407,83466,24310,12248,6351,2865,216,76089,79116,36398,17880,8162,1202,16,58,95,511,2237,7223,22595,186144,44180,53247,50735,35032,22804,11233,1632,73640,81163,34799,13782,7110,4115,4254
591,1,3,2,1,2,1,191935,39788,5046,1504,515,320,282,187691,42981,5641,1896,621,387,173,174342,55030,6221,2345,990,370,92,12171,12325,26174,66288,78809,31292,12331,95287,94244,30933,11241,5351,2099,235,1211,23626,101401,106663,5997,483,9,1130,25209,123566,83482,5449,545,9,148646,68863,13190,5308,2518,784,81,43420,109613,64200,15887,5139,926,205,2656,763,1291,2937,7556,32275,191912,11123,18590,26209,37800,59498,70125,16045,125598,84231,16692,6264,3185,1822,1598
592,1,3,2,1,2,1,118226,203640,32520,7977,1903,803,499,253357,91498,13745,4271,1442,702,553,277140,67307,12940,5192,1861,653,475,23490,24194,52816,94465,105546,53966,11091,125868,120539,68191,31944,13924,4389,713,8540,47521,194727,106033,8011,733,3,9146,49290,207206,91529,7561,834,2,197224,117413,30298,12569,5689,1779,596,65062,157038,104992,31112,5781,1105,478,2786,1181,1918,5360,13370,50102,290851,20935,41776,51049,54626,66906,91374,38902,151670,139974,42436,15706,7562,4199,4021
593,1,3,2,1,3,1,274243,133760,40846,8610,1537,520,212,292229,127235,28694,8023,2622,667,258,323511,99177,22499,9842,3686,763,250,41190,48903,87756,115808,109260,46322,10489,156726,136424,79166,44335,29419,12704,954,9905,121329,186135,118383,21629,2271,76,11440,130784,197906,96902,20000,2619,77,226109,133988,50146,27189,15333,6212,751,123308,163462,113833,45006,12217,1666,236,4566,1153,2413,9445,24094,83228,334829,46937,61634,67817,66537,80577,95165,41061,165151,167391,63658,29986,16154,9089,8299
594,1,3,3,1,2,2,158603,81748,39751,24981,3808,684,159,193265,91856,16067,5447,2390,559,150,227002,62912,9444,5916,3462,878,120,23852,28948,50788,74552,97097,29900,4597,141411,90395,41196,18569,11959,5904,300,25,41741,179749,83229,4786,203,1,35,48452,196723,59928,4358,237,1,189475,78681,21745,10242,7333,2006,252,77768,106445,95176,24542,4922,775,106,4590,1072,2660,6829,12696,42301,239586,17792,30561,35456,34775,48550,89910,52690,156294,96055,28918,13223,7537,4487,3220
595,1,3,3,1,2,2,103510,70455,43024,14530,7868,6224,779,148304,74790,13649,5538,3095,814,200,190896,44503,7258,2367,839,401,126,25607,14022,33674,54739,79970,32049,6329,82780,99976,43725,13448,4653,1566,242,17,7981,129938,104214,3854,372,14,26,9892,157981,74568,3485,426,12,155963,69027,14007,4747,2047,553,46,46130,92029,84623,19147,3536,764,161,13845,2024,2345,3797,7796,30490,186093,10850,29518,35346,32642,34178,54121,49735,110091,103834,20740,6270,2790,1346,1319
596,1,3,2,1,3,1,501597,6137,322,134,123,216,996,496757,11376,652,201,162,264,739,480136,27327,1926,398,226,264,451,72904,73564,86326,76556,91524,74726,35655,251100,139216,66343,32733,16159,5236,695,47117,255995,142791,57457,7088,989,45,53561,268309,134822,47161,6494,1093,42,337378,114472,35341,14626,6527,2530,608,274724,136771,56456,26106,10830,3051,780,8643,864,774,1684,6511,33047,459205,94636,92633,89680,73231,67164,60688,32119,287468,140968,44177,18746,9334,4862,5700
597,1,3,3,1,3,2,179623,38799,4162,2051,855,110,38,202013,20811,2318,332,92,48,24,208104,16041,1095,263,75,51,9,14144,11648,27071,51053,80785,34660,6277,58682,115264,41221,8041,1976,416,38,0,4082,143957,76557,985,52,5,1,5654,170576,48483,866,52,6,164010,52960,6461,1587,491,121,8,47629,99565,62181,13429,2399,402,33,4933,400,450,1044,2704,12619,203488,14770,47397,56024,37895,24820,24016,20716,84806,125408,11651,2415,814,309,235
598,1,3,3,1,2,2,0,0,0,0,0,0,0,4,2,1,0,3,23,2,15,5,6,10,29,16,10,112,8,6,2,0,5,0,75,46,15,5,6,4,3,8,10,22,10,0,0,0,8,6,28,13,1,0,0,24,0,39,55,53,35,18,145,31,36,23,12,21,26,83,8,3,2,1,1,64,174,0,1,2,1,1,35,1,4,33,78,14,7,41
599,1,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,1,3,3,1,3,1,201879,24370,5430,2198,1690,2313,7028,207805,22284,4218,2085,1799,2497,5527,211314,22531,3983,2119,1632,1809,3997,21476,17148,29908,59312,65194,42112,13363,96084,108559,29636,8854,3509,3355,1528,14054,112610,121866,3945,84,1,0,13757,112720,122383,3612,87,1,0,169081,61189,10144,3651,2293,2541,1645,68409,108680,43773,10685,3547,3288,5329,8382,672,1415,4014,6322,19490,207090,3473,21885,44756,47821,49857,50592,27831,128561,100498,15548,2580,719,304,303
601,1,3,3,1,3,2,153133,17403,2686,927,582,445,373,161024,14579,1956,700,486,567,294,165819,14174,1742,685,488,483,219,6718,11878,21034,39452,57528,44492,6397,95903,78166,17144,4222,1159,566,215,3518,30019,161001,6725,403,3,0,3506,29300,162140,6305,417,1,0,151343,35039,5024,1324,557,408,190,34792,85162,40410,9190,1306,581,309,1402,444,615,1153,2457,11005,166534,2541,15873,27755,30732,34990,47924,19791,123109,52805,7991,2092,803,390,309
602,3,2,3,3,3,2,862,9316,27982,58690,106061,114770,18948,1306,17023,37767,63076,95061,108931,13465,4374,33228,47648,69281,90155,81617,10326,22756,29283,46198,69085,91291,64440,13576,14545,15652,23539,37933,60870,106049,78041,0,2116,24212,141453,160604,8244,0,0,2306,24337,141356,160152,8478,0,14885,22348,33669,48629,69568,100852,46678,15982,21762,35620,63005,85830,101609,12821,13422,37604,78227,84444,67995,46452,8485,86476,90418,57863,33823,25980,23139,18930,11987,22039,38556,48899,48781,49756,116611
603,3,3,3,3,3,3,0,19,550,1430,3305,5725,2250,92,966,1637,2460,3739,2873,1512,304,1528,2355,3140,3617,1286,1049,5108,4021,1927,799,465,357,602,1387,1916,3230,3852,1515,800,579,0,177,1858,7858,3357,29,0,0,207,1830,7979,3234,29,0,697,1540,2451,3259,3410,1318,604,2528,2844,3037,2247,889,715,1019,3280,3518,2744,2104,1138,470,25,46,125,351,731,2767,6543,2716,401,566,2279,3800,3018,1641,1574
604,3,1,3,1,3,2,0,2413,29427,90669,170199,135704,48487,1421,18814,53885,103530,145627,115355,38267,4222,46128,79988,106347,124619,86447,29148,36212,44508,74547,111551,117466,64330,28285,22038,26101,40196,65285,97230,142909,83140,0,3648,48333,184074,208713,32086,45,0,3926,50340,183813,205830,32959,31,21469,41534,59888,79485,98109,124331,52083,27368,32595,52356,99833,129260,102787,32700,15937,49522,116797,120728,104525,61600,7790,81019,105488,88115,65380,53585,52733,30579,13856,37937,67708,81594,75659,67980,132165
605,3,1,3,1,3,1,237268,159201,80545,56792,55862,32912,3724,190569,149123,105712,80311,63903,32267,4419,169313,158382,112314,87237,63290,31441,4327,22510,42494,86164,156604,193974,107987,16571,56680,105683,113838,109924,108684,97223,34272,30,29406,107055,243733,192382,53189,509,27,29339,109752,239807,193035,53812,532,76718,137362,117706,102872,94086,77102,20458,82602,111734,135456,128876,106371,55267,5998,1557,7901,24023,71648,129622,188301,203252,154197,166806,116016,72875,54756,45266,16388,59170,149063,147000,108354,75133,48261,39323
606,3,1,3,1,3,1,139968,158413,111794,88281,84005,52258,2603,109912,123502,124779,118354,105073,53604,2098,100197,139367,128975,114984,101558,50474,1767,23569,39967,89182,158103,191881,119002,15618,53778,83638,97851,116041,132359,124349,29306,0,30035,74087,240846,208351,82403,1600,0,30116,75155,239440,206880,84263,1468,71397,107930,115079,115112,113575,97945,16284,66370,80806,107181,145475,150773,82299,4418,2516,8347,52138,103670,154904,184467,131280,94166,172943,147835,89777,63405,47584,21612,55697,132815,135390,119241,90366,58437,45376
607,3,1,3,1,3,1,70704,104408,136008,129240,152557,135596,10731,52252,81982,134283,168924,180078,114355,7370,51873,119384,155111,164113,151427,91035,6301,24374,47978,93244,152171,205313,188857,27307,34683,77029,100270,130386,169279,174246,53351,31,4371,70646,260773,314484,88412,527,31,4501,79812,259049,302635,92743,473,51014,104301,120426,144051,150555,132665,36232,32803,62652,105216,179981,191482,156436,10674,5192,21277,86199,166100,200323,173154,86999,94274,169748,172959,122398,87073,61832,30960,44151,121923,143631,146319,125840,89458,67922
608,3,1,3,1,3,1,149933,144730,134970,66584,28346,9682,1857,113750,95222,121144,114142,65637,23988,2219,114278,100386,113076,104730,73907,27810,1915,14614,21406,45234,95133,160114,167864,31737,41598,76870,98228,107612,107772,84990,19032,233,37953,104288,188676,173598,31346,8,255,40218,103914,188070,170966,32673,6,64582,105138,98772,98146,86494,71806,11164,41359,54080,88637,144148,140549,63782,3547,8853,3563,16388,71300,133182,152970,149846,79775,109678,129855,102437,66909,34534,12914,65909,131769,128593,100655,62474,33882,12820
609,3,1,3,1,3,1,69242,76873,96313,71465,28759,6207,680,54290,49865,72769,89813,60851,21313,638,54172,60486,61983,73914,66495,31772,717,5411,13607,32304,64067,94326,116467,23357,19431,42668,49223,71230,81511,67917,17559,50,14501,52345,111539,142135,28760,209,53,14417,52602,111434,140971,29865,197,33838,54527,56229,64031,66118,60096,14700,15637,24352,51700,97473,100784,58208,1385,1779,2935,27085,70881,78567,81029,87263,62299,78790,79065,62740,38265,22953,5427,38507,69437,74647,69100,48630,31670,17548
610,3,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,10,25,18,0,7,8,3,11,16,0,16,6,10,12,22,11,0,0,0,25,3,0,0,0,0,0,24,8,0,0,0,0,0,0,34,23,62,0,0,18,6,12,5,85,41,0,0,0,0,0,40,80,0,0,0,0,0,27,0,0,3,69,7,0,20
611,3,1,3,1,3,1,258394,3615,171,41,22,17,16,247915,12080,1689,434,111,36,11,232951,22699,4291,1672,562,93,8,37704,44928,42931,34058,36270,40543,25842,94746,77132,49173,24314,12592,4104,215,60400,139454,54561,7312,499,46,4,65421,142304,48243,5803,452,49,4,129786,83922,28479,12594,5874,1580,41,125820,64631,32823,23822,12007,3120,53,1668,333,354,996,4085,24453,230387,68078,62640,47238,31217,22449,18799,11855,107059,83584,43900,15907,5778,3141,2907
612,3,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0,0,0,10,2,15,8,35,7,4,3,2,5,0,13,11,11,3,9,2,0,0,0,0,0,0,2,14,0,0,0,0,0,9,7,0,1,20,9,19,7,7,26,3,8,6,4,8,8,41,0,0,0,0,0,30,70,0,0,0,0,0,20,10,0,11,30,16,3,0
613,3,1,3,1,3,1,17373,85404,91309,68135,28208,5377,726,5769,32978,54292,85714,91998,24646,1135,10345,32358,39378,56776,86427,69420,1828,1975,3266,11094,39444,91397,126696,22660,8015,18088,18183,29949,75563,107784,38950,0,113,18727,41401,124960,109569,1762,0,115,19005,41103,122942,111744,1623,12487,23873,22647,38206,66458,103766,29095,2565,5505,14636,45559,130337,95898,2032,1607,4650,51174,75800,67375,63037,32889,95200,89768,56037,21020,14160,15171,5176,17137,32714,47334,58029,59046,45930,36342
614,3,1,3,1,3,2,85625,142262,110274,77190,35816,9628,1388,47099,92415,110585,103879,75715,29597,2893,49772,86283,96875,96560,84638,44351,3704,12698,30503,50191,79607,119891,144349,24944,24822,58640,76425,97240,101165,73671,30220,0,4443,72653,130567,195314,59096,110,0,4537,72698,129299,194464,61092,93,39888,75656,84585,88818,86388,65359,21489,19116,39985,76434,121433,130056,70744,4415,5019,9943,52493,80662,105485,115789,92792,81291,89003,97499,83975,59230,37837,13348,44119,93888,100751,93060,61804,36964,31597
615,3,1,3,1,3,1,12764,66973,59976,24508,9678,5170,873,8770,47931,57039,39356,17407,8117,1322,8000,37341,60321,42620,22460,8156,1044,13394,36368,40717,42611,32164,13761,927,3675,28322,55596,49927,30802,10499,1121,0,23,4584,28530,75212,68734,2859,0,27,4430,28346,73904,70624,2611,4947,28411,63386,46930,26834,8982,452,15410,34734,43884,46943,29150,8969,852,654,4525,17356,52720,55940,36578,12169,2115,17346,40674,53665,47140,18003,999,2516,29176,55866,58954,25837,5700,1893
616,3,1,2,1,3,1,4445,28682,35360,37160,53291,35132,6111,334,12120,32697,55324,63330,30311,6065,615,16067,43844,58529,49578,26284,5264,6878,11898,28574,47841,53723,45481,5786,4242,10070,21402,41773,58962,50658,13074,53,1049,17171,81304,83646,16876,82,75,1225,21172,81653,77552,18424,80,4278,16637,36534,50933,44581,37441,9777,4283,9839,18805,50127,75401,36330,5396,4163,10367,30581,52892,61075,35336,5767,16314,52348,55861,32523,22169,13808,7158,3101,18856,47927,47828,35152,23784,23533
617,3,1,3,1,3,1,6231,49939,94091,95180,81571,41289,11789,3086,59981,108020,109324,59216,30395,10068,13175,102563,114961,70764,42939,27096,8592,25688,34822,59607,82050,91614,69852,16457,21901,40267,76848,98580,74010,49501,18983,14,1538,34756,193578,114736,35066,402,17,2325,47775,186683,106311,36624,355,29714,75617,95867,72246,51753,39868,15025,22708,36061,64428,128682,82110,37450,8651,10929,17729,35631,65951,90777,112330,46743,22750,54866,86982,89096,64078,37457,24861,26234,71512,96267,78518,45784,28056,33719
618,2,1,2,1,3,1,0,139,12063,33955,33984,33259,33982,34,5856,27268,45486,26877,20275,21586,1833,30430,48489,26653,14331,8811,16834,14765,7351,14546,24179,27932,30573,28034,15939,8232,16847,37773,33859,18352,16393,7197,15794,69601,50431,3810,464,0,8142,17586,79058,38679,3333,499,0,16763,26037,41026,26768,14527,8761,13513,11444,7813,15801,38472,30508,23432,19990,5798,12554,13878,21656,36902,43874,12718,2072,12389,31909,32936,19743,16516,31817,9898,30487,44145,35487,16007,6615,4741
619,2,1,2,1,3,1,0,0,126,4314,31842,22381,9922,0,1267,4948,24902,24365,6301,6799,82,8431,27842,18738,5833,2790,4863,5149,2342,4164,9087,15880,20188,11764,5732,2789,5743,21508,21630,6942,4282,2037,9898,51127,5240,25,0,0,2343,12311,51036,2615,22,0,0,5898,10180,25224,15603,6138,2336,3247,4396,2129,3141,15202,25066,12212,6636,241,3135,5062,10270,20774,25039,4053,195,2759,13880,23413,11598,6951,9786,2989,14387,25699,17912,5928,1425,234
620,3,1,2,1,3,1,11629,42974,23039,25166,39379,15565,3388,5208,30024,35893,52274,29654,7102,3002,8813,44943,52166,32382,17334,7337,2284,5858,8498,17772,31182,45621,47895,10690,13556,24714,34959,43545,34177,18622,4862,294,7191,89485,62196,17556,1781,1,345,10079,94146,54640,17431,1861,2,16551,45663,43969,30015,20326,11802,3418,5233,11822,26709,51477,44225,17024,2917,1946,3998,8741,20521,40141,61892,28018,13124,17742,30750,36954,30678,21610,12299,13640,50364,45125,28769,15615,8742,5261
621,3,1,2,1,3,1,69800,154097,77427,36753,17864,9384,1935,19420,87326,97077,80523,54473,29375,4656,14924,74965,90662,88195,70270,35065,4450,6350,13199,27471,57316,123470,137306,19197,9689,25948,53255,81299,103717,100995,25876,79,134,14365,149008,206375,38274,23,80,399,14848,146311,207931,38672,17,10069,45616,75139,85713,86395,73696,18229,5800,19418,48626,100051,108985,71418,7750,2871,7281,24647,60997,114206,119777,48752,108263,119405,65642,37683,22644,12220,6993,10879,61932,88519,91115,70602,41874,19388
622,3,1,2,1,3,1,72275,205581,93585,35394,15500,8819,2725,22232,132732,124955,81733,44623,22992,4988,27760,124624,120267,80441,49947,27010,4423,13048,21239,37887,74498,137332,135661,14869,12869,43805,99153,103858,90517,67493,16841,0,235,17154,237375,167256,12474,42,0,248,17027,234445,170089,12692,35,15768,83760,115209,97689,63114,45908,13088,11930,31729,83842,132995,114645,52641,5700,5214,8318,24224,53289,102433,161348,79646,75130,100657,94629,74615,48320,25687,15217,16484,111681,132329,77930,46014,30088,20006
623,3,1,3,2,3,2,59268,119648,103566,48344,20688,11514,14566,38916,86453,99701,77695,42921,19461,12447,52688,110970,90354,60085,36415,18700,8382,13843,21887,32738,51337,84888,123886,49015,23816,72248,89145,75193,64632,41220,11340,0,11501,51229,157188,123786,33662,228,0,11595,51798,154983,125039,33936,243,32877,99590,95567,65357,46967,29594,7642,21313,32123,60480,92135,97642,59701,14200,827,3916,14540,42737,84607,128464,102503,24161,54748,69123,69211,73693,68990,17668,37361,126702,121539,57240,22808,8793,3150
624,3,1,3,1,3,1,0,0,0,0,2,3,16,0,0,0,2,0,33,84,0,0,0,6,29,27,85,53,16,14,10,9,18,34,18,34,23,19,20,28,26,0,0,2,37,17,0,0,0,0,3,42,19,0,0,0,0,5,61,27,64,88,34,38,9,8,16,40,107,180,4,1,0,0,0,10,70,0,0,1,0,2,146,0,1,24,127,25,2,24
625,3,1,3,1,3,1,7,0,0,0,0,0,0,22,1,6,1,1,6,5,18,10,9,2,7,4,6,62,0,0,0,2,5,1,59,15,0,0,3,7,0,0,0,26,0,0,0,0,0,3,25,0,0,0,0,26,23,20,14,8,1,13,78,9,9,1,0,0,15,59,1,0,0,0,0,20,60,0,0,0,0,0,47,0,0,9,49,13,1,20
626,1,1,2,1,3,1,0,0,0,0,0,0,0,3,1,0,0,1,1,1,5,2,1,2,1,3,0,21,0,0,0,0,0,0,26,4,5,0,0,0,0,0,9,1,0,0,0,0,0,11,1,0,0,0,0,18,38,9,10,13,10,0,163,4,16,9,11,21,0,13,0,0,0,0,0,10,40,0,0,0,0,0,7,0,0,4,18,1,0,20
627,3,1,3,1,3,1,0,0,1,1,3,2,7,6,12,8,12,12,14,41,3,13,23,27,11,22,20,98,9,9,5,2,3,0,71,26,9,4,14,2,0,0,13,25,0,0,0,0,0,18,16,4,0,0,0,3,29,43,7,31,7,13,80,5,11,16,7,7,14,144,3,1,1,0,0,10,30,0,0,0,1,2,132,2,11,18,96,20,8,6
628,3,1,3,1,3,1,0,0,0,0,0,0,0,6,0,0,0,0,0,15,18,0,0,0,0,0,45,28,0,0,0,0,0,70,36,0,0,0,0,0,87,46,0,0,0,0,0,0,64,0,0,0,0,0,0,49,10,8,8,3,5,165,83,3,2,3,2,3,240,48,0,2,0,0,0,50,150,0,0,0,0,0,18,4,7,24,43,2,0,46
629,1,2,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,3,1,2,1,3,1,123923,128358,111883,65245,28324,6919,194,102864,86742,77253,88995,73454,34781,757,86215,97982,69908,72678,78621,57303,2139,23634,38965,56492,86134,121990,117912,19719,30851,54253,83929,92208,95165,84290,24150,92,26889,73819,144142,156191,62443,1270,87,27928,76506,141348,153540,64210,1227,39594,85697,87630,76034,81950,80162,13779,60469,74266,66616,83382,100726,74242,5145,4165,4801,36206,92816,107351,121188,98319,67888,132880,122636,70306,42759,21009,7368,28267,89598,112139,104082,77634,41740,11386
632,3,1,3,3,3,2,210169,126047,85033,40327,12280,2678,377,180384,107861,104344,57915,22169,3940,298,181594,114627,85677,62439,26893,5420,261,32232,53448,92685,109091,112442,62009,15004,107500,78391,66509,76996,89456,53933,4126,10515,83790,116592,145229,107692,13080,13,12307,90384,121618,135997,101220,15366,19,137086,76334,60606,68946,77359,53069,3511,82995,90316,101788,106861,74805,19655,491,1407,2124,11301,49490,91477,119167,201945,78185,102922,84549,61466,54209,59968,35612,117411,94418,72284,69278,61238,43115,19167
634,3,3,3,3,3,2,21,1013,1787,697,334,106,13,722,2064,753,285,100,43,4,1485,1664,551,192,59,18,2,2237,716,498,238,139,101,42,2888,629,290,123,38,3,0,0,850,2479,615,27,0,0,0,1015,2482,454,20,0,0,2627,754,351,167,59,12,1,2346,1038,385,150,43,5,4,971,307,298,434,602,831,528,1,8,39,108,227,678,2910,1946,996,537,298,128,56,10
635,3,3,3,3,3,2,0,487,5676,7402,9630,5943,1709,262,5480,7720,7979,5485,2795,1126,2240,10205,6976,4997,3637,2033,759,3924,4775,7741,6913,4042,2444,1008,6877,4642,4485,4993,4447,3919,1484,0,328,8269,15801,5661,788,0,0,395,10164,14399,5042,847,0,7955,5382,4437,4470,4164,3175,1264,3496,5712,7430,7234,3726,2316,933,844,2195,3620,5908,7316,8014,2950,1580,3150,3695,4033,4584,5777,8028,5765,6168,5020,4657,3784,2366,3087
