census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6
83,3,3,3,3,2,3,5,5933,17448,50800,100218,47117,40,2082,14622,43159,87614,74004,125,6037,24231,40429,77356,73343,4157,17054,46205,80196,68216,5693,3659,18729,28473,56331,85980,28349,3,889,9747,60159,110586,40137,3,963,8845,60781,111508,39421,1313,11472,23028,40215,80796,64697,1685,3248,13293,40999,107375,54921,43502,78011,54158,35341,10139,370,1890,26028,60342,67530,47554,18177,3051,22660,41587,67883,66781,19559
84,3,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,8,17,21,4,2,2,2,4,27,31,24,20,36,2,0,0,0,0,39,23,0,0,0,0,36,40,0,0,1,87,72,141,54,59,12,17,38,149,36,0,0,0,0,10,190,0,0,0,0,9,0,0,2,35,5,151
85,3,3,3,2,2,3,0,0,0,0,2,12,0,0,0,0,6,36,0,0,0,0,16,40,31,14,7,1,7,17,9,22,16,15,25,4,0,0,0,0,8,24,0,0,0,3,24,13,0,0,10,39,46,80,29,21,15,12,20,78,66,0,0,0,0,30,70,0,0,0,0,51,0,0,14,74,6,22
86,3,3,3,3,2,3,0,106,2853,17565,66008,54597,0,429,4521,16381,57573,62225,0,1701,8571,19134,52122,59601,4455,14289,17930,34240,63881,6334,598,4731,13694,33601,57286,31219,20,197,3048,19725,64912,53227,21,222,2936,19701,65279,52970,331,2919,8547,21069,55255,53008,605,2902,6946,16195,62536,51945,28801,61906,32703,14082,3414,223,1039,30658,44220,32760,22886,9566,974,6115,18648,45229,50566,19597
88,3,3,3,3,2,3,0,0,0,0,0,0,0,0,8,23,36,87,0,1,14,72,74,140,354,36,46,45,21,2,217,85,91,92,46,1,0,0,12,81,49,16,0,0,6,80,60,16,0,0,78,201,154,141,225,60,31,34,90,141,356,0,0,0,0,290,540,0,0,0,0,191,0,2,35,475,81,58
90,3,3,3,3,3,3,0,44,538,3833,19091,27231,0,60,1133,6179,24257,19108,0,883,4657,11774,25272,8151,8376,11840,15795,11607,2967,152,1259,8874,16740,15956,7648,260,0,79,3052,14978,29102,3526,0,104,2888,15280,29014,3451,307,4185,9707,17272,16233,3033,429,2215,6692,18154,21784,1463,15975,16090,11521,5636,1455,60,1,87,1262,8592,19118,21677,985,6924,13000,19367,9609,852
91,3,3,3,3,2,3,0,0,30,513,3135,4231,0,28,369,1214,4323,1975,0,395,1315,2391,3514,294,3372,2100,1449,759,204,25,900,3011,2810,1051,132,5,0,154,895,3460,3173,227,0,168,865,3493,3163,220,486,1078,2379,3116,784,66,560,1409,2138,2372,1377,53,3229,1904,1537,1003,236,0,0,2,7,122,1685,6093,407,1516,2818,2580,576,12
92,3,3,3,3,3,3,0,0,1,38,1212,5893,0,0,10,384,2721,4029,0,38,474,1140,4556,936,4527,1104,886,497,121,9,341,2440,3216,924,210,13,0,70,400,2023,4456,195,0,80,397,1973,4509,185,175,367,1239,3846,1400,117,211,632,2321,2806,1077,97,4925,1068,697,383,70,1,0,0,7,110,1290,5737,152,512,1497,3736,1221,26
93,3,3,3,3,3,3,0,0,23,233,1412,5793,0,76,127,468,2862,3928,0,186,506,1462,4464,843,4444,1445,837,579,140,16,447,2971,2968,764,294,17,0,62,232,2574,4364,229,0,67,224,2627,4318,225,187,537,1778,3605,1171,183,231,654,2403,2776,1203,194,4986,1114,764,475,119,3,0,1,16,111,937,6396,189,772,1864,3584,996,56
94,3,3,3,3,3,3,0,1,240,1090,2165,905,0,86,583,1376,1979,377,1,539,1459,1559,714,129,1150,1694,883,432,199,43,541,2334,1021,379,118,8,0,10,244,2550,1508,89,0,12,240,2530,1547,72,166,1329,1782,815,253,56,170,1361,1416,915,439,100,522,1099,1340,1030,395,15,0,7,41,144,877,3332,116,1752,1851,581,95,6
95,3,3,3,3,2,3,0,0,26,198,503,1004,0,23,141,255,861,451,0,134,260,407,878,52,1146,353,130,58,31,13,155,1013,419,114,27,3,0,16,88,582,979,66,0,18,89,592,963,69,64,285,530,715,120,17,102,625,636,222,129,17,964,332,195,169,70,1,0,0,4,35,152,1540,39,270,547,737,129,9
96,3,3,3,3,3,3,0,7,105,871,3093,9881,0,18,280,1138,4647,7874,0,188,1009,2188,7921,2651,6124,3417,2018,1397,859,142,465,2641,6324,3437,1049,41,0,4,295,3107,9821,730,0,4,277,3113,9852,711,178,525,2023,6441,4395,395,309,936,2993,4881,4454,384,8252,2745,1555,998,400,7,0,8,163,1188,3294,9304,163,1110,2928,7173,2506,77
97,3,3,3,3,3,3,0,22,1503,5647,15634,26868,0,435,2554,6080,18062,22543,16,1866,5196,9584,18106,14906,5007,8300,11692,17368,6835,472,819,6685,10790,14027,13957,3396,0,52,1688,10220,25774,11940,0,53,1635,10290,25791,11905,549,3047,6866,11699,16610,10903,546,2720,5759,9608,23021,8020,15833,14693,9966,6861,2220,101,2,477,6832,13417,15879,13067,723,5546,11269,15214,12438,4484
98,3,3,3,3,3,3,0,27,1282,6686,11184,9802,0,383,2996,7616,11870,6116,4,1894,5949,9272,9906,1956,8023,7747,5536,4737,2578,360,1194,7351,9759,7406,2891,380,0,119,1342,10793,14828,1899,0,127,1307,10860,14803,1884,703,2710,7187,10622,6698,1061,652,3557,8415,9259,6180,918,7478,6995,7012,5045,2347,104,1,574,3033,5586,7434,12353,786,4018,8849,10601,4354,373
99,3,2,3,2,2,2,3,3048,25430,91294,248762,862059,3,1098,14046,51990,171207,992252,183,3720,21623,57619,183962,963489,2486,2108,4511,17530,226490,977471,2189,3756,22148,110435,315698,776370,3,730,9474,60819,279501,880069,3,752,8876,61192,273935,885838,1379,4283,26939,75112,211515,911368,1342,711,1991,8545,96072,1121935,633863,277608,163253,109019,44927,1926,1105,49390,594652,526173,51560,7716,3515,46831,173454,272058,427206,307532
100,3,2,3,2,3,2,6,6888,24047,73012,238669,799826,43,2989,19516,76602,233414,809884,532,11951,64508,132730,182393,750334,5104,3073,5844,16290,186707,925430,6513,15181,64544,178928,228648,648634,175,23317,100384,225111,440035,353426,181,23649,98200,226797,438310,355311,4969,33431,108340,126830,162546,706332,3040,1021,2088,9610,163725,962964,443203,258181,129996,146259,143752,21057,664,71247,578031,360002,109987,22517,28472,143593,190995,185083,396972,197333
101,3,1,2,1,2,2,0,0,0,0,0,7,0,0,0,0,0,28,0,0,0,0,0,56,13,9,5,4,20,40,0,0,18,17,38,46,0,0,0,0,12,28,0,0,0,0,8,46,0,0,0,0,35,203,0,0,0,6,39,249,69,0,0,0,0,50,130,0,0,0,0,36,0,0,1,98,14,40
102,3,3,2,1,2,2,0,0,0,0,0,7,0,0,0,0,0,21,0,0,0,0,3,32,12,0,2,5,5,18,0,11,6,7,15,17,0,0,0,0,0,20,0,0,0,0,0,22,0,0,0,13,31,82,1,13,21,8,12,99,45,0,0,0,0,10,50,0,0,0,0,27,0,0,11,39,4,20
103,3,3,3,1,3,2,0,0,0,0,2,26,0,0,0,0,2,54,0,0,0,0,13,57,32,8,5,10,7,22,6,38,14,26,29,27,0,0,0,2,21,17,0,0,0,0,22,20,0,0,0,26,34,87,6,24,15,11,9,96,88,0,0,0,0,20,120,0,0,0,0,70,0,0,0,88,16,80
104,2,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,17,53,0,0,0,0,32,80,59,21,10,4,17,36,37,25,25,20,35,19,0,0,3,5,26,24,0,0,8,1,32,25,1,10,18,74,62,87,85,30,12,14,25,100,137,0,0,0,0,50,130,0,1,0,0,86,1,7,38,115,16,22
105,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,11,24,24,4,7,3,10,8,8,22,5,17,17,8,0,0,0,1,4,23,0,0,0,2,2,30,0,0,0,30,29,67,8,33,9,3,10,77,45,0,0,0,0,30,90,0,0,0,0,18,0,0,6,59,7,30
106,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,4,3,7,0,0,4,9,16,20,49,5,9,0,2,5,30,18,13,11,7,5,0,0,0,6,22,0,0,0,0,4,24,6,0,0,6,47,41,46,37,24,10,10,21,59,57,2,0,0,0,30,100,0,0,0,2,16,0,0,4,60,18,22
107,2,1,2,2,1,1,0,221,4221,53241,302047,194570,2,1468,9770,72366,316153,154541,103,3312,16960,77558,252132,204235,13965,40232,68911,99971,158536,172685,3780,5373,17479,77386,247801,202481,4487,11217,24693,72446,199081,242376,4687,11064,22875,72313,206298,237063,2922,5532,18818,63301,223762,239965,4755,8181,21287,56876,237530,225671,61958,218500,169694,81134,21830,1184,133064,173696,134899,76063,27777,8801,4262,19609,75282,151565,127491,176091
108,2,1,2,2,2,2,17,8220,29313,76853,250847,198503,1655,16468,23747,64288,252583,205012,1002,21365,36296,82815,231755,190520,25701,23623,27536,56764,160086,270043,10729,13538,33197,101601,244576,160112,5454,18851,39096,75511,176443,248398,5506,18651,37465,75990,177858,248283,10132,18598,35367,72725,213626,213305,14811,19219,17093,33037,175351,304242,32938,157979,185709,128008,54287,4832,67665,153110,155281,113989,53366,20342,12057,42447,126969,186506,132834,62940
109,2,1,2,1,2,2,22,1692,9718,64791,200297,114868,169,2037,5573,26749,164481,192379,89,1578,5629,21819,138277,223996,4097,5368,9215,28411,145057,199240,1493,2755,5264,24401,160644,196831,193,1044,5875,19849,103757,260670,190,1060,5618,20029,104561,259930,1063,3256,5984,18705,110010,252370,2030,3139,3915,9178,106536,266590,20318,178875,139798,45419,6893,85,71126,172068,96454,37192,11338,3210,497,5878,39284,128195,148804,68730
110,3,3,3,3,3,3,1416,23415,74810,279045,535399,355062,1994,14048,33320,101050,369860,748875,445,7095,24601,75399,327533,834074,27782,41743,62826,109159,369717,657920,13102,11656,22746,63470,360068,798105,1732,9335,24932,71150,423332,738666,1719,9701,24456,71224,431373,730674,11924,15820,27524,54752,248321,910806,15278,17826,37611,75298,244132,879002,162001,699009,313694,82022,12031,390,360642,586842,191382,68141,40122,22018,8102,12363,66377,253767,479621,448916
111,3,1,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,8,27,22,9,4,7,4,17,0,24,9,14,18,12,0,0,0,0,9,19,0,0,0,0,10,22,0,0,0,3,41,75,0,17,18,2,16,73,39,1,0,0,0,40,80,0,0,0,0,25,0,0,6,62,10,21
112,1,1,2,1,2,2,196,2211,14791,109988,620861,1242740,345,1282,4094,22125,230721,1732220,137,1139,3276,14367,112262,1859606,9721,11217,18965,57787,346463,1546634,6381,2385,3376,13632,130656,1834357,1352,3432,4204,26067,257069,1698663,1374,3428,4078,25963,259895,1696049,4580,2744,5038,17533,130240,1830652,4446,2805,4662,12533,100296,1866045,893581,928268,125991,34547,8015,385,781526,999407,164092,26194,8872,10696,5695,5231,30413,120602,502521,1326324
113,1,1,2,1,2,2,15,695,7762,44831,330698,2187077,28,247,2113,12033,84816,2471841,54,403,2148,8233,46574,2513666,1675,3667,7994,22503,152322,2382917,634,637,1947,11157,86475,2470228,0,45,652,7516,88961,2473904,0,41,597,7489,88888,2474063,314,536,2078,10036,66643,2491471,585,511,1065,3629,33314,2531974,1954308,506940,74020,25771,9312,727,305589,1068078,936553,238391,18565,3902,575,7159,34954,138822,946419,1443149
114,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,6,141,60,18,28,25,47,39,0,47,37,64,91,41,0,0,0,0,0,92,0,0,0,0,0,104,0,0,0,4,114,295,0,11,38,31,49,319,182,0,0,0,0,100,300,0,0,0,0,88,0,0,7,225,38,90
115,1,1,1,1,1,1,287,2276,5832,17994,133056,3008880,501,2141,3940,7891,34521,3119331,428,1523,2661,6269,37522,3119922,16968,12683,16341,35040,204285,2883008,5134,5799,9790,22782,155325,2969495,61,755,2164,10720,377324,2777301,97,736,2071,10715,379718,2774988,1674,2737,5444,13922,77117,3067431,6588,5388,6131,8759,37723,3103736,2373987,742511,41853,8404,1515,55,24942,621915,1859045,587121,57890,17412,1204,4335,30272,297179,1767331,1068004
116,1,1,2,1,1,1,400,4596,23055,131684,480230,550241,956,4210,10506,45185,249607,879742,613,4492,11713,33356,172345,967687,7327,7838,12770,30907,166303,965061,3263,3222,5682,19919,151859,1006261,2,750,2268,11850,139082,1036254,2,766,2214,11863,139192,1036169,2211,2808,6993,24353,139683,1014158,4352,3974,6020,10732,80968,1084160,345868,473845,222646,104277,40145,3425,395573,548017,194836,32594,13044,6142,2000,13068,69475,201541,425233,478889
117,2,1,2,1,2,2,22300,69796,157409,180322,117910,22918,27942,61426,97562,129231,165598,88896,20928,53486,77458,101551,166239,150993,33847,31772,45620,80112,169425,209879,18542,18009,30318,75276,187798,240712,4111,16170,31213,86756,206688,225717,4051,16271,29976,87176,207055,226126,14187,22148,41841,82075,183865,226539,32645,28993,38805,73268,182266,214678,30506,142053,132482,128120,108539,28955,308187,162767,50533,23107,14278,11783,8950,40520,84550,126284,150091,160260
118,1,1,3,1,2,2,19990,56053,100145,244553,569941,386422,24546,40384,62833,126508,413666,709167,17302,34840,49895,93435,296956,884676,33153,35761,52875,118736,456267,680312,15834,15354,23513,58744,231182,1032477,896,9817,22942,63408,305722,974319,879,9945,21935,63647,304595,976103,13788,19791,31121,64830,251206,996368,28982,27280,34693,67176,262028,956945,241332,655271,259047,133815,74765,12874,812418,436879,76962,25999,13346,11500,6787,24491,69315,160056,345646,770809
119,3,1,3,1,2,2,6595,23895,81741,274851,405513,161360,8401,15222,59483,159331,362137,349381,6432,14223,36493,117020,316531,463256,38431,58213,79019,134211,318691,325390,14359,8810,17159,59505,278467,575655,855,10743,22432,76234,387340,456351,831,10730,21603,76191,384787,459813,11536,10581,21196,56011,252460,602171,21078,25600,53513,99359,260963,493442,87713,505265,228883,93559,35684,2851,474074,340472,80480,28283,14679,15967,8400,13236,51274,136594,286958,457493
120,2,1,2,1,2,2,761,9324,15063,129924,400031,255922,9949,6078,16516,118637,356918,302927,12730,6138,20836,101840,376019,293462,37851,29768,56359,107682,253884,325481,27632,4870,10529,47499,343008,377487,211,23195,17269,41228,264810,464312,218,22941,16929,41252,258121,471564,25174,6482,13387,40120,248118,477744,27314,12011,31751,82636,252109,405204,77364,308661,254849,137707,31249,1195,230542,331017,152485,48341,15293,33347,23127,14431,73577,193773,249062,257053
121,2,1,2,1,2,2,930,15327,49002,169104,284712,101841,5711,21680,55266,153263,242627,142369,4941,26510,63270,114352,236525,175318,34276,37961,54342,107152,228805,158380,14362,15679,49363,125836,228234,187442,1151,12809,37734,103731,268445,197046,1119,12348,35839,105774,263687,202149,13617,16530,43756,113509,246894,186610,18578,20001,35736,87370,245034,214197,65719,184930,171322,130367,63895,4683,159224,162536,136329,100148,43883,18796,12215,37050,112617,178382,152590,128062
122,2,1,3,1,2,2,869,46889,193124,409062,401890,112158,2966,37762,159563,280305,445393,238003,2786,35462,106746,206965,440678,371355,41684,59103,93595,210927,494919,263764,15332,9286,35025,131248,368602,604499,5729,23087,53937,184621,563980,332638,5773,23043,50993,186797,560915,336471,12630,12453,43849,130985,434582,529493,21444,36958,78520,185051,450660,391359,75697,452759,344249,183440,94425,13422,669997,324512,99872,36015,14651,18945,12265,33909,93005,182570,321374,520869
123,2,1,3,1,2,2,33750,117683,149788,134796,75172,21886,31240,81876,118114,124405,130356,47084,19169,49500,93489,116890,173201,80826,38226,53223,85997,131258,166662,57709,18576,16910,37725,87660,191606,180598,5274,22527,51970,164672,263021,25611,5259,22726,50109,165776,263191,26014,15358,19521,43508,92034,205761,156893,35023,50460,75732,125783,158982,87095,23058,129289,168280,124206,75250,12992,288435,146990,51528,22719,11895,11508,7956,26633,54120,102713,164024,177629
124,2,1,2,1,1,1,453,23243,76737,195931,111678,7464,6174,30340,80221,142956,136920,18895,8616,24243,60613,108125,159004,54905,21444,32137,64754,120725,144129,32317,13804,14570,34489,67742,142931,141970,446,10396,38271,141774,205941,18678,451,10594,37045,142501,206847,18068,11152,13758,36858,75010,154834,123894,17265,25292,63244,110878,148910,49917,19471,110922,135977,98996,46421,3719,199665,100077,47817,31414,19632,16901,9405,20100,50793,88591,112574,134041
125,2,1,1,1,1,1,384,38302,163779,214058,73456,3544,4572,69780,130013,161437,117983,9738,7954,58226,88209,109881,183547,45706,101121,77775,77563,105462,106555,25047,22846,54106,83642,113739,130336,88854,5708,23357,57127,132786,217676,56869,5724,23288,55440,134277,217811,56983,13164,37077,73630,124551,167171,77930,30337,65544,108069,125661,136234,27678,111989,103863,97337,93741,75890,10703,135461,96381,81477,84116,66731,29357,20666,50141,70303,92254,130599,129559
126,2,1,3,1,2,2,17706,89998,243835,278306,181892,34358,29109,107281,224186,209191,203492,72836,28100,115810,167051,178096,230289,126749,53807,60689,107749,212290,293146,118414,32876,31080,93424,177345,251990,259380,54494,113267,162045,246292,227914,42083,53663,113978,154398,255686,226300,42070,31066,42444,106063,172627,278562,215333,41409,49239,111931,210456,313213,119847,70637,190499,198246,164202,167575,54936,373863,219934,124113,66397,27799,33989,47005,85305,120825,143264,174251,275445
127,3,3,3,3,3,3,529,12392,43416,169356,293962,91614,1879,19406,77015,209465,205999,97505,1931,44957,143013,160254,152246,108868,41040,70936,88807,137602,190402,82482,14775,64259,136542,166174,114164,115355,33917,92033,115279,152857,148360,68823,34297,92646,110675,156339,148891,68421,13519,43164,113392,171803,158178,111213,12420,39096,77578,139069,224023,119083,50734,156474,138823,144251,105352,15635,106265,68264,78141,145934,157709,54956,34579,106511,148342,120900,77629,123308
128,2,1,2,1,2,2,0,989,39972,272078,377179,65560,271,18025,132456,292953,241944,70129,840,43677,180540,221152,206193,103376,44078,93127,137100,195145,216636,69692,18998,76151,172586,188713,143619,155711,48729,198040,222549,200921,70899,14640,48880,198182,216599,207260,70659,14198,12443,55287,141811,225346,183640,137251,14023,46779,122836,210805,267762,93573,40224,220538,176802,181885,120673,15656,161778,99576,111389,169141,158655,55239,37717,126324,163433,134952,119775,173576
129,2,1,3,1,1,2,98,23350,174393,313045,165978,12794,1077,78607,236773,232846,124008,16347,4064,91087,210083,175279,171879,37266,152481,160283,147576,130269,81149,17900,77496,148493,148333,162872,117301,35163,33171,126994,159899,212830,132548,24216,33137,128453,154608,217737,131776,23947,19958,132320,172548,200350,137285,27197,65390,129002,175007,179217,121760,19282,67746,216569,163457,140654,89592,11640,42168,86836,119423,138996,168666,133569,52528,118686,139085,176918,153217,49224
130,2,1,2,1,2,1,106734,296030,370553,337491,182639,21135,123827,247609,295212,308512,283807,55615,100091,168727,238647,285995,384239,136883,113041,145824,207188,315502,394429,138598,65894,69093,119169,224334,423495,412597,27395,125396,228013,474732,424305,34741,27162,127011,221012,483209,423444,32744,61381,86543,147157,244022,447179,328300,114731,142732,189366,316465,400792,150496,47324,267905,345936,308785,247285,97347,730226,285049,129101,76929,52093,41184,31624,102967,174732,267134,326667,411458
132,2,3,2,2,2,2,0,0,0,0,0,0,1,0,1,1,5,27,3,5,5,6,22,22,74,9,5,3,0,0,5,50,32,12,6,0,0,0,0,10,24,0,0,0,4,26,22,4,0,3,6,38,133,72,22,21,28,36,59,86,71,5,0,2,0,40,101,0,1,1,3,39,1,3,5,55,29,44
133,2,3,2,2,2,2,0,0,0,0,0,21,0,0,2,0,6,83,0,0,0,7,21,126,105,44,19,13,13,2,65,39,70,45,19,0,0,0,14,24,16,26,0,0,10,28,30,20,2,7,26,71,150,87,55,52,36,38,83,100,198,0,0,0,0,60,210,0,0,0,0,117,3,2,23,198,20,61
134,2,3,2,1,2,2,1947,16092,73670,203581,170224,31829,7361,25203,115123,211759,115385,22512,13706,102815,174406,130213,64563,11640,12791,57257,161626,205209,58257,2203,23826,97020,168241,140438,58205,9613,31909,54092,259353,126384,24182,1423,32161,50548,261658,127168,24430,1378,26824,112785,139760,120761,77140,20073,7936,43547,110129,221899,104144,9688,12982,41952,95881,171708,159179,15641,3262,29463,74952,142207,184523,62936,21170,138089,171686,107376,45950,13072
135,2,3,1,2,1,2,0,1363,29460,108302,178968,97028,8,4105,59785,140986,170820,39417,248,42416,130276,135737,95104,11340,6343,14940,53783,126423,154770,58862,4540,52502,139400,148447,64722,5510,2158,33311,196547,148055,33991,1059,1973,32790,192591,153035,33670,1062,3170,75380,130968,116509,76581,12513,1655,14540,54866,123941,187278,32841,9699,30697,74538,148986,141538,9663,407,12326,55994,137080,167976,41338,14296,146282,150457,74811,26237,3038
136,2,3,1,2,1,2,213,9824,26300,72739,120105,65449,3009,15770,63135,107337,74401,30978,6228,50482,105571,74134,41480,16735,10856,33711,73348,94884,54949,26882,13751,77593,116525,67375,17202,2184,36565,153230,70742,28822,4849,422,35710,150693,73278,29615,4927,407,10744,76697,104507,66360,30540,5782,9801,58140,86898,71495,50284,18012,13701,26531,52857,98138,89468,13935,102,2995,16722,67870,140915,66026,19997,118899,103652,40586,10278,1218
137,2,1,1,2,1,2,0,137,5684,38997,132573,82905,0,1600,21817,84465,126679,25735,61,19708,91956,90770,51766,6035,7098,16461,50337,108647,69641,8112,6801,36014,91728,86871,35410,3472,250,7650,102702,111642,36127,1925,254,7018,102146,113264,35617,1997,5519,47999,80801,73129,43846,9002,2643,9096,26331,97048,118477,6701,9348,20764,56473,107787,64345,1579,321,6722,25574,68355,114366,44958,7890,76069,98258,52318,21346,4415
138,2,3,3,3,2,3,0,1,3,1,2,7,1,1,4,4,13,40,1,0,5,16,27,42,84,12,7,10,6,0,36,34,24,18,14,0,0,0,3,26,7,2,0,0,3,23,14,0,0,2,19,36,54,36,53,25,18,4,31,37,108,3,0,0,0,40,90,0,0,0,2,77,0,3,15,104,24,15
139,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,10,53,55,10,8,11,3,4,17,20,33,17,24,1,0,3,1,8,19,13,0,4,2,18,36,14,4,1,17,84,134,89,64,72,45,38,62,97,79,0,0,0,0,40,120,0,0,0,2,34,0,1,7,73,25,41
140,2,3,3,3,2,3,0,0,0,0,0,0,17,2,7,14,25,47,9,3,4,15,44,58,109,21,7,9,5,3,23,62,36,30,10,0,0,0,0,10,36,2,0,0,0,14,33,3,0,0,3,71,62,46,45,47,11,13,23,43,145,12,6,3,4,30,89,2,4,6,11,102,3,8,26,102,26,39
141,3,3,3,3,3,3,36,11,3,20,11,38,31,19,18,18,26,49,22,30,25,23,50,32,176,2,9,4,4,1,148,39,15,9,6,0,0,8,36,17,7,0,0,5,35,20,12,0,30,45,49,74,60,15,172,34,20,18,23,20,198,8,2,2,2,20,80,3,3,3,5,189,11,10,21,156,28,46
142,2,1,1,2,1,2,0,12,2257,27039,218950,157843,0,206,8733,64787,271908,60467,5,8077,51708,162623,169004,14684,6263,9117,31990,140891,194808,23032,8581,42143,112375,164331,73895,4776,246,4127,94476,215463,88758,3031,240,4470,95282,216476,86840,2793,6541,55918,106328,131069,93586,12659,2356,4026,12705,46990,291174,48850,11723,47081,129608,167755,49645,289,54,3562,33313,117886,177149,74137,14424,118514,154209,90855,24857,3242
143,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,14,5,1,6,6,5,12,42,0,0,0,0,0,26,14,2,7,0,0,0,2,12,2,0,0,0,0,16,4,0,0,0,5,12,21,26,13,21,17,8,6,16,23,45,0,0,0,0,10,50,0,0,0,0,18,0,0,1,25,4,34
144,2,1,2,2,1,2,0,76,1777,7870,55106,135490,0,147,1347,5521,62560,130744,3,846,4733,19684,95868,79185,505,1332,4919,24767,117161,51635,820,5661,17815,53112,92243,30668,121,2556,20463,40075,82923,54181,119,2470,19914,40702,83408,53706,620,5562,16001,40263,80079,57794,55,196,1512,9260,88946,100350,13550,76031,71056,32440,7014,228,101,6591,44133,72798,57161,19535,2496,22732,57933,72313,40818,4027
145,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,15,21,4,6,2,6,3,6,20,11,8,16,2,0,0,0,2,2,18,0,0,0,0,1,23,0,0,0,19,42,37,6,20,17,3,11,41,26,0,0,0,0,30,80,0,0,0,0,9,0,1,4,38,5,32
146,2,1,3,3,2,3,0,0,0,0,0,0,0,0,0,3,3,15,0,0,0,6,12,17,38,7,6,4,1,7,17,21,13,14,7,5,0,0,0,0,11,15,0,0,0,0,18,24,0,0,14,61,50,64,46,41,7,20,23,73,45,0,0,0,0,40,80,0,0,1,1,25,0,1,5,51,18,25
147,2,1,2,2,1,2,0,137,2118,7792,40371,220815,0,313,2662,6645,47601,214012,35,2579,4592,15966,130608,117453,3218,2683,7327,34009,146361,77635,2449,3884,12836,48628,138857,64579,0,876,16432,36293,126187,91445,0,830,16085,36548,125746,92024,1956,4963,10889,35230,116339,101856,1293,678,2193,15331,110114,141624,24212,109417,98561,31595,6407,1041,809,18122,77903,98110,61054,15235,2946,14686,55427,101272,80971,15931
148,2,1,1,2,1,2,0,108,1581,7802,72159,223040,0,99,1133,6139,94860,202459,7,987,6714,31198,196188,69596,2359,5057,15683,65612,174533,41446,2896,6086,26639,87643,140756,40670,0,660,45931,64223,133949,59927,0,754,45816,64191,135722,58207,1959,6247,21303,67736,137116,70329,524,1325,6841,55927,163474,76599,14253,101918,135192,46852,6176,299,166,14717,61454,99084,100631,28638,3195,24894,84561,107393,67904,16743
149,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1,1,5,14,0,3,2,5,14,18,43,6,1,5,1,0,32,15,18,8,4,0,0,0,12,13,1,0,0,0,8,24,0,0,0,1,20,57,34,28,65,22,2,14,24,41,51,1,0,0,0,20,80,0,0,0,0,25,1,0,6,53,9,30
150,2,3,1,2,1,2,0,0,0,0,0,0,5,6,10,40,63,240,2,5,24,54,102,184,246,26,20,14,24,41,115,94,66,39,56,15,8,54,42,4,0,0,2,50,52,4,0,0,0,11,51,117,91,108,147,54,13,9,55,107,443,9,5,1,0,1,31,0,1,5,8,447,1,9,44,329,55,36
151,2,1,1,1,1,2,1594,45306,60664,86982,130051,85879,14941,80788,66809,111998,106401,29539,40077,91552,134351,95704,37176,11616,67249,126247,114610,72901,26571,2898,79230,111553,136457,63748,15430,4058,43594,147412,164421,47747,6657,645,43215,144465,165126,50226,6793,651,75946,118204,116203,66308,25742,8073,72710,74854,131163,95642,26544,9563,22922,33209,91750,138219,114454,9922,541,5068,21058,68715,151486,163608,63081,113778,139172,65640,20096,8709
152,2,1,1,2,1,1,0,0,0,0,5,23,0,0,0,1,2,53,0,0,2,2,22,44,57,6,4,6,9,2,6,34,23,9,18,1,0,0,2,16,12,2,0,0,6,14,16,0,0,0,2,44,59,42,16,35,29,22,24,56,85,0,1,0,0,20,50,0,0,0,1,70,0,1,10,61,24,19
153,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,6,15,20,100,17,7,9,0,0,76,57,33,31,6,0,0,3,50,5,8,0,0,8,42,20,6,0,0,10,33,111,87,60,108,61,13,32,38,70,52,0,1,0,0,130,280,0,0,0,0,9,0,7,14,104,34,107
