census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11
73,3,2,3,2,2,3,0,859,2987,6172,14809,28252,47701,69354,63349,28773,3734,0,1027,2000,1790,3780,11646,36414,72128,99411,37032,762,0,2094,2301,2888,8889,19298,40831,78818,94374,16252,245,1908,8739,15117,21775,27019,39996,49361,52446,37238,11216,1175,1207,3929,10005,19564,36182,54807,66985,54710,16035,2370,196,0,0,1173,34337,83490,70310,47202,21452,6823,1183,20,0,0,600,28563,80474,78466,48100,22088,6451,1231,17,670,3152,4443,10970,19369,34172,51886,68738,58444,13634,512,455,1352,1901,3878,8474,23736,56974,88172,66884,13814,350,1073,13355,45477,65530,55109,36069,23673,15785,6964,2602,353,10,199,1637,5766,16236,32342,50766,64489,58603,31888,4054,1029,6764,18701,36003,53347,58501,48155,28815,10809,3171,695
74,3,3,3,3,2,3,0,88,1537,6791,19612,39358,62034,72448,63255,32950,6792,0,66,684,1873,6519,19874,55024,89175,98111,31827,1712,0,246,2399,8983,22256,34831,57651,89669,75261,13234,335,4632,16630,27319,34770,37350,50315,50890,46896,28030,7199,834,1977,7620,23253,42740,60647,65612,57255,35485,8783,1385,108,0,48,2046,41852,87042,77774,62507,24721,7533,1178,164,0,48,1170,35020,87294,85830,61431,25853,6893,1175,151,834,3314,11015,23995,35634,52404,64795,64537,40645,7296,396,1159,1790,4918,13285,26362,53144,74719,79935,41801,7524,228,4240,19282,42333,62585,63602,49063,33657,20747,7896,1376,84,15,131,926,3505,9921,21261,38939,63276,80314,73210,13367,971,11153,33258,53249,64494,60717,44941,24370,8621,2651,440
75,3,3,3,3,2,3,0,10,225,2547,9596,12966,21179,24236,34284,28941,7213,0,37,277,1162,3445,11312,28741,28677,41053,24709,1784,0,101,933,6876,21582,23200,27427,27033,22707,10940,398,2713,4158,6474,10729,14882,24485,28374,27694,17291,4075,322,1335,13113,25275,23928,22024,20810,17497,10779,4944,1440,52,0,0,129,6482,17968,24615,41562,28981,16862,4207,391,0,0,33,5183,17272,27196,40108,30520,16503,4038,344,419,2492,16457,25909,21439,18915,19330,17477,12619,5646,494,865,1163,1721,3448,7716,15925,27809,41466,33537,7273,274,3923,7888,11093,16947,21706,25082,26676,20712,6555,591,24,12,88,425,1257,2500,5360,10742,18026,27690,50287,24810,1243,21708,31024,24280,21099,17201,12123,7984,3346,1045,144
76,3,3,3,3,2,3,0,5,1483,6552,13596,18339,33099,42185,71548,51534,9413,0,6,400,2404,6806,19954,48989,50437,68941,47587,2230,0,20,1385,11886,32654,35501,45682,48133,45288,26413,792,2348,4795,12805,23604,32624,52458,54644,42522,18800,3021,133,1659,12470,31051,36639,38375,40570,37135,27328,16995,5343,189,0,0,114,4651,16301,31666,68703,65702,47111,13139,367,0,1,48,3457,15605,33934,66208,69198,46075,12942,286,548,2950,18394,33375,34492,35370,37190,36061,29913,17610,1851,834,1232,2016,4952,12362,27338,48832,73493,61847,14425,423,3878,17376,27738,36981,41956,43936,42440,26386,6545,506,12,26,301,1457,4613,9472,17291,27888,40188,54257,72406,19855,1037,16702,41286,43604,42233,36774,28899,20818,11172,4349,880
77,3,2,3,2,2,3,0,391,8928,19206,32649,43757,64084,53077,61344,26539,2127,0,173,1715,7649,16382,37747,79618,64698,74245,28994,881,0,939,4268,17270,46607,51544,67613,59816,43481,20142,422,1479,1898,6106,12682,21055,40484,61895,71135,66231,25308,3829,1445,7622,27558,44365,60445,63744,53471,31472,17584,4172,224,0,209,1247,27842,48004,49804,97125,53409,24540,9503,419,0,199,594,22576,50799,54348,92058,58273,23463,9539,253,556,2253,16627,46399,51330,45676,46451,44892,38621,18066,1231,811,881,1174,2550,7923,22252,45153,87224,108685,34856,593,761,8932,18894,30907,45438,55909,63698,51353,27262,8067,881,16,428,2436,7991,19299,35162,49814,61330,62950,62714,9962,1941,23006,63735,69908,59066,42331,26222,15882,7798,2013,200
78,3,2,3,2,2,3,0,130,8580,16049,32542,57214,64344,47377,31715,17238,2200,0,77,4677,17750,35784,61444,58254,43366,33694,20859,1484,0,7439,27466,41754,47811,49023,42056,29006,17550,14619,665,247,675,1634,2834,4665,9728,16699,31947,67107,97490,44363,1832,29543,41693,43087,48738,43981,31261,18742,12457,5532,523,0,472,14620,91405,82342,42038,29025,11384,5062,910,131,0,401,9684,81758,94561,45477,27694,11918,4863,919,114,892,24919,53186,58557,44391,32014,21917,15243,13532,10745,1993,108,262,513,970,2352,6333,16057,44206,122069,82934,1585,303,3255,7283,9027,13358,21902,34925,52156,67487,55423,12270,14,154,1140,5878,16000,27650,40344,49125,50944,66548,19592,32518,72654,67047,45666,26023,13441,8564,7024,3521,877,54
79,3,2,3,2,2,3,0,110,3608,10524,34800,75437,100466,80125,89724,69071,25478,0,37,5323,39041,51654,80369,70575,74741,76069,70881,20653,0,7932,39954,68846,67523,81837,64705,52549,42624,51235,12138,763,625,718,919,1320,2202,4465,13066,48350,206928,209987,1436,25698,36740,37459,68979,94900,83251,58232,40551,32975,9122,1,772,24479,81043,132601,103746,82190,39271,20788,4174,278,1,366,17811,71549,143483,112575,77803,41678,19656,4202,219,778,24550,64138,91528,83383,61758,44441,32802,30982,35901,19082,359,385,551,737,1338,2939,8644,32934,184281,236081,21094,1449,14952,19482,17522,19339,27329,42457,73574,120457,130246,22536,38,332,3553,21320,59743,91776,102220,85494,59795,53399,11673,51643,105456,111217,78106,49863,30974,21803,18903,15451,5683,244
80,3,2,3,2,2,3,0,75,6787,16746,27454,39147,65566,75774,107169,110479,33792,0,19,1424,7443,20786,48176,75719,80791,100956,113939,33736,0,691,6340,23012,45494,59454,72576,82619,78099,94949,19755,1054,2096,6762,11568,17422,26372,44907,78117,142457,130003,22231,946,5011,17119,31359,66388,100079,92251,66952,53135,41550,8199,3,1367,10842,45132,69440,75931,112960,88807,48503,21998,8006,3,1265,8286,39593,73313,80176,110402,92571,46997,22767,7616,380,2549,20681,43780,56898,65704,74296,69167,63226,61032,25276,484,495,724,2049,7681,19410,34525,65013,154555,174505,23548,2242,41869,52209,51827,58866,67646,73093,67094,48420,18415,1308,13,246,2510,14365,40373,70034,107285,120896,82820,38873,5574,3149,25394,66970,96475,93713,71916,49009,38057,27465,10194,647
81,3,2,3,2,2,2,0,30,1892,5735,11365,24007,52814,108195,162130,144228,18822,0,39,283,1859,4681,12863,34234,50015,116929,259518,48797,0,69,808,3779,11084,17029,32313,51909,95572,263510,53145,903,1371,2966,5806,9692,17795,34226,66374,157522,201788,30775,646,886,3062,6950,15977,31153,52926,89298,163076,141873,23371,0,18,381,2011,7397,20043,74987,98709,131804,132684,61184,0,12,251,1689,6678,21055,72203,104944,128761,138535,55090,246,382,1790,5851,11679,20213,35283,60867,127060,196620,69227,483,581,690,1293,3418,8024,13778,27350,92610,328675,52316,3119,93895,135090,97545,74639,55446,38816,21362,7753,1480,73,45,2711,29150,86845,122376,117890,84123,51317,24720,8630,1411,427,2966,11640,29165,58478,96111,116191,106870,76768,28630,1972
82,3,3,3,3,2,3,0,49,2359,7190,14798,19752,31779,30431,50000,37081,3804,0,46,612,2514,5861,16014,38473,34528,55423,41861,1911,0,100,1466,9772,23825,24013,34531,35547,36518,30257,1214,1449,2455,7813,18072,26933,39702,42975,34211,20291,3197,145,1222,5630,16300,20595,26899,31893,35717,28060,22320,8336,271,0,2,34,1092,7797,19111,49525,61399,41476,15179,1628,0,2,9,684,7233,20898,46322,66030,39662,15141,1262,494,1349,8638,17980,21224,24174,30355,33024,33442,23896,2667,846,879,1390,3911,10842,23364,33923,44884,50226,26232,746,2096,16523,25971,30782,34373,33283,30669,18602,4610,328,6,15,329,2292,6473,12960,23839,31810,39547,37493,35149,7336,402,6090,21519,28465,35362,35347,29430,22304,12973,4664,687
83,3,3,3,3,2,3,0,29,2234,5355,9134,15887,28982,46297,56743,45626,11234,0,55,617,2818,6698,15733,26620,30728,53153,76693,8406,0,223,1807,6911,13453,15940,22536,30373,46088,76970,7220,1714,2978,7582,14402,22021,36648,45654,46895,34730,8475,422,1338,3405,8836,12056,16146,21454,31792,38474,50706,35767,1547,0,9,357,1338,4675,10003,38027,51067,63837,44938,7270,0,10,207,1169,4062,10770,36917,53820,62615,46402,5549,635,1011,4969,9802,12397,15618,22428,31863,48322,62396,12080,1004,792,1309,2882,6479,13383,22424,38865,65731,65719,2933,6951,44784,44847,36275,29964,24392,19018,11167,3531,546,46,134,2610,10910,23223,32290,38645,37022,30982,24095,17378,4232,514,3740,11234,16020,21869,30082,37929,40675,35355,21438,2665
84,3,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,1,2,2,5,7,11,18,3,4,1,1,0,0,2,1,5,0,2,33,18,8,9,23,8,3,29,7,0,0,0,0,0,0,0,0,8,21,21,12,0,0,0,0,0,0,0,7,23,30,16,0,0,0,0,0,11,74,24,34,73,85,11,55,39,9,7,8,10,12,26,52,100,36,0,0,0,0,0,0,0,0,0,10,190,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,25,11,2,1,150
85,3,3,3,2,2,3,0,0,0,0,0,0,0,0,2,2,10,0,0,0,0,0,0,0,2,3,8,29,0,0,0,0,0,0,0,3,12,12,29,24,8,10,6,4,0,0,3,4,13,5,0,13,13,7,10,11,8,1,23,5,0,0,0,0,0,0,0,0,0,4,24,4,0,0,0,0,0,0,2,9,13,11,5,0,0,0,0,5,13,26,23,19,42,47,10,21,12,10,10,4,6,8,9,35,50,66,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0,0,0,0,0,1,50,0,0,0,3,7,20,52,10,2,1,21
86,3,3,3,3,2,3,0,0,5,192,1242,4062,10449,19169,42534,51564,11912,0,0,81,657,2046,5124,9182,16886,35031,66785,5337,0,7,531,2052,4147,7254,10419,16836,31644,63643,4596,782,4534,7439,8900,8799,12299,18738,33532,36482,9138,486,287,462,1974,4118,7169,12035,18743,24614,33518,35445,2764,2,19,80,380,1483,3170,11127,25183,38489,40554,20642,2,19,65,300,1500,3417,10638,26630,37481,42533,18544,101,340,1206,2672,4415,7020,11711,20575,33246,45189,14654,168,548,1296,2320,3571,5767,9029,16053,39576,60817,1984,5372,29723,36500,27075,18131,11837,7311,3635,1216,325,4,55,1792,13705,24818,24707,20826,17478,14674,11660,9886,1528,125,1151,2800,5006,9255,16957,25732,30107,26588,19771,3637
88,3,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,12,8,26,23,68,0,0,0,3,4,27,37,60,24,65,81,294,64,20,19,20,40,22,12,9,3,1,41,191,49,34,61,33,48,51,22,2,0,0,0,0,0,2,17,52,51,16,11,9,0,0,0,0,3,16,46,50,30,8,9,0,0,0,3,39,88,131,53,106,127,27,111,125,37,18,18,16,20,40,50,68,78,356,0,0,0,0,0,0,0,0,0,290,540,0,0,0,0,0,0,0,0,2,189,0,0,0,3,15,58,382,108,25,11,49
90,3,3,3,3,3,3,0,0,12,69,246,771,2192,5173,12846,19772,9656,0,0,8,118,439,1484,3721,6937,15156,22101,773,0,3,292,1054,2276,4001,6620,10323,15062,11002,104,2114,7140,5942,7760,8122,8946,6108,3364,1033,184,24,272,1432,4016,6983,9135,10154,8383,6339,3602,406,15,0,0,5,362,1379,3240,8378,17065,15163,4903,242,0,0,2,260,1402,3289,8407,17737,14510,4932,198,47,402,1972,3296,5032,7279,9840,10728,8057,3931,153,154,354,867,1962,3448,6102,10104,14125,11299,2270,52,6818,10736,9067,7923,6549,4626,2868,1511,545,92,2,0,1,25,119,543,1929,4925,7861,11302,17983,6049,65,1271,3356,5174,6948,8792,10944,9323,3687,1096,81
91,3,3,3,3,2,3,0,0,0,0,11,57,339,760,2218,3345,1179,0,0,8,48,137,405,707,1449,2621,2503,31,0,0,134,428,652,997,1363,1731,2078,522,4,1729,1812,1231,998,776,646,391,208,87,28,3,514,548,1460,2037,1591,1065,470,178,40,5,1,0,0,33,232,381,878,2017,2661,1376,299,32,0,0,21,211,404,932,1980,2764,1268,302,27,310,239,511,844,1241,1711,1798,868,299,81,7,370,237,566,1145,1155,1317,1283,1146,596,93,1,1926,1515,1040,954,834,763,510,287,79,1,0,0,0,1,2,4,16,55,347,1083,3484,2917,154,329,697,1168,1566,1594,1436,818,130,16,1
92,3,3,3,3,3,3,0,0,0,0,0,2,17,194,879,2599,3453,0,0,0,0,3,29,216,660,1625,4530,81,0,0,4,65,216,433,638,1138,2930,1705,15,2570,2108,607,520,451,444,257,132,44,11,0,207,191,956,2186,1904,958,441,186,90,22,3,0,2,13,114,163,406,911,3225,1943,353,14,0,0,7,106,167,423,891,3328,1868,344,10,129,58,126,362,626,1198,2335,1723,427,142,18,143,80,214,668,1233,1730,1530,981,434,122,9,3823,1228,614,466,426,273,208,81,24,1,0,0,0,0,2,2,9,57,270,839,2362,3603,68,107,224,466,770,1104,2072,2075,223,32,3
93,3,3,3,3,3,3,0,0,0,0,4,53,160,294,1036,2640,3274,0,0,37,46,70,108,259,638,1801,4354,148,0,0,120,112,247,488,808,1349,2912,1395,30,2106,2521,890,540,436,472,274,151,54,13,4,216,316,1200,2457,1746,721,387,259,136,23,0,0,0,9,92,111,196,1339,3499,1848,341,26,0,0,7,86,122,203,1287,3627,1783,325,21,123,92,236,455,871,1631,2196,1159,470,210,18,144,109,231,725,1267,1663,1515,1081,466,239,21,3152,1994,706,396,410,391,250,103,52,7,0,0,0,1,0,7,22,56,174,588,2881,3732,96,119,352,646,921,1530,2070,1415,239,56,17
94,3,3,3,3,3,3,0,0,0,2,98,314,750,910,1317,820,190,0,0,20,122,316,479,818,1045,1094,453,54,0,8,233,460,776,928,890,611,334,147,14,282,1023,985,751,467,387,214,136,104,42,10,73,694,1356,1021,579,318,199,100,49,11,1,0,0,0,32,102,339,1652,1585,569,114,8,0,0,0,23,116,361,1642,1621,518,113,7,49,174,629,1001,997,728,431,202,120,65,5,64,163,612,970,783,689,485,298,213,111,13,187,423,583,636,773,700,555,325,188,31,0,0,0,0,10,21,39,80,194,541,2295,1221,28,172,790,1294,1073,603,294,109,32,4,2
95,3,3,3,3,2,3,0,0,0,0,9,50,141,159,317,805,250,0,0,11,16,75,117,138,250,503,602,19,0,0,58,124,128,164,232,379,568,74,4,682,507,217,126,65,51,30,29,10,10,4,57,148,589,511,230,97,59,25,11,2,2,0,0,2,19,40,95,316,797,357,99,6,0,0,1,21,34,104,309,829,323,105,5,34,42,137,203,246,462,412,129,44,18,4,48,82,273,451,369,232,110,83,62,17,4,656,352,176,152,109,106,83,74,22,1,0,0,0,0,1,2,9,15,43,92,678,891,20,28,107,240,294,327,421,262,23,8,1
96,3,3,3,3,3,3,0,0,3,8,41,174,590,958,1956,5203,5024,0,0,0,33,131,327,653,1193,2813,8584,223,0,0,49,226,518,838,1214,2095,5156,3821,40,1843,4689,2107,1303,1076,967,739,636,398,174,25,225,303,928,2658,3625,3060,1704,966,427,61,0,0,0,1,7,138,347,1452,6102,4822,1030,58,0,0,1,5,129,369,1471,6361,4554,1016,51,83,132,240,453,977,1963,3755,4120,1672,527,35,129,220,354,891,1537,2318,2767,2855,2278,584,24,4921,3706,1652,1044,852,696,546,362,162,16,0,0,0,1,14,60,260,675,1159,2017,5815,3956,41,165,481,935,1468,2607,4160,3413,569,116,2
97,3,3,3,3,3,3,0,0,1,50,713,1877,3621,5032,9727,18457,10196,0,3,65,635,1276,2176,3502,5805,10829,22798,2585,0,52,811,1660,2618,3904,5327,7257,10607,16576,862,1070,4561,4418,4903,5548,9054,10008,6840,2612,575,85,280,878,3248,4631,5891,7175,7678,6976,7986,4841,90,0,0,0,182,858,1660,5616,13925,13652,9778,4003,0,0,0,122,878,1680,5600,14414,13215,10382,3383,157,528,1437,2397,3542,5015,6441,9128,8817,9709,2503,175,475,1190,2156,3128,4010,5336,8305,13919,10645,335,4996,12551,8469,6551,5430,4733,3708,2180,880,175,1,0,2,106,829,3266,6872,7238,7448,9012,12015,2886,108,855,2516,4578,6035,7108,8516,8573,6080,4458,847
98,3,3,3,3,3,3,0,0,0,45,561,1772,4583,5308,6224,7355,3133,0,2,101,550,1296,3095,4511,5256,6744,7156,270,0,27,747,1825,3066,4302,5295,5321,5473,2793,132,2358,6340,4607,3478,2834,3009,2663,2006,1231,359,96,538,944,3286,5653,5426,4899,3939,2543,1256,437,60,0,0,20,263,529,1696,6393,10628,6940,1964,548,0,0,16,217,558,1855,6217,11055,6566,2041,456,357,501,1162,2305,3752,5343,6014,5164,3015,1166,202,411,353,1380,3195,4511,5638,5002,4288,2935,1134,134,3728,4361,3670,4101,3901,3291,2707,2046,1022,147,7,1,4,170,727,1560,2404,3210,3594,4107,8226,4978,277,700,1728,3333,4824,5625,5983,4289,1720,468,34
99,3,2,3,2,2,2,0,20,774,4416,12652,26547,48849,88798,149378,330910,568252,0,11,314,1325,7018,15857,30309,51110,103750,323771,697131,0,311,1190,4730,11030,17928,32578,56398,111063,337856,657512,1795,832,1135,1431,2244,3816,9146,30358,145928,501425,532486,1424,975,1661,3164,9610,28476,61867,113470,191609,302450,515890,0,9,386,713,4020,11768,34592,80193,175199,320169,603547,0,7,334,614,3969,12018,34485,80501,170858,335060,592750,1000,490,1516,5108,13289,25974,41443,68082,128936,281816,662942,1165,215,332,579,966,1741,4356,14557,59913,411814,734958,321298,349897,161050,113538,90392,73265,58539,40130,19299,3130,58,62,1634,12258,79589,313992,478622,254640,62934,17679,5925,3261,822,3696,16663,50220,91954,127922,150765,172151,253711,299745,62947
100,3,2,3,2,3,2,0,85,2751,7143,12582,20994,42522,73162,158625,320057,504527,0,80,1062,3559,9632,20183,41391,89643,136997,284255,555646,1,1052,5171,11266,29877,63393,72104,82719,103611,275772,497482,4029,1327,1582,2021,2894,4570,8441,24823,114782,536021,441958,3983,3441,7705,11675,29232,69544,101846,112030,124603,312134,366255,1,535,11676,22756,50625,78634,133631,173120,271155,237044,163271,1,404,9296,21271,51754,84293,128094,185045,260949,254619,146722,3077,2607,11180,37092,57839,69360,71376,70898,92469,221758,504792,2597,552,536,661,1046,1836,4860,16924,105550,415675,592211,89337,400575,154643,81664,69926,71945,80178,89652,75254,26637,2637,80,886,13566,120778,334209,320344,177641,105540,43127,17763,8514,8152,27678,70150,101665,106020,97162,98471,143013,246089,227331,16717
101,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,11,45,0,14,4,6,2,1,4,5,11,13,31,0,0,0,3,14,6,11,8,27,34,16,0,0,0,0,0,0,0,0,7,19,14,0,0,0,0,0,0,0,0,6,27,21,0,0,0,0,0,0,0,0,33,36,169,0,0,0,0,0,0,2,9,34,38,211,69,0,0,0,0,0,0,0,0,0,50,130,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,11,72,26,4,0,40
102,3,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,2,8,25,6,6,0,0,1,3,3,4,1,2,16,0,0,9,3,4,2,4,7,9,11,7,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,4,24,12,32,54,0,2,7,10,13,6,4,4,6,25,77,45,0,0,0,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,27,0,0,0,0,6,7,31,9,1,0,20
103,3,3,3,1,3,2,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0,1,10,45,0,0,0,0,0,0,0,0,9,17,44,27,6,5,2,4,6,5,0,6,7,16,0,15,20,12,5,15,11,16,14,24,8,0,0,0,0,0,0,2,2,14,18,4,0,0,0,0,0,0,0,2,10,24,6,0,0,0,0,0,0,14,27,18,33,55,0,12,12,7,8,8,9,1,4,28,72,88,0,0,0,0,0,0,0,0,0,20,120,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,1,77,23,3,0,80
104,2,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,43,0,0,0,0,0,0,0,17,12,22,61,50,11,15,6,8,1,2,6,12,14,22,0,40,14,13,7,22,7,12,26,14,6,0,0,0,0,2,5,1,8,14,23,5,0,0,0,2,4,2,0,11,21,20,6,0,1,5,9,7,31,41,29,37,34,58,42,48,16,11,7,5,10,13,12,32,70,136,1,0,0,0,0,0,0,0,0,50,130,0,0,0,0,1,0,0,0,4,82,0,1,1,9,14,45,86,16,5,1,21
105,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,1,8,6,20,20,4,3,2,6,1,1,3,3,8,5,0,12,12,6,3,6,13,3,13,8,1,0,0,0,0,0,0,0,2,2,14,10,0,0,0,0,0,0,2,0,2,14,16,0,0,0,0,0,3,15,24,13,30,41,3,12,21,7,4,3,2,3,8,29,48,45,0,0,0,0,0,0,0,0,0,30,90,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,12,42,10,4,1,30
106,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,5,0,0,0,0,2,4,5,8,8,11,11,41,9,4,1,7,1,0,0,2,3,2,3,30,7,12,8,7,5,2,4,6,0,0,0,0,0,0,0,6,9,13,0,0,0,0,0,0,0,0,2,6,17,9,0,0,0,0,1,2,7,36,17,28,29,20,12,29,18,5,6,3,7,8,12,27,34,50,7,1,1,0,0,0,0,0,0,30,100,0,0,0,0,0,0,0,2,0,16,0,0,0,0,1,11,42,21,7,2,20
107,2,1,2,2,1,1,0,0,27,371,1462,8444,28661,69347,203582,224344,18062,0,2,538,1432,4246,13576,37177,101626,191837,197968,5898,0,179,1390,3380,8693,20405,40043,81740,157282,230475,10713,5430,11135,19930,27473,36717,45188,53915,70532,91699,133348,58933,2642,1418,2510,4227,8494,18878,42910,86375,154740,163540,68566,30,5887,6154,7677,12218,18579,42707,67054,118989,174734,100271,63,5445,5287,7040,12054,19699,39875,74378,118005,185473,86981,2002,1215,2542,4648,8576,18015,36316,66933,140925,216735,56393,2714,2403,3823,6427,10545,19730,35335,54795,151899,252407,14222,3762,80080,121674,110941,95876,68137,41388,22166,8497,1731,48,45178,104836,96819,89188,74809,57246,39880,24300,12002,5664,4378,2075,2967,8109,18524,37881,66805,85940,80923,64927,68252,117897
108,2,1,2,2,2,2,0,88,2490,9280,18175,21444,41731,82511,151176,197488,39370,20,2223,8616,10925,12251,17580,33079,76908,158824,219431,23896,5,1872,10484,15601,19188,26559,46884,75189,142932,203415,21624,12518,15745,13020,12175,13705,20276,31138,51323,100263,178889,114701,7740,3687,6355,10665,16736,29349,55548,103240,145989,132441,52003,38,7186,9926,13483,19797,25877,44442,62793,106321,152912,120978,69,6587,8943,12319,20548,27594,42509,66466,104090,162420,112208,6386,4728,9399,13264,17756,26275,40562,67844,133154,184677,59708,7225,9227,10626,9604,9322,10814,19230,35900,113004,298628,40173,9887,31945,81103,103289,103284,89536,67912,45338,24527,6652,280,16490,63362,82080,88578,86074,75827,60747,43709,23996,11831,11059,6597,7220,18300,37909,66984,93436,104238,91867,65701,46751,24750
109,2,1,2,1,2,2,0,38,573,1810,5678,13239,36422,77060,115820,124445,16303,4,218,894,1827,2500,5680,13331,38693,103762,205189,19290,0,140,611,1557,2926,5364,11819,29516,88389,233121,17945,1800,2814,2772,3302,4553,7899,15328,35151,93919,173076,50774,577,1159,1432,1676,2577,5117,12883,37459,104910,164804,58794,23,218,382,1292,3002,4878,11366,23669,65172,130826,150560,30,197,321,1098,2967,5206,10947,25003,64342,138757,142520,335,967,1635,2119,2970,5091,10013,24101,70763,187524,85870,725,1579,1629,1866,2089,2687,5111,13226,68788,264558,29130,846,29673,94971,107759,79816,45066,22214,8752,2138,151,2,12168,74702,99349,81052,53941,32574,18813,10214,4846,2480,1249,225,419,2294,6385,18316,43943,73565,87306,79200,59127,20608
110,3,3,3,3,3,3,1,1813,9147,21821,42722,80358,167728,234857,286646,331663,92391,39,2821,7134,8546,16679,31807,54911,102971,225026,667988,151225,16,598,3004,7218,12976,21014,42677,85363,201785,704119,190377,15498,15542,20749,28003,31142,44312,59900,97389,239021,490552,227039,8989,5015,6299,8107,11132,17428,32898,85400,230500,454055,409324,1,2428,5012,7804,12505,17972,41146,81535,271780,525497,303467,1,2239,4374,7160,13215,19802,38541,88790,268367,555989,270669,7853,5319,8160,10079,13954,19326,30602,54982,158198,494309,466365,7972,8423,8794,12538,19573,28282,44089,58112,151879,654578,274907,20314,208963,416042,300304,176310,89165,38961,14449,4044,576,19,60093,372262,362739,206563,105004,56598,35047,25038,21262,12635,11906,6739,1785,4732,12860,31760,72191,143816,224170,274293,308725,188075
111,3,1,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,7,8,20,21,2,3,5,3,3,4,1,3,6,12,0,0,17,8,6,6,5,11,7,11,6,0,0,0,0,0,0,0,0,5,14,9,0,0,0,0,0,0,0,0,6,24,2,0,0,0,0,0,0,0,27,11,33,48,0,0,5,18,7,5,1,6,10,20,54,38,1,1,0,0,0,0,0,0,0,40,80,0,0,0,0,0,0,0,0,0,25,0,0,0,1,3,8,43,22,1,0,21
112,1,1,2,1,2,2,8,293,864,1915,8622,19137,55740,163400,423681,943305,373822,52,387,664,913,1826,5192,13079,33335,137542,1174052,623745,5,201,532,867,1314,3293,7831,19305,67465,888214,1001760,6500,4166,5772,7058,9819,15381,31971,73811,218086,919532,698691,5071,1537,1255,1396,1676,2928,7252,21755,84661,388496,1474760,0,1903,2122,1324,2005,3835,14048,46060,160650,521689,1237151,0,1773,1991,1368,2066,4061,13554,47962,157965,579842,1180205,3780,987,1408,1767,2553,4435,9625,23700,81009,460473,1401050,2938,1875,1448,1641,2392,4043,6895,15533,58057,810387,1085578,86742,1000428,603427,169418,68383,33389,17014,8420,3021,513,32,151558,766159,636223,291868,83667,25697,13116,7199,4043,2813,8444,4670,1247,2021,5514,14560,32494,66712,137616,314831,743772,667349
